#{"t_start": 1667421501.8963342, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,19.666117
0.0,2,19.693494
0.0,2,19.717802
0.0,2,19.742365
0.0,2,19.769061
0.0,3,19.811459
0.0,2,19.840104
0.0,2,19.866729
0.0,2,19.8935
0.0,2,19.922022
0.0,2,19.948012
0.0,5,20.014826
0.0,4,20.069769
0.0,3,20.110147
0.0,2,20.137449
0.0,2,20.163694
0.0,2,20.190461
0.0,2,20.217323
0.0,2,20.243748
0.0,2,20.270373
0.0,3,20.310856
0.0,4,20.364486
0.0,2,20.390848
0.0,2,20.417669
0.0,2,20.444146
0.0,2,20.47128
0.0,4,20.524756
0.0,2,20.550824
0.0,2,20.577356
0.0,2,20.604124
0.0,2,20.630888
0.0,2,20.657419
0.0,2,20.683557
0.0,4,20.737909
0.0,2,20.766649
0.0,2,20.79536
0.0,2,20.822059
0.0,2,20.848824
0.0,4,20.902333
0.0,2,20.929119
0.0,2,20.954875
0.0,2,20.981585
0.0,2,21.007712
0.0,2,21.034591
0.0,2,21.061413
0.0,2,21.0878
0.0,2,21.114336
0.0,2,21.14114
0.0,4,21.193978
0.0,4,21.247838
0.0,2,21.274599
0.0,2,21.300794
0.0,3,21.341151
0.0,2,24.460654
0.0,2,24.483031
0.0,2,24.510077
0.0,2,24.537573
0.0,2,24.562622
0.0,2,24.588768
0.0,2,24.614703
0.0,2,24.641165
0.0,2,24.668876
0.0,2,24.696488
0.0,2,24.721626
0.0,2,24.752335
0.0,2,24.780126
0.0,4,24.833494
0.0,2,24.859981
0.0,2,24.885812
0.0,2,24.913778
0.0,2,24.937718
0.0,2,24.964787
0.0,2,24.991285
0.0,2,25.017928
0.0,2,25.044909
0.0,2,25.071538
0.0,4,25.124363
0.0,2,25.149915
0.0,2,25.176177
0.0,6,25.256127
0.0,2,25.282612
0.0,2,25.309214
0.0,2,25.336121
0.0,2,25.363065
0.0,2,25.389561
0.0,2,25.416311
0.0,4,25.469745
0.0,2,25.496495
0.0,6,25.576613
0.0,2,25.603179
0.0,2,25.629549
0.0,2,25.656558
0.0,2,25.683043
0.0,4,25.73673
0.0,2,25.763758
0.0,2,25.790231
0.0,2,25.816675
0.0,3,25.856517
0.0,2,25.883017
0.0,2,25.909825
0.0,2,25.93678
0.0,2,25.962925
0.0,2,25.990295
0.0,2,26.016227
0.0,2,26.043319
0.0,2,26.070217
0.0,2,26.09734
0.0,2,26.123984
0.0,2,26.15098
0.0,2,33.760988
0.0,2,33.777151
0.0,2,33.793006
0.0,2,33.811397
0.0,2,33.827195
0.0,2,33.84414
0.0,2,33.862766
0.0,2,33.87993
0.0,2,33.900637
0.0,3,33.925118
0.0,2,33.945107
0.0,2,33.963691
0.0,2,33.983031
0.0,2,34.001709
0.0,2,34.016665
0.0,2,34.036783
0.0,2,34.057328
0.0,2,34.076188
0.0,2,34.094744
0.0,4,34.13426
0.0,2,34.156048
0.0,2,34.175829
0.0,2,34.195247
0.0,2,34.213073
0.0,2,34.233353
0.0,4,34.27318
0.0,4,34.312581
0.0,2,34.330721
0.0,2,34.34898
0.0,2,34.3686
0.0,4,34.409519
0.0,2,34.425515
0.0,2,34.441154
0.0,4,34.474314
0.0,2,34.491464
0.0,2,34.508684
0.0,4,34.541601
0.0,2,34.557531
0.0,2,34.57322
0.0,4,34.605058
0.0,2,34.621893
0.0,2,34.6387
0.0,4,34.671059
0.0,2,34.687053
0.0,2,34.705559
0.0,2,34.720943
0.0,2,34.736953
0.0,2,34.753931
0.0,2,34.770337
0.0,3,34.797643
0.0,2,34.816314
0.0,6,34.86858
0.0,2,34.887704
0.0,2,37.364636
0.0,2,37.390301
0.0,2,37.412268
0.0,2,37.434065
0.0,2,37.454
0.0,3,37.487318
0.0,2,37.509181
0.0,2,37.528741
0.0,2,37.547883
0.0,4,37.592009
0.0,2,37.613827
0.0,2,37.635074
0.0,2,37.661521
0.0,4,37.777427
0.0,2,37.804982
0.0,2,37.831531
0.0,4,37.886606
0.0,2,37.91415
0.0,2,37.941793
0.0,2,37.968352
0.0,2,37.99653
0.0,4,38.05093
0.0,2,38.078913
0.0,2,38.106578
0.0,2,38.135268
0.0,2,38.163314
0.0,2,38.191472
0.0,4,38.248188
0.0,2,38.276756
0.0,3,38.319108
0.0,2,38.344429
0.0,2,38.372755
0.0,2,38.401014
0.0,2,38.430728
0.0,2,38.459223
0.0,2,38.488242
0.0,2,38.517702
0.0,2,38.54653
0.0,2,38.575566
0.0,2,38.60455
0.0,3,38.64918
0.0,4,38.712698
0.0,2,38.745258
0.0,4,38.808739
0.0,3,38.858527
0.0,2,38.889983
0.0,6,38.986615
0.0,2,39.018555
0.0,2,39.051617
0.0,4,39.115783
0.0,2,39.147412
0.0,3,45.263773
0.0,2,45.28268
0.0,2,45.301097
0.0,2,45.323519
0.0,4,45.364264
0.0,2,45.385543
0.0,2,45.406348
0.0,3,45.438903
0.0,2,45.458926
0.0,2,45.479445
0.0,4,45.52217
0.0,3,45.554424
0.0,2,45.575017
0.0,2,45.597828
0.0,4,45.638897
0.0,2,45.660179
0.0,4,45.70319
0.0,2,45.726641
0.0,2,45.748999
0.0,2,45.773834
0.0,2,45.794853
0.0,2,45.818012
0.0,2,45.84017
0.0,2,45.863358
0.0,2,45.884733
0.0,2,45.90401
0.0,2,45.925321
0.0,2,45.94655
0.0,2,45.965816
0.0,2,45.987048
0.0,2,46.007658
0.0,4,46.050245
0.0,2,46.07186
0.0,2,46.094009
0.0,2,46.116593
0.0,4,46.159252
0.0,2,46.179907
0.0,2,46.200918
0.0,2,46.222216
0.0,4,46.262809
0.0,2,46.283141
0.0,2,46.30574
0.0,2,46.327164
0.0,2,46.349773
0.0,2,46.372871
0.0,2,46.396029
0.0,3,46.431234
0.0,4,46.478805
0.0,4,46.525859
0.0,2,46.549101
0.0,2,46.573224
0.0,2,46.596735
0.0,2,46.620131
0.0,4,50.249299
0.0,2,50.277023
0.0,2,50.306388
0.0,4,50.36341
0.0,2,50.393039
0.0,2,50.421482
0.0,2,50.450374
0.0,4,50.506918
0.0,2,50.533106
0.0,4,50.586937
0.0,2,50.613846
0.0,2,50.642484
0.0,4,50.698454
0.0,3,50.741105
0.0,2,50.76792
0.0,2,50.793794
0.0,2,50.82009
0.0,2,50.845601
0.0,2,50.871439
0.0,2,50.899333
0.0,2,50.92663
0.0,2,50.953956
0.0,2,50.981106
0.0,2,51.00636
0.0,2,51.034167
0.0,4,51.088067
0.0,4,51.143239
0.0,2,51.18183
0.0,2,51.218984
0.0,2,51.248131
0.0,2,51.275575
0.0,2,51.305499
0.0,2,51.331102
0.0,2,51.358462
0.0,4,51.415926
0.0,4,51.475175
0.0,2,51.503225
0.0,2,51.529239
0.0,2,51.555876
0.0,2,51.582127
0.0,2,51.60897
0.0,2,51.637641
0.0,2,51.664959
0.0,2,51.69281
0.0,2,51.721625
0.0,2,51.750579
0.0,2,51.779334
0.0,2,51.809548
0.0,2,51.839141
0.0,2,51.86905
0.0,2,51.897998
0.0,2,51.925461
0.0,2,51.953745
0.0,2,51.98272
0.0,4,55.649478
0.0,6,55.71506
0.0,4,55.79954
0.0,2,55.815557
0.0,2,55.840356
0.0,3,55.881138
0.0,2,55.907419
0.0,2,55.931758
0.0,2,55.957508
0.0,2,55.984183
0.0,4,56.0368
0.0,4,56.092568
0.0,2,56.121168
0.0,4,56.201208
0.0,2,56.228205
0.0,2,56.255513
0.0,2,56.283569
0.0,2,56.311736
0.0,2,56.339897
0.0,2,56.368234
0.0,3,56.410803
0.0,2,56.439054
0.0,4,56.495692
0.0,4,56.551839
0.0,6,56.636432
0.0,2,56.665075
0.0,2,56.69308
0.0,2,56.720456
0.0,4,56.774811
0.0,4,56.831395
0.0,2,56.859367
0.0,2,56.888086
0.0,3,56.931319
0.0,2,56.961424
0.0,2,56.990325
0.0,7,57.096692
0.0,2,57.128787
0.0,2,57.161623
0.0,2,57.192829
0.0,2,57.224231
0.0,2,57.258152
0.0,2,57.290162
0.0,2,57.32222
0.0,2,57.354382
0.0,2,57.38905
0.0,4,57.455227
0.0,4,60.84957
0.0,2,60.880071
0.0,4,60.937224
0.0,2,60.96542
0.0,2,60.993492
0.0,2,61.021899
0.0,2,61.051185
0.0,2,61.080365
0.0,2,61.110456
0.0,2,61.185735
0.0,2,61.215785
0.0,2,61.243596
0.0,2,61.270789
0.0,6,61.359055
0.0,4,61.419069
0.0,2,61.450163
0.0,4,61.509292
0.0,2,61.539595
0.0,2,61.569033
0.0,4,61.628423
0.0,2,61.660392
0.0,2,61.689829
0.0,2,61.722239
0.0,4,61.784038
0.0,2,61.826604
0.0,2,61.859865
0.0,2,61.891759
0.0,2,61.924623
0.0,4,61.984015
0.0,2,62.015721
0.0,4,62.081159
0.0,2,62.113506
0.0,2,62.14563
0.0,2,62.178176
0.0,2,62.210662
0.0,2,62.24304
0.0,2,62.275884
0.0,2,62.307611
0.0,2,62.340046
0.0,2,62.372092
0.0,2,62.404049
0.0,2,62.435035
0.0,2,62.467401
0.0,2,62.500428
0.0,2,62.533208
0.0,2,62.565253
0.0,2,62.602233
0.0,4,62.668517
0.0,2,62.701863
0.0,3,62.751391
0.0,2,62.784124
0.0,3,62.831462
0.0,3,62.874516
0.0,2,66.492333
0.0,5,66.557355
0.0,2,66.583191
0.0,3,66.621479
0.0,3,66.662007
0.0,2,66.689571
0.0,3,66.727934
0.0,2,66.752715
0.0,2,66.778183
0.0,2,66.80342
0.0,2,66.828909
0.0,3,66.867329
0.0,4,66.919497
0.0,2,66.945407
0.0,2,66.970944
0.0,3,67.010069
0.0,2,67.036042
0.0,2,67.061771
0.0,2,67.087873
0.0,5,67.152587
0.0,2,67.178176
0.0,2,67.204201
0.0,2,67.231637
0.0,2,67.260057
0.0,2,67.287638
0.0,4,67.34367
0.0,4,67.398412
0.0,2,67.425833
0.0,5,67.495178
0.0,2,67.523216
0.0,2,67.550742
0.0,5,67.620435
0.0,2,67.648716
0.0,2,67.679222
0.0,4,67.741067
0.0,4,67.80066
0.0,2,67.827404
0.0,2,67.852651
0.0,2,67.879419
0.0,2,67.904864
0.0,4,67.958272
0.0,7,68.052834
0.0,2,68.079642
0.0,2,68.107022
0.0,2,68.133268
0.0,3,68.173492
0.0,2,73.031499
0.0,2,73.048621
0.0,2,73.065993
0.0,3,73.092485
0.0,2,73.110124
0.0,2,73.127788
0.0,2,73.146976
0.0,2,73.16362
0.0,2,73.18063
0.0,2,73.19841
0.0,4,73.232321
0.0,3,73.258722
0.0,2,73.276297
0.0,6,73.325868
0.0,3,73.35137
0.0,3,73.375741
0.0,2,73.391284
0.0,2,73.409561
0.0,2,73.427948
0.0,2,73.447818
0.0,2,73.46577
0.0,2,73.48497
0.0,2,73.50417
0.0,2,73.521921
0.0,4,73.557988
0.0,4,73.59696
0.0,2,73.617146
0.0,2,73.635391
0.0,2,73.65297
0.0,2,73.669694
0.0,4,73.70583
0.0,2,73.722051
0.0,2,73.739002
0.0,4,73.775135
0.0,2,73.793588
0.0,4,73.82838
0.0,2,73.846683
0.0,2,73.863437
0.0,4,73.900422
0.0,2,73.918783
0.0,2,73.937907
0.0,2,73.95687
0.0,2,73.976088
0.0,2,73.99427
0.0,2,74.010564
0.0,2,74.029049
0.0,4,74.066478
0.0,2,74.08529
0.0,2,74.105507
0.0,2,74.12354
0.0,2,74.141471
0.0,2,74.16046
0.0,2,80.16804
0.0,4,80.197665
0.0,2,80.212527
0.0,2,80.226218
0.0,5,80.262436
0.0,2,80.276654
0.0,4,80.304989
0.0,2,80.319674
0.0,6,80.361794
0.0,2,80.377063
0.0,4,80.404395
0.0,2,80.419665
0.0,2,80.434951
0.0,4,80.466513
0.0,2,80.483514
0.0,2,80.498118
0.0,2,80.514305
0.0,2,80.530895
0.0,2,80.546281
0.0,2,80.562688
0.0,2,80.579139
0.0,2,80.59555
0.0,2,80.612196
0.0,2,80.628794
0.0,2,80.646141
0.0,2,80.662785
0.0,2,80.679955
0.0,2,80.69844
0.0,2,80.715702
0.0,2,80.734791
0.0,2,80.753158
0.0,2,80.77032
0.0,2,80.786732
0.0,2,80.804328
0.0,2,80.822263
0.0,2,80.83935
0.0,3,80.865213
0.0,2,80.882608
0.0,2,80.899443
0.0,2,80.916792
0.0,2,80.934108
0.0,3,80.95904
0.0,2,80.977315
0.0,2,80.996999
0.0,3,81.027688
0.0,2,81.049515
0.0,2,81.069741
0.0,2,81.090544
0.0,2,81.112489
0.0,2,81.134964
0.0,2,81.160939
0.0,6,81.244632
0.0,2,81.272496
0.0,2,84.694294
0.0,2,84.730709
0.0,2,84.768315
0.0,4,84.839797
0.0,4,84.911695
0.0,2,84.945493
0.0,2,84.983143
0.0,2,85.02086
0.0,4,85.096034
0.0,2,85.135461
0.0,4,85.210679
0.0,2,85.249584
0.0,2,85.284879
0.0,2,85.319525
0.0,2,85.358228
0.0,2,85.389358
0.0,2,85.424608
0.0,2,85.463877
0.0,2,85.502542
0.0,4,85.576406
0.0,2,85.611593
0.0,2,85.650777
0.0,2,85.683375
0.0,2,85.71805
0.0,2,85.751488
0.0,2,85.785351
0.0,2,85.820037
0.0,2,85.856161
0.0,2,85.89015
0.0,2,85.923835
0.0,2,85.952675
0.0,3,85.99217
0.0,5,86.054759
0.0,2,86.077375
0.0,2,86.099323
0.0,2,86.119178
0.0,2,86.14235
