#{"t_start": 1667421507.499831, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,14.080527
0.0,2,14.108671
0.0,2,14.134613
0.0,2,14.162777
0.0,2,14.190482
0.0,2,14.216891
0.0,4,14.272761
0.0,2,14.299332
0.0,4,14.352788
0.0,2,14.379071
0.0,2,14.406001
0.0,2,14.432534
0.0,2,14.458742
0.0,2,14.484803
0.0,2,14.511455
0.0,2,14.5398
0.0,4,14.595673
0.0,2,14.62434
0.0,2,14.650579
0.0,2,14.677195
0.0,2,14.704132
0.0,2,14.730994
0.0,2,14.756887
0.0,2,14.783885
0.0,2,14.810204
0.0,4,14.863824
0.0,2,14.890793
0.0,2,14.917427
0.0,2,14.943985
0.0,3,14.983877
0.0,6,15.064237
0.0,4,15.119518
0.0,4,15.171712
0.0,2,15.198942
0.0,2,15.225656
0.0,2,15.252136
0.0,2,15.278941
0.0,2,15.305792
0.0,2,15.332226
0.0,4,15.385444
0.0,2,15.411971
0.0,4,15.46488
0.0,3,15.504589
0.0,2,15.530941
0.0,4,15.58415
0.0,2,15.611003
0.0,2,15.637564
0.0,2,15.664871
0.0,2,15.691434
0.0,2,15.718493
0.0,4,15.772525
0.0,2,18.903549
0.0,2,18.930664
0.0,2,18.957045
0.0,6,19.037214
0.0,2,19.065112
0.0,4,19.117913
0.0,2,19.144945
0.0,2,19.170777
0.0,2,19.197638
0.0,2,19.224243
0.0,6,19.307054
0.0,4,19.357983
0.0,2,19.384988
0.0,2,19.410645
0.0,4,19.463687
0.0,4,19.517076
0.0,2,19.543276
0.0,2,19.570338
0.0,4,19.62505
0.0,2,19.651526
0.0,2,19.678292
0.0,6,19.758743
0.0,2,19.785289
0.0,2,19.812763
1.0,7,19.905713
0.0,2,19.931966
0.0,2,19.959181
0.0,2,19.98575
0.0,2,20.01217
0.0,6,20.0923
0.0,2,20.118884
0.0,2,20.145997
0.0,2,20.172597
0.0,2,20.199424
0.0,4,20.252708
0.0,2,20.279058
0.0,2,20.306028
0.0,4,20.359295
0.0,2,20.386137
0.0,2,20.412648
0.0,2,20.439533
0.0,2,20.466377
0.0,2,20.493384
0.0,2,20.520469
0.0,2,20.547599
0.0,4,28.04413
0.0,4,28.067192
0.0,2,28.078203
0.0,4,28.100491
0.0,2,28.111825
0.0,2,28.122152
0.0,2,28.133946
0.0,2,28.147756
0.0,2,28.162991
0.0,2,28.175
0.0,2,28.18974
0.0,2,28.206127
0.0,2,28.221675
0.0,2,28.238648
0.0,2,28.256856
0.0,2,28.273684
0.0,2,28.292093
0.0,2,28.309729
0.0,2,28.32835
0.0,2,28.345617
0.0,5,28.39121
0.0,2,28.408299
0.0,2,28.425332
0.0,2,28.443065
0.0,2,28.462571
0.0,2,28.47953
0.0,2,28.498689
0.0,2,28.518978
0.0,2,28.539752
0.0,2,28.556626
0.0,4,28.594561
0.0,2,28.610545
0.0,2,28.628452
0.0,5,28.674283
0.0,2,28.691729
0.0,6,28.744213
0.0,2,28.762166
0.0,2,28.779874
0.0,4,28.816737
0.0,4,28.850356
0.0,2,28.866906
0.0,2,28.88207
0.0,2,28.896209
0.0,2,28.912063
0.0,2,28.927439
0.0,2,28.943165
0.0,4,28.97477
0.0,4,29.006208
0.0,2,29.022136
0.0,2,29.037932
0.0,2,29.05395
0.0,4,31.237936
0.0,2,31.270556
0.0,2,31.301633
0.0,2,31.334291
0.0,4,31.397352
0.0,2,31.430295
0.0,4,31.486683
0.0,2,31.514312
0.0,2,31.541258
0.0,2,31.568422
0.0,2,31.595711
0.0,2,31.622403
0.0,3,31.662532
0.0,6,31.74858
0.0,2,31.776799
0.0,2,31.802922
0.0,4,31.845322
0.0,4,31.885941
0.0,2,31.908869
0.0,2,31.928469
0.0,4,31.970232
0.0,2,31.989304
0.0,2,32.009934
0.0,2,32.030957
0.0,2,32.056824
0.0,2,32.145179
0.0,2,32.17226
0.0,3,32.213615
0.0,2,32.241407
0.0,2,32.268253
0.0,4,32.323458
0.0,7,32.41977
0.0,5,32.489187
0.0,4,32.545297
0.0,2,32.574501
0.0,2,32.601967
0.0,2,32.630106
0.0,4,32.686777
0.0,4,32.742755
0.0,4,32.799789
0.0,2,32.828721
0.0,2,32.857409
0.0,2,32.886461
0.0,2,32.915711
0.0,2,32.944384
0.0,2,32.973365
0.0,4,39.623276
0.0,4,39.656781
0.0,2,39.673822
0.0,2,39.694213
0.0,2,39.71517
0.0,2,39.735882
0.0,4,39.788414
0.0,4,39.83245
0.0,2,39.853568
0.0,4,39.899418
0.0,2,39.92065
0.0,2,39.94176
0.0,2,39.962734
0.0,4,40.005519
0.0,2,40.036065
0.0,2,40.058881
0.0,2,40.079779
0.0,2,40.100939
0.0,2,40.122338
0.0,3,40.154884
0.0,2,40.1785
0.0,2,40.20098
0.0,2,40.222793
0.0,2,40.244073
0.0,2,40.265425
0.0,2,40.286564
0.0,2,40.307128
0.0,2,40.331723
0.0,2,40.355842
0.0,4,40.401622
0.0,2,40.423719
0.0,3,40.454823
0.0,7,40.529677
0.0,2,40.553092
0.0,4,40.594487
1.0,7,40.669003
0.0,4,40.714389
0.0,2,40.736584
0.0,2,40.759677
0.0,2,40.783101
0.0,2,40.806483
0.0,2,40.829875
0.0,2,40.853312
0.0,2,40.876757
0.0,2,40.900342
0.0,2,40.923872
0.0,2,40.947714
0.0,2,40.970965
0.0,2,40.994885
0.0,6,44.587714
0.0,2,44.615226
0.0,2,44.641968
0.0,2,44.667491
0.0,2,44.694625
0.0,2,44.724392
0.0,4,44.782507
0.0,4,44.841202
0.0,2,44.870175
0.0,4,44.927056
1.0,7,45.021453
0.0,4,45.081053
0.0,2,45.108973
0.0,2,45.136536
0.0,2,45.164208
0.0,4,45.216302
0.0,2,45.241669
0.0,5,45.309037
0.0,3,45.350497
0.0,2,45.377789
0.0,2,45.406013
0.0,2,45.432891
0.0,2,45.459806
0.0,5,45.528427
0.0,2,45.555228
0.0,2,45.600194
0.0,2,45.62929
0.0,3,45.671909
0.0,2,45.70199
0.0,2,45.727557
0.0,2,45.754836
0.0,2,45.783283
0.0,2,45.811255
0.0,2,45.842783
0.0,2,45.870658
0.0,2,45.899099
0.0,2,45.925058
0.0,4,45.977821
0.0,2,46.005088
0.0,4,46.060877
0.0,4,46.117716
0.0,2,46.146081
0.0,4,46.205152
0.0,2,46.235235
0.0,4,46.293967
0.0,5,49.839799
0.0,4,49.875058
0.0,2,49.907272
0.0,2,49.91955
0.0,2,49.934174
0.0,2,49.948618
0.0,3,49.971815
1.0,7,50.040166
0.0,4,50.083772
0.0,2,50.107051
0.0,2,50.130267
0.0,6,50.28989
0.0,4,50.342123
0.0,2,50.369903
0.0,2,50.396546
0.0,2,50.422493
0.0,5,50.491656
0.0,2,50.519632
0.0,2,50.570246
0.0,4,50.626516
0.0,7,50.724771
0.0,2,50.752731
0.0,4,50.808999
0.0,3,50.851322
0.0,2,50.879699
0.0,4,50.936326
0.0,2,50.964209
0.0,4,51.021308
0.0,3,51.063611
0.0,4,51.119194
0.0,2,51.147816
0.0,2,51.176471
0.0,2,51.204253
0.0,2,51.232428
0.0,4,51.290052
0.0,2,51.31872
0.0,3,51.36302
0.0,4,51.417948
0.0,3,51.462944
0.0,4,51.526969
0.0,2,51.559187
0.0,3,51.608176
0.0,2,54.941482
0.0,2,54.97696
0.0,2,55.012059
0.0,2,55.041433
0.0,2,55.075041
0.0,2,55.107875
0.0,2,55.139369
0.0,2,55.169599
0.0,3,55.213585
1.0,7,55.313534
0.0,4,55.369673
0.0,2,55.397327
0.0,2,55.426232
0.0,3,55.470341
0.0,4,55.529877
0.0,2,55.608897
0.0,5,55.676954
1.0,7,55.782156
0.0,2,55.812267
0.0,4,55.871822
0.0,4,55.928735
0.0,2,55.958801
0.0,2,55.990932
0.0,2,56.019109
0.0,2,56.050541
0.0,6,56.14738
0.0,2,56.179608
0.0,2,56.212552
0.0,2,56.245782
0.0,2,56.278093
0.0,7,56.392444
0.0,2,56.424329
0.0,3,56.472708
0.0,2,56.505543
0.0,4,56.56766
0.0,2,56.600494
0.0,2,56.633276
0.0,2,56.66551
0.0,2,56.697074
0.0,2,56.730298
0.0,5,56.815751
0.0,2,56.847872
0.0,2,56.879175
0.0,6,60.294566
0.0,4,60.362348
0.0,7,60.482628
0.0,3,60.553029
0.0,4,60.608738
0.0,2,60.637394
0.0,2,60.664299
0.0,2,60.688506
0.0,2,60.709358
1.0,7,60.789333
0.0,5,60.84853
1.0,7,60.939726
0.0,4,60.991788
0.0,4,61.043884
0.0,2,61.070984
0.0,4,61.120478
0.0,2,61.145346
0.0,2,61.171189
0.0,2,61.197175
0.0,2,61.221871
0.0,2,61.245326
0.0,2,61.270484
0.0,2,61.296702
0.0,2,61.323114
0.0,4,61.374332
0.0,2,61.400871
0.0,2,61.426091
0.0,2,61.451786
0.0,2,61.478358
0.0,2,61.504059
0.0,4,61.555964
0.0,2,61.581539
0.0,4,61.636245
0.0,2,61.664258
0.0,2,61.691256
0.0,2,61.719803
0.0,3,61.761316
0.0,4,61.813864
0.0,4,61.868504
0.0,2,61.896703
0.0,2,61.921689
0.0,6,62.002616
0.0,2,69.232772
0.0,4,69.283473
0.0,6,69.356071
0.0,2,69.380801
1.0,7,69.464789
0.0,3,69.498889
0.0,5,69.551642
0.0,4,69.594413
0.0,6,69.662095
0.0,2,69.684291
0.0,2,69.705388
0.0,2,69.727182
0.0,5,69.776299
0.0,2,69.794816
0.0,4,69.83501
0.0,7,69.906496
0.0,2,69.926696
0.0,4,69.968946
0.0,2,69.989679
0.0,2,70.009461
1.0,7,70.076288
0.0,2,70.097381
0.0,2,70.116887
0.0,5,70.161174
0.0,2,70.178226
0.0,2,70.198851
0.0,4,70.236213
0.0,2,70.256429
0.0,2,70.275492
0.0,4,70.313742
0.0,4,70.354065
0.0,2,70.372717
0.0,2,70.390841
0.0,3,70.421729
0.0,4,70.461509
0.0,2,70.482394
0.0,5,70.535542
0.0,4,75.553705
0.0,3,75.595181
0.0,2,75.620419
1.0,7,75.719066
0.0,2,75.746856
0.0,4,75.803314
0.0,2,75.833047
0.0,2,75.863376
0.0,4,75.919584
0.0,2,75.95116
0.0,6,76.047883
0.0,2,76.080335
0.0,2,76.113286
0.0,2,76.147305
0.0,3,76.198066
0.0,2,76.232322
0.0,4,76.295678
0.0,2,76.328161
0.0,2,76.359879
0.0,7,76.477575
0.0,6,76.575284
0.0,2,76.608385
1.0,7,76.772879
0.0,3,76.821945
0.0,2,76.856468
0.0,3,76.911354
