#{"t_start": 1667421507.795568, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,596.381042
0.0,2,596.415406
0.0,2,596.450253
0.0,2,596.486925
0.0,4,596.558804
0.0,2,596.595554
0.0,2,596.631164
0.0,2,596.666261
0.0,2,596.701828
0.0,4,596.781075
0.0,2,596.820472
0.0,2,596.852185
0.0,2,596.884298
0.0,2,596.918363
0.0,2,596.953266
0.0,2,596.991
0.0,4,597.055486
0.0,2,597.08888
0.0,2,597.123215
0.0,2,597.157601
0.0,4,597.224887
0.0,4,597.288197
0.0,2,597.327355
0.0,2,597.362548
0.0,2,597.394518
0.0,2,597.428429
0.0,2,597.464624
0.0,2,597.500665
0.0,2,597.531943
0.0,2,597.564748
0.0,2,597.593303
0.0,2,597.623994
0.0,2,597.655373
0.0,2,597.684089
0.0,2,597.716978
0.0,2,597.751324
0.0,2,597.783766
0.0,2,597.816131
0.0,2,597.848596
0.0,4,597.906609
0.0,2,597.93927
0.0,2,597.972776
0.0,2,598.005067
0.0,2,598.039383
0.0,2,598.072021
0.0,3,598.124285
0.0,2,598.159231
0.0,2,598.192541
0.0,2,598.226522
0.0,2,598.263596
0.0,2,598.296222
0.0,2,598.33258
0.0,2,598.370445
0.0,2,598.409405
0.0,2,598.447373
0.0,6,601.988527
0.0,2,602.02431
0.0,2,602.060006
0.0,2,602.100112
0.0,4,602.174166
0.0,2,602.211868
0.0,2,602.247744
0.0,2,602.280381
0.0,2,602.317692
0.0,2,602.353851
0.0,3,602.412318
0.0,2,602.4483
0.0,2,602.484794
0.0,2,602.522717
0.0,2,602.556185
0.0,2,602.593178
0.0,2,602.627357
0.0,2,602.662601
0.0,4,602.729043
0.0,2,602.763057
0.0,2,602.797553
0.0,2,602.827631
0.0,4,602.887757
0.0,3,602.931782
0.0,6,603.032201
0.0,2,603.065185
0.0,4,603.128382
0.0,2,603.162473
0.0,6,603.25264
0.0,2,603.282238
0.0,3,603.327507
0.0,3,603.376181
0.0,2,603.405929
0.0,6,603.497079
0.0,4,603.562609
0.0,2,603.59701
0.0,2,603.632022
0.0,2,603.663364
0.0,2,603.698276
0.0,2,603.733472
0.0,2,603.768977
0.0,2,603.805028
0.0,4,603.874808
0.0,2,603.911255
0.0,2,603.947987
0.0,2,603.982517
0.0,6,604.094354
0.0,4,607.724498
0.0,6,607.833752
0.0,6,607.938927
0.0,4,608.008306
0.0,2,608.047832
0.0,2,608.085797
0.0,2,608.122553
0.0,2,608.162141
0.0,4,608.234636
0.0,2,608.26711
0.0,2,608.299399
0.0,2,608.331727
0.0,2,608.363724
0.0,2,608.399299
0.0,2,608.432648
0.0,2,608.465293
0.0,2,608.493849
0.0,4,608.55733
0.0,2,608.589938
0.0,6,608.684044
0.0,3,608.738453
0.0,2,608.77058
0.0,2,608.799801
0.0,2,608.835272
0.0,2,608.869102
0.0,2,608.902291
0.0,2,608.932464
0.0,6,609.023694
0.0,3,609.069415
0.0,4,609.133595
0.0,2,609.166134
0.0,2,609.197425
0.0,4,609.260095
0.0,2,609.293476
0.0,2,609.329162
0.0,2,609.363361
0.0,2,609.398201
0.0,2,609.433766
0.0,2,609.470168
0.0,6,609.578185
0.0,3,609.629066
0.0,2,609.662906
0.0,2,609.700652
0.0,2,609.739165
0.0,2,609.777515
0.0,2,609.815424
0.0,4,609.89076
0.0,4,613.502539
0.0,4,613.569907
0.0,2,613.606004
0.0,6,613.71554
0.0,2,613.752213
0.0,3,613.8079
0.0,4,613.879509
0.0,2,613.912982
0.0,2,613.949548
0.0,2,613.98236
0.0,2,614.016968
0.0,2,614.05076
0.0,2,614.084728
0.0,3,614.134033
0.0,2,614.170058
0.0,2,614.200461
0.0,5,614.278027
0.0,2,614.310683
0.0,4,614.375714
0.0,2,614.40676
0.0,2,614.442531
0.0,4,614.512357
0.0,2,614.548072
0.0,3,614.59963
0.0,4,614.669656
0.0,2,614.702657
0.0,2,614.735948
0.0,2,614.76847
0.0,4,614.836555
0.0,2,614.865398
0.0,2,614.894643
