#{"t_start": 1667421507.4996352, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,2006.180612
0.0,2,2006.21507
0.0,2,2006.251922
0.0,2,2006.290446
0.0,2,2006.328705
0.0,2,2006.369258
0.0,2,2006.40396
0.0,2,2006.439036
0.0,2,2006.476544
0.0,2,2006.519797
0.0,2,2006.5597
0.0,2,2006.600152
0.0,2,2006.637563
0.0,2,2006.678409
0.0,2,2006.722488
0.0,2,2006.762718
0.0,2,2006.805693
0.0,2,2006.844365
0.0,2,2006.886187
0.0,2,2006.923017
0.0,2,2006.956851
0.0,2,2006.991311
0.0,4,2007.065196
0.0,4,2007.142297
0.0,2,2007.177818
0.0,2,2007.215786
0.0,6,2007.335651
0.0,2,2007.393059
0.0,2,2007.430965
0.0,2,2007.468934
0.0,2,2007.509821
0.0,2,2007.551647
0.0,2,2007.591302
0.0,4,2007.66718
0.0,2,2007.705038
0.0,2,2007.74292
0.0,2,2007.781741
0.0,2,2007.820906
0.0,2,2007.856846
0.0,2,2007.89252
0.0,2,2007.928025
0.0,4,2007.999418
0.0,7,2008.134177
0.0,2,2008.174826
0.0,2,2008.211747
0.0,2,2008.250818
0.0,2,2008.289066
0.0,3,2008.344517
0.0,6,2008.460241
0.0,2,2008.499722
0.0,4,2008.572158
0.0,2,2008.607318
0.0,2,2012.648725
0.0,3,2012.7067
0.0,2,2012.746976
0.0,2,2012.788185
0.0,4,2012.86893
0.0,2,2012.905242
0.0,2,2012.941904
0.0,4,2013.01761
0.0,3,2013.074733
0.0,2,2013.112449
0.0,2,2013.150185
0.0,2,2013.186837
0.0,2,2013.229389
0.0,2,2013.269637
0.0,2,2013.308673
0.0,2,2013.346153
0.0,2,2013.383106
0.0,4,2013.451497
0.0,2,2013.485826
0.0,2,2013.520787
0.0,2,2013.55763
0.0,3,2013.611465
0.0,2,2013.648833
0.0,2,2013.689587
0.0,2,2013.728317
0.0,2,2013.765919
0.0,2,2013.804309
0.0,2,2013.842725
0.0,2,2013.877394
0.0,2,2013.912539
0.0,2,2013.952694
0.0,2,2013.990507
0.0,2,2014.031369
0.0,2,2014.071026
0.0,2,2014.106333
0.0,2,2014.145829
0.0,3,2014.196999
0.0,2,2014.232122
0.0,2,2014.268391
0.0,2,2014.300327
0.0,4,2014.373806
0.0,4,2014.446301
0.0,7,2014.564509
0.0,2,2014.598861
0.0,2,2014.630382
0.0,2,2014.664861
0.0,4,2014.724345
0.0,2,2014.753059
