#{"t_start": 1667421507.2128978, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,321.04188
0.0,2,321.078079
0.0,2,321.113296
0.0,2,321.144924
0.0,2,321.179151
0.0,2,321.208919
0.0,2,321.242898
0.0,2,321.276838
0.0,2,321.310711
0.0,2,321.340978
0.0,2,321.372823
0.0,2,321.404296
0.0,2,321.436447
0.0,2,321.469298
0.0,2,321.500426
0.0,2,321.532313
0.0,2,321.564068
0.0,2,321.593975
0.0,2,321.624421
0.0,2,321.654091
0.0,2,321.683453
0.0,2,321.712857
0.0,2,321.742335
0.0,2,321.773759
0.0,2,321.805003
0.0,2,321.836964
0.0,2,321.868065
0.0,2,321.900653
0.0,4,321.967113
0.0,2,322.001159
0.0,2,322.033545
0.0,2,322.066602
0.0,4,322.133209
0.0,2,322.166522
0.0,2,322.199278
0.0,2,322.233764
0.0,4,322.301813
0.0,2,322.336126
0.0,2,322.371066
0.0,4,322.439524
0.0,2,322.473891
0.0,4,322.538398
0.0,4,322.603075
0.0,3,322.655751
0.0,2,322.69175
0.0,4,322.759012
0.0,2,322.792326
0.0,4,322.861322
0.0,4,322.929016
0.0,2,322.964215
0.0,2,322.997285
0.0,2,323.030516
0.0,2,323.064088
0.0,2,323.099521
0.0,2,326.389152
0.0,2,326.421446
0.0,4,326.492698
0.0,2,326.528569
0.0,2,326.563895
0.0,2,326.599731
0.0,4,326.673042
0.0,2,326.707245
0.0,2,326.741521
0.0,2,326.774218
0.0,4,326.841269
0.0,2,326.87728
0.0,4,326.945235
0.0,2,326.978937
0.0,3,327.02947
0.0,2,327.062529
0.0,2,327.09336
0.0,2,327.12333
0.0,4,327.182096
0.0,3,327.22439
0.0,2,327.252537
0.0,2,327.281237
0.0,2,327.308949
0.0,2,327.337229
0.0,4,327.394013
0.0,4,327.451493
0.0,2,327.481067
0.0,2,327.510758
0.0,2,327.541788
0.0,2,327.571617
0.0,4,327.634277
0.0,4,327.696333
0.0,4,327.757176
0.0,2,327.79224
0.0,4,327.857113
0.0,2,327.889169
0.0,5,327.971961
0.0,2,328.004308
0.0,2,328.035001
0.0,2,328.065577
0.0,2,328.09652
0.0,2,328.128047
0.0,2,328.160566
0.0,2,328.194066
0.0,2,328.22767
0.0,2,328.562633
0.0,2,328.595335
0.0,2,328.629307
0.0,2,328.663933
0.0,4,328.733983
0.0,6,332.188685
0.0,2,332.223892
0.0,2,332.257592
0.0,2,332.293904
0.0,2,332.327486
0.0,2,332.359855
0.0,3,332.415157
0.0,2,332.450611
0.0,4,332.523464
0.0,2,332.556567
0.0,2,332.592972
0.0,2,332.625512
0.0,4,332.695169
0.0,2,332.731707
0.0,2,332.766968
0.0,2,332.800108
0.0,2,332.833852
0.0,2,332.867966
0.0,2,332.901536
0.0,4,332.970507
0.0,2,333.005497
0.0,4,333.073096
0.0,4,333.14299
0.0,2,333.175683
0.0,2,333.204961
0.0,4,333.268632
0.0,2,333.292932
0.0,2,333.31558
0.0,2,333.345199
0.0,3,333.389478
0.0,2,333.419567
0.0,3,333.466254
0.0,2,333.496765
0.0,2,333.527058
0.0,2,333.558779
0.0,2,333.590699
0.0,2,333.622339
0.0,3,333.673523
0.0,2,333.707756
0.0,2,333.741601
0.0,2,333.773045
0.0,2,333.80504
0.0,2,333.840956
0.0,2,333.870184
0.0,4,333.938835
0.0,2,333.972588
0.0,2,334.006246
0.0,2,334.039748
0.0,2,334.071006
0.0,2,334.099874
0.0,2,334.136676
0.0,2,334.171879
1.0,7,337.739027
1.0,7,337.860803
1.0,7,337.977381
1.0,7,338.094365
1.0,7,338.213468
1.0,7,338.367386
1.0,7,338.485397
1.0,7,338.593052
1.0,7,338.708003
1.0,7,338.819313
1.0,7,338.921585
1.0,7,339.032008
1.0,7,339.139053
1.0,7,339.256096
1.0,7,339.379627
1.0,7,339.501539
1.0,7,339.618683
1.0,7,339.734977
0.0,5,343.13571
1.0,7,343.257514
0.0,7,343.378505
0.0,3,343.433952
1.0,7,343.559725
0.0,4,343.621186
1.0,7,343.739087
1.0,7,343.852586
0.0,7,343.972062
1.0,7,344.088767
0.0,6,344.190245
1.0,7,344.300829
0.0,4,344.361242
1.0,7,344.470268
0.0,7,344.57709
1.0,7,344.688773
0.0,5,344.770346
0.0,4,344.834569
1.0,7,344.950037
1.0,7,345.068307
1.0,7,345.188368
1.0,7,348.645117
1.0,7,348.770944
1.0,7,348.884932
0.0,5,348.973658
1.0,7,349.09681
0.0,5,349.184
0.0,5,349.272389
0.0,7,349.393241
1.0,7,349.514251
1.0,7,349.630747
1.0,7,349.742976
1.0,7,349.842454
1.0,7,349.959625
1.0,7,350.072284
0.0,5,350.150319
1.0,7,350.262637
1.0,7,350.379554
1.0,7,350.494363
1.0,7,350.616482
0.0,3,350.668826
1.0,7,354.079256
0.0,7,354.205495
1.0,7,354.331218
0.0,3,354.386088
1.0,7,354.511699
1.0,7,354.624782
1.0,7,354.745566
1.0,7,354.862594
1.0,7,354.982968
1.0,7,355.10323
1.0,7,355.211382
1.0,7,355.314637
1.0,7,355.417395
1.0,7,355.518194
0.0,4,355.577719
1.0,7,355.68293
1.0,7,355.790193
1.0,7,355.895314
1.0,7,356.006401
1.0,7,359.448557
1.0,7,359.565622
1.0,7,359.686756
0.0,7,359.804125
1.0,7,359.921214
1.0,7,360.039428
1.0,7,360.160329
1.0,7,360.275054
0.0,7,360.394498
1.0,7,360.514609
1.0,7,360.638557
1.0,7,360.754596
1.0,7,360.874104
1.0,7,360.989942
1.0,7,361.112437
1.0,7,361.23192
1.0,7,361.348592
1.0,7,361.46885
1.0,7,361.594917
1.0,7,365.015162
1.0,7,365.139394
1.0,7,365.258043
1.0,7,365.377829
1.0,7,365.499499
1.0,7,365.627029
1.0,7,365.748768
1.0,7,365.870817
1.0,7,365.99055
1.0,7,366.106105
1.0,7,366.221269
1.0,7,366.341605
1.0,7,366.461972
1.0,7,366.586032
1.0,7,366.705336
1.0,7,366.824313
1.0,7,366.942969
0.0,4,367.005766
1.0,7,370.474127
1.0,7,370.595763
1.0,7,370.709262
1.0,7,370.829356
1.0,7,370.958535
1.0,7,371.085397
1.0,7,371.207067
1.0,7,371.330045
0.0,6,371.430612
1.0,7,371.548429
1.0,7,371.667308
1.0,7,371.78201
1.0,7,371.897982
1.0,7,372.016751
1.0,7,372.13523
1.0,7,372.251397
1.0,7,372.361962
1.0,7,372.481852
1.0,7,372.606922
1.0,7,376.065468
1.0,7,376.187937
1.0,7,376.30452
1.0,7,376.417844
1.0,7,376.536864
1.0,7,376.660376
0.0,7,376.779584
1.0,7,376.896138
1.0,7,377.010869
1.0,7,377.128901
1.0,7,377.244689
1.0,7,377.352445
1.0,7,377.471202
1.0,7,377.592819
0.0,2,377.627739
1.0,7,377.741925
1.0,7,377.855203
1.0,7,377.971879
1.0,7,378.094975
1.0,7,381.531208
1.0,7,381.645309
1.0,7,381.762878
1.0,7,381.875471
1.0,7,381.998385
1.0,7,382.115875
1.0,7,382.23597
1.0,7,382.354517
1.0,7,382.473778
1.0,7,382.587526
1.0,7,382.702409
1.0,7,382.816625
0.0,7,382.929217
1.0,7,383.054461
1.0,7,383.17337
1.0,7,383.287586
1.0,7,383.446984
1.0,7,383.567986
1.0,7,387.039141
1.0,7,387.156589
1.0,7,387.271178
0.0,3,387.322653
1.0,7,387.445922
1.0,7,387.566421
1.0,7,387.684282
1.0,7,387.802
1.0,7,387.92617
1.0,7,388.041207
1.0,7,388.163595
1.0,7,388.278512
1.0,7,388.410445
1.0,7,388.521764
1.0,7,388.642464
1.0,7,388.81345
1.0,7,388.928988
0.0,5,389.005978
1.0,7,389.130666
1.0,7,392.637613
1.0,7,392.754524
1.0,7,392.878339
1.0,7,393.00203
1.0,7,393.124628
1.0,7,393.2441
1.0,7,393.430777
1.0,7,393.547681
1.0,7,393.667591
1.0,7,393.787452
1.0,7,393.904146
0.0,2,393.937093
1.0,7,394.061488
1.0,7,394.179965
1.0,7,394.294034
1.0,7,394.404711
1.0,7,394.521413
1.0,7,394.646873
1.0,7,394.761694
1.0,7,398.171565
1.0,7,398.292869
1.0,7,398.412117
1.0,7,398.538223
1.0,7,398.668465
1.0,7,398.791764
1.0,7,398.91872
1.0,7,399.039184
1.0,7,399.151439
1.0,7,399.268054
1.0,7,399.376836
1.0,7,399.491101
1.0,7,399.612478
1.0,7,399.72437
1.0,7,399.837349
1.0,7,399.954975
1.0,7,400.068411
1.0,7,400.188092
1.0,7,403.612278
1.0,7,403.734559
1.0,7,403.855661
1.0,7,403.980925
1.0,7,404.101405
1.0,7,404.218201
1.0,7,404.342278
1.0,7,404.462826
1.0,7,404.584234
1.0,7,404.70265
1.0,7,404.81873
1.0,7,404.942494
1.0,7,405.062654
1.0,7,405.180705
1.0,7,405.28575
1.0,7,405.40255
1.0,7,405.522518
1.0,7,405.638466
1.0,7,405.752949
1.0,7,409.115732
1.0,7,409.239395
1.0,7,409.357074
1.0,7,409.479033
1.0,7,409.598852
1.0,7,409.722539
1.0,7,409.846475
1.0,7,409.966223
1.0,7,410.085162
1.0,7,410.203531
1.0,7,410.322322
1.0,7,410.437887
1.0,7,410.558233
1.0,7,410.675224
1.0,7,410.787704
1.0,7,410.90533
1.0,7,411.012296
1.0,7,411.132843
1.0,7,414.558418
1.0,7,414.68102
1.0,7,414.803256
1.0,7,414.917458
1.0,7,415.041875
1.0,7,415.162329
1.0,7,415.288429
1.0,7,415.408267
1.0,7,415.529108
1.0,7,415.651533
1.0,7,415.77182
1.0,7,415.890306
1.0,7,416.007195
1.0,7,416.128208
1.0,7,416.236637
1.0,7,416.355618
1.0,7,416.476376
1.0,7,416.596974
1.0,7,420.069542
1.0,7,420.189643
1.0,7,420.309391
1.0,7,420.433402
1.0,7,420.559318
1.0,7,420.686471
1.0,7,420.81196
1.0,7,420.925992
0.0,3,420.974623
1.0,7,421.096071
1.0,7,421.211505
1.0,7,421.332081
1.0,7,421.456412
1.0,7,421.579978
1.0,7,421.699312
1.0,7,421.810476
1.0,7,421.932634
1.0,7,422.048322
1.0,7,422.169718
1.0,7,425.574645
1.0,7,425.697118
0.0,4,425.764202
1.0,7,425.885126
1.0,7,426.010317
1.0,7,426.128263
1.0,7,426.24805
1.0,7,426.367625
1.0,7,426.481395
1.0,7,426.605706
1.0,7,426.728378
1.0,7,426.841351
1.0,7,426.960767
1.0,7,427.075772
1.0,7,427.195395
1.0,7,427.30983
1.0,7,427.429152
1.0,7,427.539094
1.0,7,427.661285
1.0,7,431.112648
1.0,7,431.236071
1.0,7,431.355585
1.0,7,431.476248
1.0,7,431.601008
1.0,7,431.722471
1.0,7,431.842327
1.0,7,431.949783
