#{"t_start": 1667421507.2124984, "env_id": "CTgraph-v0"}
r,l,t
0.0,4,2006.501026
0.0,2,2006.537976
0.0,2,2006.576583
0.0,2,2006.614748
0.0,2,2006.654988
0.0,2,2006.689983
0.0,4,2006.762538
0.0,2,2006.805797
0.0,6,2006.923743
0.0,2,2006.964455
0.0,2,2007.008121
0.0,2,2007.048505
0.0,2,2007.091349
0.0,2,2007.130109
0.0,2,2007.171825
0.0,2,2007.208908
0.0,2,2007.242854
0.0,2,2007.277373
0.0,6,2007.38848
0.0,2,2007.428299
0.0,2,2007.463901
0.0,2,2007.501852
0.0,2,2007.542914
0.0,3,2007.60005
0.0,4,2007.694844
0.0,2,2007.736777
0.0,2,2007.776688
0.0,2,2007.818463
0.0,3,2007.877324
0.0,4,2007.95322
0.0,5,2008.052063
0.0,6,2008.163717
0.0,2,2008.199534
0.0,2,2008.234942
0.0,2,2008.27049
0.0,2,2008.30621
0.0,4,2008.381642
0.0,2,2008.41988
0.0,2,2008.460748
0.0,4,2008.536733
0.0,2,2008.57511
0.0,3,2008.630447
0.0,3,2008.686038
0.0,2,2008.725781
0.0,2,2008.762938
0.0,2,2008.804968
0.0,2,2008.839388
0.0,2,2008.875875
0.0,2,2012.917004
0.0,4,2012.992679
0.0,2,2013.032927
0.0,4,2013.117473
0.0,2,2013.154991
0.0,2,2013.191285
0.0,4,2013.266468
0.0,2,2013.303611
0.0,2,2013.340349
0.0,2,2013.379443
0.0,3,2013.436213
0.0,4,2013.515428
0.0,2,2013.555554
0.0,2,2013.594771
0.0,2,2013.632219
0.0,2,2013.669201
0.0,2,2013.7028
0.0,2,2013.737595
0.0,2,2013.771865
0.0,2,2013.806858
0.0,2,2013.84371
0.0,2,2013.879583
0.0,4,2013.95502
0.0,2,2013.992386
0.0,2,2014.030121
0.0,4,2014.111472
0.0,6,2014.220872
0.0,2,2014.257997
0.0,2,2014.295944
0.0,4,2014.373406
0.0,2,2014.408916
0.0,2,2014.44854
0.0,4,2014.518152
0.0,2,2014.55449
0.0,2,2014.586414
0.0,2,2014.62338
0.0,2,2014.659863
0.0,2,2014.695651
0.0,2,2014.732359
0.0,2,2014.768702
0.0,4,2014.832935
0.0,2,2014.867721
0.0,4,2014.934903
0.0,2,2014.967734
0.0,6,2015.058577
0.0,2,2015.091215
0.0,2,2015.124324
0.0,2,2015.156724
0.0,2,2015.187596
0.0,4,2019.078533
0.0,4,2019.147199
0.0,2,2019.183681
0.0,2,2019.217549
0.0,2,2019.249051
0.0,2,2019.283646
0.0,2,2019.314547
0.0,2,2019.349804
0.0,2,2019.386887
0.0,2,2019.420765
0.0,2,2019.459751
0.0,2,2019.496838
0.0,2,2019.538781
0.0,2,2019.581136
0.0,2,2019.620285
0.0,2,2019.658686
0.0,2,2019.696863
0.0,4,2019.772949
0.0,2,2019.81209
0.0,2,2019.847101
0.0,4,2019.913074
0.0,2,2019.947427
0.0,2,2019.984916
0.0,2,2020.023584
0.0,2,2020.060266
0.0,4,2020.13817
0.0,2,2020.177318
0.0,4,2020.254738
0.0,2,2020.295005
0.0,3,2020.354332
0.0,2,2020.392654
0.0,4,2020.471366
0.0,6,2020.573713
0.0,4,2020.651346
0.0,2,2020.68506
0.0,2,2020.720246
0.0,4,2020.798267
0.0,4,2020.87935
0.0,2,2020.916642
0.0,4,2020.991985
0.0,2,2021.029494
0.0,2,2021.065007
0.0,3,2021.117377
0.0,2,2021.152682
0.0,4,2021.226134
0.0,2,2021.267718
0.0,2,2021.310348
0.0,2,2021.351125
0.0,4,2021.4286
0.0,3,2025.439124
0.0,3,2025.490316
0.0,2,2025.521567
0.0,2,2025.554921
0.0,2,2025.590367
0.0,2,2025.624136
0.0,2,2025.66127
0.0,2,2025.695176
0.0,4,2025.772103
0.0,4,2025.851192
0.0,3,2025.909533
0.0,2,2025.947972
0.0,2,2025.985721
0.0,4,2026.056056
0.0,2,2026.090084
0.0,4,2026.158565
0.0,2,2026.1975
0.0,2,2026.232964
0.0,2,2026.267748
0.0,2,2026.299446
0.0,4,2026.368036
0.0,4,2026.442737
0.0,2,2026.483339
0.0,2,2026.520954
0.0,2,2026.553412
0.0,2,2026.590063
0.0,2,2026.626301
0.0,2,2026.662149
0.0,2,2026.697619
0.0,2,2026.736957
0.0,2,2026.775432
0.0,3,2026.830559
0.0,2,2026.867457
0.0,2,2026.9015
0.0,2,2026.941404
0.0,2,2026.979463
0.0,3,2027.033689
0.0,2,2027.075848
0.0,2,2027.109789
0.0,2,2027.143609
0.0,2,2027.177561
0.0,2,2027.211785
0.0,6,2027.316635
0.0,2,2027.351255
0.0,2,2027.385676
0.0,4,2027.461825
0.0,2,2027.494964
0.0,2,2027.535814
0.0,2,2027.575873
0.0,2,2027.61462
0.0,2,2027.692549
0.0,5,2031.926264
1.0,7,2032.051936
1.0,7,2032.183744
1.0,7,2032.316918
1.0,7,2032.454449
1.0,7,2032.578896
1.0,7,2032.778322
1.0,7,2032.907323
1.0,7,2033.036307
1.0,7,2033.171351
1.0,7,2033.303863
1.0,7,2033.438754
1.0,7,2033.570405
1.0,7,2033.696317
1.0,7,2033.825676
1.0,7,2033.954663
1.0,7,2034.08832
1.0,7,2034.223498
1.0,7,2034.36138
1.0,7,2038.353519
1.0,7,2038.486603
1.0,7,2038.62736
1.0,7,2038.76669
1.0,7,2038.892216
1.0,7,2039.005664
1.0,7,2039.131783
1.0,7,2039.252974
1.0,7,2039.370426
1.0,7,2039.485052
1.0,7,2039.60071
1.0,7,2039.736165
1.0,7,2039.862547
1.0,7,2039.988211
1.0,7,2040.118895
1.0,7,2040.243648
1.0,7,2040.367653
1.0,7,2040.497818
1.0,7,2044.496629
1.0,7,2044.614648
1.0,7,2044.744313
1.0,7,2044.878633
1.0,7,2045.006783
1.0,7,2045.123271
1.0,7,2045.251789
1.0,7,2045.381758
1.0,7,2045.495633
1.0,7,2045.626626
1.0,7,2045.756046
