#{"t_start": 1667421507.795274, "env_id": "CTgraph-v0"}
r,l,t
0.0,6,2005.957295
0.0,2,2005.995943
0.0,2,2006.034227
0.0,2,2006.074909
0.0,2,2006.109416
0.0,5,2006.204501
0.0,2,2006.241883
0.0,2,2006.282744
0.0,2,2006.325053
0.0,2,2006.363639
0.0,2,2006.406993
0.0,4,2006.486876
0.0,2,2006.530242
0.0,2,2006.570751
0.0,2,2006.613224
0.0,2,2006.647458
0.0,4,2006.716165
0.0,2,2006.750577
0.0,2,2006.78818
0.0,2,2006.826517
0.0,2,2006.865709
0.0,2,2006.901973
0.0,2,2006.943196
0.0,2,2006.979933
0.0,2,2007.01942
0.0,2,2007.055563
0.0,7,2007.215583
0.0,2,2007.257259
0.0,2,2007.296851
0.0,4,2007.372746
0.0,4,2007.448414
0.0,2,2007.487155
0.0,4,2007.562365
0.0,4,2007.633385
0.0,4,2007.704764
0.0,2,2007.741334
0.0,2,2007.783579
0.0,2,2007.820693
0.0,2,2007.860943
0.0,4,2007.932981
0.0,2,2007.973505
0.0,2,2008.01312
0.0,3,2008.067804
0.0,2,2008.105152
0.0,2,2008.14489
0.0,2,2008.182001
0.0,2,2008.223954
0.0,2,2008.258598
0.0,4,2012.336484
0.0,2,2012.373213
0.0,2,2012.412235
0.0,2,2012.452493
0.0,2,2012.493667
0.0,2,2012.536547
0.0,2,2012.574352
0.0,2,2012.610647
0.0,2,2012.647231
0.0,2,2012.685588
0.0,2,2012.723031
0.0,2,2012.759416
0.0,7,2012.892479
0.0,2,2012.934745
0.0,4,2013.013985
0.0,2,2013.051498
0.0,4,2013.121762
0.0,2,2013.156814
0.0,4,2013.226096
0.0,2,2013.262926
0.0,2,2013.298949
0.0,3,2013.354602
0.0,2,2013.395396
0.0,3,2013.449103
0.0,2,2013.486769
0.0,4,2013.565098
0.0,2,2013.600092
0.0,2,2013.639983
0.0,2,2013.677091
0.0,2,2013.715228
0.0,6,2013.827792
0.0,2,2013.867543
0.0,2,2013.902407
0.0,2,2013.937448
0.0,2,2013.973742
0.0,2,2014.005723
0.0,4,2014.079254
0.0,2,2014.114806
0.0,2,2014.151879
0.0,2,2014.187776
0.0,2,2014.221716
0.0,2,2014.25209
0.0,2,2014.28685
0.0,2,2014.321255
0.0,2,2014.354017
0.0,4,2014.416762
0.0,2,2014.444347
0.0,2,2014.477678
0.0,6,2014.575834
0.0,2,2014.606677
0.0,2,2014.637525
0.0,2,2018.497665
0.0,2,2018.531925
0.0,2,2018.566458
0.0,2,2018.602678
0.0,2,2018.636528
0.0,4,2018.702753
0.0,2,2018.733641
0.0,2,2018.768919
0.0,4,2018.839825
0.0,2,2018.878928
0.0,2,2018.915859
0.0,2,2018.957751
0.0,2,2019.000317
0.0,2,2019.040318
0.0,2,2019.077847
0.0,2,2019.116287
0.0,2,2019.153718
0.0,2,2019.192289
0.0,4,2019.266235
0.0,2,2019.297034
0.0,2,2019.332409
0.0,2,2019.366893
0.0,2,2019.404071
0.0,4,2019.479635
0.0,2,2019.521058
0.0,2,2019.55807
0.0,4,2019.632777
0.0,2,2019.674161
0.0,2,2019.71434
0.0,2,2019.752455
0.0,2,2019.792716
0.0,4,2019.870335
0.0,2,2019.908459
0.0,2,2019.942508
0.0,2,2019.976449
0.0,4,2020.049524
0.0,6,2020.159972
0.0,2,2020.197786
0.0,2,2020.238903
0.0,2,2020.27609
0.0,2,2020.31699
0.0,2,2020.35545
0.0,4,2020.43245
0.0,4,2020.500892
0.0,2,2020.536458
0.0,4,2020.608244
0.0,2,2020.645192
0.0,4,2020.729306
0.0,2,2020.770321
0.0,2,2020.808658
0.0,2,2020.847515
0.0,2,2024.842031
0.0,2,2024.877609
0.0,2,2024.909417
0.0,2,2024.940621
0.0,4,2025.009282
0.0,4,2025.08033
0.0,4,2025.151192
0.0,2,2025.191309
0.0,2,2025.231366
0.0,2,2025.270279
0.0,2,2025.306751
0.0,4,2025.384688
0.0,2,2025.424381
0.0,2,2025.457704
0.0,2,2025.492176
0.0,2,2025.527889
0.0,4,2025.597773
0.0,6,2025.700052
0.0,2,2025.732942
0.0,2,2025.768715
0.0,2,2025.805788
0.0,2,2025.844253
0.0,2,2025.884116
0.0,2,2025.919747
0.0,2,2025.954115
0.0,2,2025.98711
0.0,2,2026.026888
0.0,2,2026.063445
0.0,2,2026.101151
0.0,2,2026.138039
0.0,2,2026.175821
0.0,4,2026.249549
0.0,2,2026.28641
0.0,2,2026.320357
