#{"t_start": 1667421510.037846, "env_id": "CTgraph-v0"}
r,l,t
0.0,3,2002.196169
0.0,2,2002.237689
0.0,2,2002.27449
0.0,4,2002.345278
0.0,2,2002.379762
0.0,2,2002.415011
0.0,2,2002.451969
0.0,2,2002.488717
0.0,2,2002.523113
0.0,2,2002.558934
0.0,2,2002.596243
0.0,2,2002.630171
0.0,4,2002.698908
0.0,2,2002.735649
0.0,3,2002.790106
0.0,2,2002.826531
0.0,2,2002.865369
0.0,2,2002.901047
0.0,2,2002.937695
0.0,4,2003.007834
0.0,2,2003.04676
0.0,2,2003.085173
0.0,4,2003.152772
0.0,2,2003.189139
0.0,4,2003.263729
0.0,2,2003.298008
0.0,2,2003.330886
0.0,2,2003.364072
0.0,2,2003.39813
0.0,2,2003.438055
0.0,2,2003.475863
0.0,2,2003.513231
0.0,2,2003.545303
0.0,2,2003.579476
0.0,4,2003.650405
0.0,2,2003.689295
0.0,2,2003.724873
0.0,2,2003.760906
0.0,2,2003.795397
0.0,2,2003.831277
0.0,2,2003.870231
0.0,3,2003.929464
0.0,2,2003.967063
0.0,2,2004.007601
0.0,2,2004.040756
0.0,2,2004.07451
0.0,5,2004.161831
0.0,2,2004.200622
0.0,4,2004.284975
0.0,2,2004.32531
0.0,2,2004.368032
0.0,2,2004.406682
0.0,2,2004.445036
0.0,2,2004.482481
0.0,2,2008.598226
0.0,3,2008.648033
0.0,2,2008.679642
0.0,2,2008.710801
0.0,2,2008.741507
0.0,6,2008.846248
0.0,2,2008.877965
0.0,7,2009.006549
0.0,2,2009.040618
0.0,4,2009.102314
0.0,3,2009.159667
0.0,2,2009.195702
0.0,2,2009.23106
0.0,2,2009.267935
0.0,2,2009.307275
0.0,4,2009.381544
0.0,2,2009.41925
0.0,2,2009.453422
0.0,2,2009.489397
0.0,2,2009.520612
0.0,2,2009.556343
0.0,2,2009.592351
0.0,2,2009.629109
0.0,2,2009.662278
0.0,2,2009.695237
0.0,2,2009.733248
0.0,2,2009.773081
0.0,2,2009.808447
0.0,2,2009.84083
0.0,2,2009.939369
0.0,2,2009.972148
0.0,2,2010.005339
0.0,4,2010.07954
0.0,2,2010.113381
0.0,2,2010.153517
0.0,2,2010.188591
0.0,2,2010.229556
0.0,2,2010.267921
0.0,3,2010.324277
0.0,2,2010.361835
0.0,2,2010.398656
0.0,2,2010.436416
0.0,3,2010.496344
0.0,2,2010.530795
0.0,4,2010.603392
0.0,4,2010.678182
0.0,2,2010.718361
0.0,4,2010.797481
0.0,4,2010.871393
0.0,6,2014.819972
0.0,2,2014.924531
0.0,2,2014.964915
0.0,2,2015.001717
0.0,2,2015.037555
0.0,4,2015.106798
0.0,2,2015.140407
0.0,2,2015.176792
0.0,3,2015.228935
0.0,2,2015.265318
0.0,2,2015.301035
0.0,2,2015.333788
0.0,2,2015.372757
0.0,2,2015.408036
0.0,2,2015.445803
0.0,2,2015.480479
0.0,2,2015.518365
0.0,2,2015.558204
0.0,2,2015.592562
0.0,2,2015.627398
0.0,2,2015.658374
0.0,2,2015.690083
0.0,3,2015.744095
0.0,2,2015.784507
0.0,2,2015.818156
0.0,2,2015.851517
0.0,2,2015.885281
0.0,3,2015.934724
0.0,4,2016.000588
0.0,4,2016.070266
0.0,2,2016.103896
0.0,2,2016.136866
0.0,2,2016.170372
0.0,7,2016.290205
0.0,2,2016.323968
0.0,2,2016.362582
0.0,2,2016.395546
0.0,2,2016.430057
0.0,2,2016.461195
0.0,2,2016.491924
0.0,2,2016.52383
0.0,2,2016.560743
0.0,2,2016.594626
0.0,2,2016.633638
0.0,2,2016.670551
0.0,4,2016.751014
0.0,3,2016.80114
0.0,2,2016.836307
0.0,2,2016.874748
0.0,2,2016.916947
0.0,2,2016.955176
0.0,2,2016.993864
0.0,2,2017.029017
0.0,4,2017.105631
0.0,2,2021.107259
0.0,3,2021.16248
0.0,2,2021.205094
0.0,3,2021.262846
0.0,2,2021.29738
0.0,2,2021.329872
0.0,2,2021.368472
0.0,2,2021.404573
0.0,2,2021.443918
0.0,2,2021.478489
0.0,2,2021.513911
0.0,2,2021.549196
0.0,2,2021.582615
0.0,2,2021.619242
0.0,7,2021.74383
0.0,2,2021.779239
0.0,2,2021.817242
0.0,2,2021.852341
0.0,2,2021.88738
0.0,2,2021.925801
