#{"t_start": 1667421510.945178, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,3393.656468
0.0,2,3393.696914
0.0,2,3393.736353
0.0,4,3393.801072
0.0,2,3393.831482
0.0,2,3393.863067
0.0,2,3393.898405
0.0,2,3393.933704
0.0,4,3394.005661
0.0,2,3394.039841
0.0,2,3394.074884
0.0,3,3394.123428
0.0,2,3394.156296
0.0,2,3394.190274
0.0,4,3394.259037
0.0,2,3394.292653
0.0,2,3394.327191
0.0,2,3394.363476
0.0,4,3394.435781
0.0,2,3394.472845
0.0,2,3394.510275
0.0,2,3394.548648
0.0,2,3394.589938
0.0,2,3394.629221
0.0,2,3394.668105
0.0,2,3394.710412
0.0,2,3394.747189
0.0,4,3394.824784
0.0,2,3394.874377
0.0,2,3394.922625
0.0,2,3394.970268
0.0,2,3395.010714
0.0,2,3395.053822
0.0,3,3395.115498
0.0,2,3395.158647
0.0,2,3395.201055
0.0,2,3395.243755
0.0,3,3395.308375
0.0,2,3395.350538
0.0,2,3395.393358
0.0,2,3395.43562
0.0,2,3395.478167
0.0,2,3395.520641
0.0,2,3395.562881
0.0,2,3395.605079
0.0,2,3395.64746
0.0,2,3395.689791
0.0,2,3395.72847
0.0,4,3395.806161
0.0,2,3395.847135
0.0,2,3395.887899
0.0,2,3395.928838
0.0,2,3395.971287
0.0,3,3396.032822
0.0,2,3396.075762
0.0,2,3396.117875
0.0,2,3400.373663
0.0,2,3400.409465
0.0,2,3400.445801
0.0,2,3400.481624
0.0,2,3400.517442
0.0,4,3400.589446
0.0,2,3400.625027
0.0,2,3400.662596
0.0,2,3400.701458
0.0,2,3400.741395
0.0,2,3400.779818
0.0,2,3400.818723
0.0,2,3400.856877
0.0,2,3400.89748
0.0,2,3400.935055
0.0,2,3400.973177
0.0,2,3401.01018
0.0,2,3401.047683
0.0,2,3401.088338
0.0,2,3401.12333
0.0,2,3401.165667
0.0,2,3401.201179
0.0,2,3401.234634
0.0,3,3401.293277
0.0,2,3401.333547
0.0,2,3401.378603
0.0,2,3401.419511
0.0,2,3401.455135
0.0,2,3401.497772
0.0,3,3401.560405
0.0,4,3401.651988
0.0,2,3401.696382
0.0,4,3401.782878
0.0,2,3401.82183
0.0,2,3401.862142
0.0,4,3401.943561
0.0,2,3401.984538
0.0,2,3402.026958
0.0,2,3402.069626
0.0,2,3402.111967
0.0,2,3402.154973
0.0,2,3402.197704
0.0,2,3402.239853
0.0,2,3402.282493
0.0,2,3402.324967
0.0,4,3402.4149
0.0,2,3402.457683
0.0,2,3402.500623
0.0,2,3402.547714
0.0,2,3402.590218
0.0,2,3402.642888
0.0,2,3402.686652
0.0,4,3402.765764
0.0,2,3402.80721
0.0,2,3402.850254
0.0,2,3402.893099
0.0,2,3402.935905
0.0,2,3407.211448
0.0,2,3407.251414
0.0,2,3407.292441
0.0,2,3407.328812
0.0,4,3407.413395
0.0,2,3407.449266
0.0,2,3407.485105
0.0,4,3407.556699
0.0,4,3407.636214
0.0,2,3407.676392
0.0,2,3407.714264
0.0,2,3407.751001
0.0,2,3407.79025
0.0,2,3407.827249
0.0,2,3407.869138
0.0,2,3407.908346
0.0,2,3407.946914
0.0,2,3407.987605
0.0,2,3408.029772
0.0,4,3408.106449
0.0,4,3408.170013
0.0,2,3408.206252
0.0,2,3408.242782
0.0,2,3408.283721
0.0,2,3408.319932
0.0,2,3408.361152
0.0,2,3408.398907
0.0,2,3408.438711
0.0,2,3408.472536
0.0,2,3408.514178
0.0,2,3408.553811
0.0,2,3408.594738
0.0,2,3408.636367
0.0,2,3408.677709
0.0,2,3408.724095
0.0,2,3408.768522
0.0,2,3408.812291
0.0,2,3408.855535
0.0,2,3408.897168
0.0,4,3408.979555
0.0,2,3409.025991
0.0,2,3409.070968
0.0,3,3409.131852
0.0,2,3409.177456
0.0,2,3409.222028
0.0,3,3409.282417
0.0,2,3409.323979
0.0,2,3409.364605
0.0,2,3409.40519
0.0,4,3409.485162
0.0,2,3409.525661
0.0,3,3409.583344
0.0,2,3409.629697
0.0,2,3409.670195
0.0,2,3409.710937
0.0,2,3414.355885
0.0,2,3414.399308
0.0,2,3414.433535
0.0,2,3414.468352
0.0,2,3414.501877
0.0,2,3414.538001
0.0,2,3414.574877
0.0,2,3414.610022
0.0,6,3414.719649
