#{"t_start": 1667421510.037547, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,314.47019
0.0,2,314.505399
0.0,2,314.541115
0.0,2,314.576221
0.0,4,314.641791
0.0,2,314.675271
0.0,2,314.709681
0.0,2,314.744865
0.0,2,314.778608
0.0,4,314.843895
0.0,4,314.912275
0.0,2,314.943943
0.0,2,314.978507
0.0,2,315.008932
0.0,4,315.067275
0.0,2,315.098967
0.0,2,315.132656
0.0,2,315.167492
0.0,2,315.201947
0.0,2,315.237206
0.0,2,315.272471
0.0,2,315.304912
0.0,2,315.339844
0.0,4,315.409584
0.0,2,315.454211
0.0,2,315.490075
0.0,2,315.526793
0.0,2,315.563462
0.0,2,315.597039
0.0,2,315.63468
0.0,2,315.671983
0.0,2,315.706406
0.0,2,315.740238
0.0,2,315.777238
0.0,2,315.810439
0.0,2,315.838815
0.0,3,315.8932
0.0,2,315.922383
0.0,2,315.952612
0.0,4,316.026766
0.0,2,316.061184
0.0,2,316.095427
0.0,2,316.127819
0.0,2,316.16033
0.0,4,316.224425
0.0,2,316.255145
0.0,6,316.355044
0.0,2,316.388713
0.0,2,316.424675
0.0,2,316.460348
0.0,2,316.492878
0.0,2,316.525473
0.0,4,316.595161
0.0,2,319.788858
0.0,2,319.823447
0.0,2,319.859195
0.0,2,319.89401
0.0,2,319.927487
0.0,2,319.960277
0.0,2,319.993796
0.0,2,320.029069
0.0,2,320.060993
0.0,2,320.097277
0.0,2,320.13237
0.0,2,320.166035
0.0,2,320.199074
0.0,2,320.232708
0.0,2,320.267534
0.0,2,320.302796
0.0,2,320.337367
0.0,2,320.37222
0.0,2,320.406744
0.0,2,320.452909
0.0,2,320.487638
0.0,2,320.523063
0.0,2,320.558834
0.0,2,320.594882
0.0,2,320.630783
0.0,2,320.667151
0.0,2,320.702856
0.0,2,320.73912
0.0,2,320.774461
0.0,2,320.807341
0.0,2,320.843177
0.0,2,320.878587
0.0,2,320.91093
0.0,2,320.945335
0.0,4,321.019477
0.0,2,321.054917
0.0,2,321.092987
0.0,2,321.13151
0.0,2,321.167359
0.0,4,321.240612
0.0,2,321.273828
0.0,2,321.311581
0.0,2,321.346627
0.0,5,321.423
0.0,2,321.45391
0.0,3,321.510844
0.0,2,321.544461
0.0,2,321.57818
0.0,2,321.612957
0.0,4,321.670046
0.0,4,321.727602
0.0,2,321.75671
0.0,2,321.788018
0.0,2,321.818396
0.0,3,321.864999
0.0,2,321.893231
0.0,2,321.921932
0.0,3,325.102557
0.0,2,325.13505
0.0,2,325.165603
0.0,2,325.197456
0.0,2,325.227807
0.0,4,325.289396
0.0,2,325.322492
0.0,2,325.355179
0.0,2,325.38555
0.0,3,325.430554
0.0,2,325.458029
0.0,4,325.520063
0.0,2,325.55081
0.0,2,325.581462
0.0,4,325.640212
0.0,2,325.672482
0.0,6,325.769798
0.0,3,325.82052
0.0,6,325.926749
0.0,2,325.961032
0.0,2,325.996985
0.0,2,326.026627
0.0,2,326.063433
0.0,2,326.095206
0.0,4,326.157297
0.0,2,326.186172
0.0,2,326.218662
0.0,4,326.292403
0.0,2,326.326493
0.0,2,326.363433
0.0,2,326.3974
0.0,2,326.430133
0.0,2,326.464333
0.0,2,326.499092
0.0,2,326.529174
0.0,2,326.564403
0.0,2,326.600063
0.0,2,326.638419
0.0,2,326.672116
0.0,4,326.737362
0.0,2,326.77272
0.0,2,326.810954
0.0,2,326.846192
0.0,2,326.877388
0.0,2,326.915773
0.0,4,326.980642
0.0,2,327.012187
0.0,2,327.042849
0.0,2,327.077416
0.0,2,327.113128
0.0,2,327.15177
0.0,4,330.668073
0.0,2,330.698583
0.0,7,330.807012
0.0,5,330.888973
0.0,5,330.972723
1.0,7,331.080429
0.0,6,331.171023
0.0,4,331.23564
0.0,4,331.295183
0.0,4,331.36849
0.0,4,331.432183
0.0,7,331.546895
0.0,2,331.583626
1.0,7,331.70417
0.0,4,331.771993
0.0,7,331.889249
0.0,2,331.920605
1.0,7,332.043139
0.0,6,332.13975
0.0,4,332.202566
1.0,7,332.312091
0.0,2,332.343089
1.0,7,332.471638
0.0,4,332.543315
0.0,4,332.619683
0.0,4,332.689393
0.0,6,336.096192
0.0,4,336.159121
0.0,3,336.209105
0.0,3,336.254983
1.0,7,336.366203
0.0,4,336.430404
0.0,3,336.479475
0.0,2,336.514584
0.0,7,336.632663
0.0,4,336.699156
0.0,4,336.768756
0.0,2,336.804047
0.0,5,336.888695
0.0,4,336.957799
0.0,4,337.029151
0.0,7,337.150984
0.0,4,337.218193
1.0,7,337.335756
1.0,7,337.453748
0.0,7,337.583699
0.0,3,337.636194
1.0,7,337.760128
0.0,5,337.843739
1.0,7,337.971441
0.0,2,338.008836
0.0,4,338.08091
0.0,5,338.175425
0.0,5,338.259698
0.0,7,341.668627
0.0,6,341.763931
0.0,4,341.826916
0.0,4,341.890064
0.0,7,342.006176
0.0,6,342.105309
0.0,4,342.171065
0.0,6,342.267237
0.0,7,342.388956
0.0,4,342.4588
0.0,2,342.494355
0.0,4,342.561147
0.0,3,342.607337
0.0,7,342.727478
0.0,4,342.787499
0.0,7,342.903452
1.0,7,343.027423
0.0,6,343.128875
0.0,4,343.204835
0.0,6,343.305799
0.0,6,343.41424
0.0,6,343.5109
1.0,7,343.635481
0.0,7,347.070764
0.0,4,347.137343
0.0,7,347.249954
0.0,6,347.344733
0.0,4,347.405909
0.0,4,347.474973
0.0,4,347.540435
0.0,5,347.62262
0.0,5,347.706374
0.0,6,347.811759
0.0,4,347.881659
1.0,7,348.005467
0.0,4,348.075053
0.0,2,348.110714
0.0,6,348.212483
0.0,6,348.31512
0.0,4,348.382985
1.0,7,348.500975
1.0,7,348.627954
0.0,5,348.720019
0.0,6,348.823227
0.0,4,348.893128
0.0,7,349.020675
0.0,4,349.087488
0.0,4,349.161134
0.0,2,349.197055
0.0,4,353.042178
0.0,4,353.104171
0.0,4,353.166808
0.0,4,353.230968
0.0,5,353.31394
0.0,4,353.379757
0.0,6,353.479238
1.0,7,353.597668
0.0,4,353.666446
0.0,4,353.728431
0.0,4,353.790622
0.0,4,353.862299
0.0,4,353.932425
1.0,7,354.057406
1.0,7,354.177812
1.0,7,354.308887
0.0,4,354.381286
1.0,7,354.509909
0.0,7,354.636151
0.0,5,354.728055
0.0,7,354.859744
0.0,2,354.894147
0.0,6,354.993967
0.0,5,355.072633
0.0,4,355.13888
0.0,2,355.175499
0.0,2,355.208634
0.0,6,358.549178
1.0,7,358.66006
0.0,6,358.761349
0.0,4,358.829852
0.0,4,358.891501
0.0,7,359.004768
1.0,7,359.113006
0.0,4,359.180579
0.0,4,359.246121
0.0,6,359.340831
0.0,5,359.425318
0.0,6,359.533068
0.0,2,359.567386
0.0,5,359.653934
0.0,2,359.684641
0.0,7,359.808027
0.0,4,359.86928
0.0,5,359.954844
1.0,7,360.075368
0.0,4,360.143874
1.0,7,360.26197
0.0,7,360.380745
0.0,6,360.500771
0.0,4,360.628803
0.0,6,363.975451
0.0,6,364.073589
0.0,6,364.176745
1.0,7,364.297543
0.0,6,364.402737
0.0,4,364.469256
0.0,4,364.536567
0.0,4,364.598538
1.0,7,364.717111
0.0,6,364.819937
0.0,4,364.88238
0.0,4,364.951665
0.0,6,365.053501
0.0,6,365.156081
1.0,7,365.287196
0.0,4,365.359431
0.0,4,365.434546
1.0,7,365.582625
1.0,7,365.703986
0.0,2,365.74261
1.0,7,365.867048
0.0,4,365.936783
0.0,4,366.008
0.0,2,366.043857
1.0,7,369.433108
0.0,4,369.497876
0.0,4,369.563304
0.0,5,369.649678
0.0,4,369.715714
0.0,6,369.817828
0.0,2,369.854066
0.0,4,369.920551
0.0,4,369.990111
0.0,4,370.0559
0.0,4,370.118246
0.0,4,370.183139
0.0,7,370.302713
0.0,4,370.371997
0.0,4,370.444561
0.0,6,370.568979
0.0,4,370.638452
0.0,4,370.709323
1.0,7,370.818514
0.0,4,370.885046
0.0,4,370.956314
0.0,4,371.026826
0.0,4,371.100015
1.0,7,371.22063
0.0,6,371.327485
1.0,7,371.44868
0.0,6,371.552676
1.0,7,374.939139
0.0,6,375.03611
0.0,2,375.069438
1.0,7,375.192767
0.0,4,375.259242
1.0,7,375.376768
0.0,4,375.445309
0.0,2,375.480078
0.0,6,375.57597
1.0,7,375.689183
0.0,6,375.789242
0.0,7,375.912173
0.0,4,375.979531
0.0,7,376.10359
0.0,7,376.226742
0.0,4,376.298969
0.0,4,376.370724
0.0,6,376.473857
0.0,6,376.577802
1.0,7,376.760803
0.0,3,376.807942
0.0,4,376.877852
0.0,6,376.979522
0.0,6,377.076452
0.0,4,380.420074
0.0,4,380.484488
0.0,6,380.610716
0.0,6,380.717401
1.0,7,380.840314
1.0,7,380.959437
0.0,4,381.023239
0.0,4,381.085567
0.0,4,381.148486
0.0,6,381.245315
1.0,7,381.363099
0.0,4,381.429391
1.0,7,381.551656
1.0,7,381.676162
0.0,4,381.748771
0.0,7,381.871491
1.0,7,381.988044
0.0,5,382.070232
1.0,7,382.188118
0.0,7,382.315058
0.0,4,382.391129
0.0,4,382.461035
0.0,5,382.549564
0.0,6,385.972146
0.0,6,386.07156
0.0,2,386.102993
0.0,4,386.173254
0.0,4,386.235876
0.0,6,386.334721
0.0,4,386.396011
1.0,7,386.512686
0.0,4,386.57741
0.0,6,386.676261
1.0,7,386.797074
0.0,6,386.900321
0.0,4,386.972394
1.0,7,387.099114
0.0,4,387.171746
0.0,2,387.208007
0.0,4,387.277107
0.0,4,387.342598
0.0,7,387.465011
1.0,7,387.584764
0.0,7,387.704549
0.0,4,387.775594
1.0,7,387.901636
0.0,4,387.97036
0.0,4,388.041319
1.0,7,391.41577
1.0,7,391.528978
0.0,4,391.599674
0.0,7,391.716795
0.0,6,391.820885
0.0,4,391.889264
0.0,4,391.952883
1.0,7,392.069637
1.0,7,392.185072
0.0,6,392.283904
0.0,4,392.351849
0.0,4,392.419883
1.0,7,392.540813
0.0,7,392.662799
1.0,7,392.787436
0.0,4,392.857763
0.0,4,392.925358
0.0,2,392.959027
0.0,6,393.062969
0.0,7,393.184236
0.0,4,393.253848
0.0,4,393.320053
0.0,7,393.444478
0.0,7,393.571189
0.0,2,396.95399
0.0,4,397.022432
0.0,3,397.076056
0.0,6,397.182451
0.0,4,397.248792
0.0,7,397.364897
0.0,6,397.46228
0.0,4,397.525638
0.0,7,397.64312
0.0,5,397.728378
0.0,4,397.795665
0.0,4,397.864995
0.0,4,397.932198
0.0,4,397.998291
0.0,4,398.064004
0.0,2,398.095737
0.0,5,398.183139
1.0,7,398.304477
0.0,4,398.372302
0.0,4,398.431375
0.0,4,398.500311
1.0,7,398.620702
0.0,4,398.687462
0.0,6,398.785428
0.0,7,398.907821
0.0,4,398.97999
0.0,6,399.083046
0.0,7,402.58063
0.0,6,402.683529
0.0,4,402.750816
1.0,7,402.872375
1.0,7,402.987639
0.0,2,403.017686
0.0,4,403.081248
0.0,6,403.179952
0.0,3,403.229787
0.0,6,403.33285
0.0,4,403.400092
0.0,4,403.465373
0.0,2,403.496852
0.0,6,403.60183
0.0,7,403.729589
0.0,4,403.800167
1.0,7,403.912964
1.0,7,404.036594
0.0,6,404.134126
0.0,4,404.204064
0.0,4,404.273261
1.0,7,404.399108
1.0,7,404.52668
0.0,4,404.594573
0.0,6,407.9823
1.0,7,408.105142
0.0,4,408.172778
0.0,7,408.286668
1.0,7,408.399327
0.0,7,408.510193
0.0,2,408.540603
0.0,4,408.606269
1.0,7,408.719363
1.0,7,408.832952
0.0,2,408.866595
0.0,4,408.934983
0.0,4,409.002383
0.0,6,409.105643
0.0,6,409.212758
0.0,4,409.284602
0.0,4,409.359258
0.0,6,409.462138
0.0,4,409.530951
1.0,7,409.648344
0.0,4,409.715913
0.0,4,409.782838
0.0,4,409.853893
1.0,7,409.978701
0.0,5,410.065214
0.0,4,413.457272
0.0,4,413.526937
0.0,4,413.590911
0.0,4,413.657705
0.0,4,413.725934
1.0,7,413.844284
0.0,7,413.96515
0.0,4,414.026885
0.0,4,414.088164
0.0,4,414.152436
0.0,7,414.273674
1.0,7,414.387229
0.0,5,414.472443
1.0,7,414.583273
0.0,4,414.650539
1.0,7,414.772282
0.0,4,414.842029
0.0,6,414.944436
0.0,4,415.013302
1.0,7,415.133969
0.0,4,415.201455
1.0,7,415.328436
1.0,7,415.449667
1.0,7,415.606975
0.0,7,419.022071
1.0,7,419.141987
1.0,7,419.258436
0.0,6,419.361826
0.0,2,419.394911
1.0,7,419.517246
0.0,4,419.578392
0.0,7,419.695383
0.0,4,419.763005
0.0,5,419.848206
0.0,7,419.969098
1.0,7,420.08677
1.0,7,420.209526
0.0,6,420.318728
0.0,6,420.419264
0.0,4,420.483203
1.0,7,420.677616
0.0,4,420.748822
0.0,4,420.821268
1.0,7,420.942416
0.0,4,421.013803
0.0,6,421.108829
0.0,2,421.143026
0.0,4,424.480582
0.0,2,424.515125
0.0,4,424.578408
0.0,5,424.66037
1.0,7,424.781651
