#{"t_start": 1667421510.0379345, "env_id": "CTgraph-v0"}
r,l,t
0.0,4,3394.600608
0.0,2,3394.639844
0.0,2,3394.67463
0.0,2,3394.705124
0.0,2,3394.735984
0.0,2,3394.767202
0.0,2,3394.802768
0.0,2,3394.837661
0.0,2,3394.868201
0.0,2,3394.909573
0.0,2,3394.944091
0.0,2,3394.978815
0.0,2,3395.010123
0.0,2,3395.043172
0.0,2,3395.07721
0.0,2,3395.113667
0.0,2,3395.145665
0.0,2,3395.178041
0.0,2,3395.213847
0.0,2,3395.249946
0.0,2,3395.287853
0.0,2,3395.321251
0.0,2,3395.356496
0.0,2,3395.39372
0.0,2,3395.434361
0.0,2,3395.474782
0.0,2,3395.512881
0.0,2,3395.551553
0.0,2,3395.591682
0.0,2,3395.631104
0.0,4,3395.708821
0.0,2,3395.755347
0.0,2,3395.803122
0.0,2,3395.846271
0.0,2,3395.892008
0.0,2,3395.934786
0.0,2,3395.977394
0.0,4,3396.062642
0.0,2,3396.104949
0.0,2,3396.147396
0.0,2,3396.189731
0.0,2,3396.232192
0.0,4,3396.316969
0.0,2,3396.359342
0.0,2,3396.401692
0.0,2,3396.444014
0.0,2,3396.486322
0.0,2,3396.528863
0.0,4,3396.612734
0.0,2,3396.651701
0.0,2,3396.690716
0.0,2,3396.730266
0.0,2,3396.770869
0.0,2,3396.811643
0.0,2,3396.852143
0.0,2,3396.894671
0.0,2,3396.937218
0.0,2,3396.979806
0.0,2,3397.022239
0.0,2,3401.278194
0.0,3,3401.332725
0.0,2,3401.368709
0.0,2,3401.404662
0.0,6,3401.512617
0.0,2,3401.551268
0.0,4,3401.62455
0.0,2,3401.661326
0.0,2,3401.700842
0.0,2,3401.741568
0.0,2,3401.784013
0.0,4,3401.85969
0.0,2,3401.897647
0.0,2,3401.937517
0.0,2,3401.975628
0.0,2,3402.012855
0.0,2,3402.049213
0.0,2,3402.088987
0.0,2,3402.124286
0.0,2,3402.156257
0.0,2,3402.196943
0.0,2,3402.237274
0.0,2,3402.282846
0.0,2,3402.323594
0.0,2,3402.358214
0.0,2,3402.400725
0.0,2,3402.443886
0.0,2,3402.48852
0.0,2,3402.53376
0.0,2,3402.574867
0.0,2,3402.621592
0.0,6,3402.747388
