#{"t_start": 1667421510.638076, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,2001.576528
0.0,2,2001.619339
0.0,3,2001.676255
0.0,2,2001.714239
0.0,2,2001.747051
0.0,2,2001.781497
0.0,2,2001.816929
0.0,4,2001.890502
0.0,2,2001.92488
0.0,2,2001.960744
0.0,2,2001.997911
0.0,4,2002.067
0.0,3,2002.121101
0.0,2,2002.15785
0.0,2,2002.192072
0.0,2,2002.228532
0.0,2,2002.267417
0.0,2,2002.303054
0.0,4,2002.373099
0.0,2,2002.409781
0.0,2,2002.449042
0.0,2,2002.486834
0.0,2,2002.520687
0.0,2,2002.554797
0.0,2,2002.590904
0.0,2,2002.630252
0.0,2,2002.665776
0.0,2,2002.699748
0.0,2,2002.732818
0.0,2,2002.765953
0.0,2,2002.800032
0.0,2,2002.840033
0.0,4,2002.915078
0.0,4,2002.98097
0.0,3,2003.038074
0.0,2,2003.072212
0.0,2,2003.106243
0.0,2,2003.139652
0.0,2,2003.178514
0.0,4,2003.253882
0.0,2,2003.293842
0.0,2,2003.3313
0.0,2,2003.368876
0.0,2,2003.409923
0.0,6,2003.509337
0.0,2,2003.543483
0.0,4,2003.624076
0.0,4,2003.705474
0.0,2,2003.747352
0.0,2,2003.789528
0.0,2,2003.829572
0.0,2,2003.867878
0.0,6,2008.049593
0.0,4,2008.11262
0.0,4,2008.177861
0.0,2,2008.215095
0.0,2,2008.248115
0.0,2,2008.279647
0.0,2,2008.315326
0.0,2,2008.355011
0.0,2,2008.389071
0.0,2,2008.422168
0.0,2,2008.455889
0.0,2,2008.486645
0.0,4,2008.561354
0.0,2,2008.597488
0.0,2,2008.632641
0.0,2,2008.669469
0.0,2,2008.708904
0.0,2,2008.747018
0.0,6,2008.855117
0.0,2,2008.890992
0.0,2,2008.922106
0.0,2,2008.957943
0.0,2,2008.994104
0.0,2,2009.030843
0.0,2,2009.063854
0.0,2,2009.096911
0.0,2,2009.134853
0.0,2,2009.174618
0.0,4,2009.242441
0.0,2,2009.3411
0.0,2,2009.37383
0.0,2,2009.407028
0.0,2,2009.444034
0.0,2,2009.481035
0.0,4,2009.555048
0.0,2,2009.590715
0.0,2,2009.631465
0.0,2,2009.669671
0.0,3,2009.725884
0.0,2,2009.763584
0.0,2,2009.800421
0.0,2,2009.838338
0.0,2,2009.875183
0.0,2,2009.912092
0.0,2,2009.946607
0.0,2,2009.984212
0.0,2,2010.023607
0.0,4,2010.102846
0.0,2,2010.140626
0.0,2,2010.177977
0.0,2,2010.215365
0.0,3,2010.273008
0.0,2,2010.307592
0.0,2,2014.187301
0.0,2,2014.286986
0.0,2,2014.326134
0.0,2,2014.366668
0.0,2,2014.403293
0.0,2,2014.439179
0.0,4,2014.508505
0.0,2,2014.542094
0.0,4,2014.610564
0.0,2,2014.647309
0.0,2,2014.684965
0.0,2,2014.721122
0.0,4,2014.789612
0.0,2,2014.827501
0.0,2,2014.866664
0.0,2,2014.901546
0.0,2,2014.940623
0.0,2,2014.974391
0.0,2,2015.012375
0.0,2,2015.043233
0.0,2,2015.075058
0.0,2,2015.107349
0.0,2,2015.145726
0.0,2,2015.186241
0.0,2,2015.219791
0.0,2,2015.25315
0.0,4,2015.319918
0.0,4,2015.386322
0.0,2,2015.423143
0.0,2,2015.456514
0.0,2,2015.488922
0.0,4,2015.555262
0.0,2,2015.590252
0.0,2,2015.622731
0.0,2,2015.65768
0.0,2,2015.691623
0.0,2,2015.725621
0.0,2,2015.764715
0.0,2,2015.79701
0.0,2,2015.83153
0.0,2,2015.862636
0.0,2,2015.893379
0.0,2,2015.926037
0.0,4,2015.996622
0.0,2,2016.035725
0.0,2,2016.072809
0.0,4,2016.152395
0.0,2,2016.186272
0.0,4,2016.259003
0.0,2,2016.297422
0.0,4,2016.374805
0.0,2,2016.413794
0.0,2,2016.449725
0.0,2,2016.488842
0.0,2,2020.489588
0.0,2,2020.526441
0.0,2,2020.563987
0.0,2,2020.60717
0.0,4,2020.684175
0.0,2,2020.716903
0.0,2,2020.75134
0.0,2,2020.78656
0.0,2,2020.825208
0.0,2,2020.863823
0.0,2,2020.899325
0.0,2,2020.936257
0.0,2,2020.969626
0.0,2,2021.003119
0.0,2,2021.039172
0.0,2,2021.072448
0.0,2,2021.107577
0.0,5,2021.199507
0.0,6,2021.308662
0.0,2,2021.346657
0.0,2,2021.384901
0.0,2,2021.420149
0.0,2,2021.459389
0.0,4,2021.533133
0.0,2,2021.565736
