#{"t_start": 1667421513.466422, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,589.004038
0.0,2,589.03565
0.0,6,589.129659
0.0,4,589.192204
0.0,3,589.234604
0.0,4,589.29761
0.0,2,589.329137
0.0,2,589.362156
0.0,2,589.395682
0.0,2,589.429914
0.0,2,589.464173
0.0,4,589.535061
0.0,2,589.571043
0.0,2,589.606401
0.0,2,589.641662
0.0,2,589.679229
0.0,2,589.7153
0.0,4,589.789547
0.0,2,589.823778
0.0,2,589.861335
0.0,2,589.894735
0.0,2,589.928259
0.0,2,589.965903
0.0,2,590.008173
0.0,2,590.045037
0.0,4,590.119486
0.0,2,590.155676
0.0,2,590.191805
0.0,2,590.230862
0.0,2,590.269353
0.0,2,590.307559
0.0,3,590.360957
0.0,2,590.396985
0.0,2,590.432724
0.0,4,590.502254
0.0,6,590.607001
0.0,2,590.64258
0.0,2,590.676496
0.0,6,590.787219
0.0,2,590.81955
0.0,2,590.855335
0.0,2,590.892038
0.0,2,590.927427
0.0,2,590.963101
0.0,2,590.998367
0.0,2,591.033586
0.0,4,591.109043
0.0,2,591.148206
0.0,2,591.183562
0.0,2,591.219217
0.0,4,594.648962
0.0,2,594.681848
0.0,2,594.715301
0.0,4,594.779839
0.0,6,594.87659
0.0,2,594.90744
0.0,2,594.938144
0.0,2,594.969854
0.0,3,595.063445
0.0,2,595.098402
0.0,3,595.152527
0.0,2,595.189934
0.0,2,595.226993
0.0,6,595.337256
0.0,4,595.410061
0.0,2,595.449447
0.0,2,595.483576
0.0,2,595.518255
0.0,2,595.551683
0.0,4,595.62265
0.0,6,595.737328
0.0,4,595.809234
0.0,2,595.842902
0.0,2,595.88181
0.0,6,595.994498
0.0,2,596.031933
0.0,2,596.068846
0.0,2,596.106192
0.0,2,596.147286
0.0,2,596.187055
0.0,2,596.218247
0.0,2,596.249474
0.0,2,596.279853
0.0,2,596.313429
0.0,2,596.348739
0.0,4,596.41746
0.0,4,596.483359
0.0,4,596.551404
0.0,3,596.604811
0.0,2,596.636964
0.0,6,596.744486
0.0,2,596.78124
0.0,2,596.81699
0.0,4,600.232738
0.0,2,600.263823
0.0,2,600.297702
0.0,2,600.331102
0.0,3,600.381246
0.0,4,600.446757
0.0,3,600.495096
0.0,2,600.526196
0.0,2,600.55713
0.0,3,600.606346
0.0,2,600.640519
0.0,2,600.675005
0.0,2,600.70961
0.0,2,600.744321
0.0,4,600.813221
0.0,4,600.874359
0.0,2,600.905246
0.0,2,600.943015
0.0,2,600.980593
0.0,2,601.016477
0.0,2,601.050537
0.0,2,601.084375
0.0,2,601.118395
0.0,3,601.165049
0.0,2,601.19985
0.0,2,601.236753
0.0,2,601.27129
0.0,2,601.3072
0.0,2,601.342768
0.0,4,601.412245
0.0,2,601.444472
0.0,2,601.486051
0.0,2,601.523215
0.0,2,601.562712
0.0,2,601.599009
0.0,2,601.632152
0.0,6,601.742787
0.0,3,601.794644
0.0,2,601.830303
0.0,2,601.867728
0.0,2,601.906038
0.0,2,601.944401
0.0,2,601.979273
0.0,4,602.055608
0.0,2,602.08781
0.0,2,602.120452
0.0,4,602.194827
0.0,2,602.234993
0.0,2,602.26786
0.0,2,602.30427
0.0,4,602.376248
0.0,2,602.41412
0.0,2,602.451557
0.0,2,605.911136
0.0,2,605.942502
0.0,2,605.972421
0.0,2,606.003476
0.0,2,606.033308
0.0,2,606.063381
0.0,2,606.094266
0.0,2,606.126995
0.0,6,606.221331
0.0,2,606.253175
0.0,6,606.354336
0.0,2,606.387611
0.0,2,606.418054
0.0,2,606.453405
0.0,2,606.485598
0.0,2,606.523133
0.0,6,606.629814
0.0,2,606.666316
0.0,2,606.704122
0.0,2,606.738635
0.0,3,606.787007
0.0,4,606.860362
0.0,2,606.893789
0.0,2,606.928032
0.0,6,607.02946
0.0,4,607.098669
0.0,7,607.224935
0.0,4,607.300912
0.0,2,607.338233
0.0,2,607.378565
0.0,4,607.44973
0.0,2,607.483129
0.0,2,607.515923
0.0,2,607.548956
0.0,6,607.658237
0.0,2,607.691829
0.0,2,607.727637
0.0,3,607.788222
0.0,2,607.825302
0.0,2,607.861016
0.0,2,607.893923
0.0,4,607.968566
