#{"t_start": 1667421513.758645, "env_id": "CTgraph-v0"}
r,l,t
0.0,4,313.43504
0.0,2,313.468409
0.0,2,313.505809
0.0,2,313.54331
0.0,4,313.608081
0.0,2,313.639787
0.0,2,313.669528
0.0,2,313.699807
0.0,4,313.76404
0.0,2,313.795276
0.0,2,313.829134
0.0,2,313.862722
0.0,4,313.928569
0.0,2,313.963399
0.0,2,313.99747
0.0,2,314.031999
0.0,2,314.066127
0.0,4,314.135536
0.0,2,314.169751
0.0,2,314.204155
0.0,2,314.238578
0.0,2,314.272914
0.0,2,314.309146
0.0,2,314.343343
0.0,2,314.375861
0.0,2,314.408293
0.0,4,314.473047
0.0,2,314.506035
0.0,2,314.540888
0.0,2,314.575747
0.0,2,314.611554
0.0,2,314.642901
0.0,2,314.67624
0.0,2,314.709638
0.0,4,314.773998
0.0,2,314.807392
0.0,2,314.838533
0.0,2,314.869875
0.0,2,314.904086
0.0,2,314.935943
0.0,5,315.015026
0.0,2,315.04462
0.0,2,315.074397
0.0,2,315.105215
0.0,4,315.164245
0.0,2,315.192345
0.0,2,315.224689
0.0,3,315.271858
0.0,2,315.302931
0.0,2,315.333191
0.0,2,315.366365
0.0,2,315.40086
0.0,2,315.433926
0.0,2,315.463483
0.0,2,318.912186
0.0,2,318.949824
0.0,2,318.98129
0.0,2,319.016111
0.0,2,319.045858
0.0,7,319.151605
0.0,2,319.183191
0.0,2,319.215035
0.0,2,319.246981
0.0,2,319.28172
0.0,2,319.3166
0.0,2,319.353435
0.0,2,319.387827
0.0,2,319.422587
0.0,2,319.458595
0.0,4,319.522489
0.0,2,319.556966
0.0,4,319.626248
0.0,2,319.664411
0.0,4,319.733699
0.0,2,319.766208
0.0,2,319.80005
0.0,4,319.871248
0.0,2,319.905874
0.0,2,319.942803
0.0,3,319.996123
0.0,2,320.031406
0.0,2,320.068046
0.0,2,320.104701
0.0,2,320.13904
0.0,2,320.17072
0.0,2,320.205471
0.0,4,320.27441
0.0,2,320.311354
0.0,4,320.374857
0.0,2,320.407964
0.0,2,320.441477
0.0,7,320.556442
0.0,2,320.586269
0.0,2,320.617798
0.0,2,320.647928
0.0,2,320.676467
0.0,2,320.703737
0.0,2,320.731983
0.0,2,320.76065
0.0,2,320.78879
0.0,2,320.816651
0.0,2,320.844878
0.0,2,320.873661
0.0,4,320.931736
0.0,2,320.961233
0.0,2,324.297203
0.0,2,324.331035
0.0,2,324.365737
0.0,2,324.400186
0.0,2,324.432867
0.0,4,324.495991
0.0,4,324.55631
0.0,2,324.585535
0.0,2,324.61591
0.0,2,324.647734
0.0,2,324.681387
0.0,2,324.715888
0.0,2,324.750235
0.0,2,324.78564
0.0,2,324.817
0.0,2,324.8529
0.0,2,324.8894
0.0,3,324.944333
0.0,2,324.982346
0.0,6,325.094043
0.0,2,325.129985
0.0,2,325.167175
0.0,2,325.203908
0.0,2,325.240786
0.0,2,325.278365
0.0,2,325.313261
0.0,2,325.350467
0.0,2,325.387703
0.0,6,325.492471
0.0,2,325.5243
0.0,2,325.557813
0.0,2,325.589547
0.0,2,325.623774
0.0,2,325.659198
0.0,4,325.724338
0.0,4,325.793446
0.0,2,325.830983
0.0,2,325.867948
0.0,2,325.900627
0.0,2,325.935904
0.0,2,325.971929
0.0,2,326.005274
0.0,2,326.043734
0.0,2,326.079168
0.0,4,326.151912
0.0,2,326.188713
0.0,2,326.223623
0.0,2,326.256648
0.0,2,326.290361
0.0,2,326.32478
0.0,2,326.357488
0.0,2,326.390769
0.0,2,326.427214
0.0,3,326.478171
1.0,7,330.044533
0.0,4,330.1077
1.0,7,330.216553
0.0,4,330.281663
1.0,7,330.39251
1.0,7,330.511764
1.0,7,330.628259
1.0,7,330.755699
1.0,7,330.882938
1.0,7,330.995976
1.0,7,331.112163
1.0,7,331.2337
1.0,7,331.354542
1.0,7,331.474994
1.0,7,331.601006
1.0,7,331.759847
1.0,7,331.875341
1.0,7,331.991979
1.0,7,332.103296
1.0,7,335.5852
1.0,7,335.693419
1.0,7,335.799897
1.0,7,335.923342
1.0,7,336.051196
1.0,7,336.167703
1.0,7,336.292511
1.0,7,336.41727
1.0,7,336.536963
0.0,4,336.608074
1.0,7,336.732251
1.0,7,336.857707
1.0,7,336.981805
1.0,7,337.10903
1.0,7,337.236651
1.0,7,337.355909
1.0,7,337.472803
1.0,7,337.587124
1.0,7,337.7054
1.0,7,341.177838
1.0,7,341.289454
1.0,7,341.410557
1.0,7,341.536085
1.0,7,341.657282
1.0,7,341.801227
1.0,7,341.912597
1.0,7,342.030283
1.0,7,342.146936
1.0,7,342.257552
1.0,7,342.376262
1.0,7,342.495739
1.0,7,342.615733
1.0,7,342.73269
1.0,7,342.850686
1.0,7,342.971481
1.0,7,343.088072
1.0,7,343.200828
1.0,7,346.611281
1.0,7,346.743859
1.0,7,346.941438
1.0,7,347.070346
0.0,7,347.198574
1.0,7,347.315221
