#{"t_start": 1667421513.4665132, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,8.094965
0.0,2,8.12332
0.0,2,8.150317
0.0,2,8.180666
0.0,4,8.237826
0.0,2,8.266964
0.0,2,8.295828
0.0,2,8.322103
0.0,2,8.348533
0.0,4,8.401606
0.0,4,8.454957
0.0,2,8.481548
0.0,2,8.507908
0.0,3,8.548317
0.0,2,8.575171
0.0,2,8.601904
0.0,2,8.629219
0.0,2,8.657619
0.0,3,8.697593
0.0,2,8.724576
0.0,2,8.751374
0.0,2,8.777914
0.0,2,8.80408
0.0,2,8.830859
0.0,2,8.857556
0.0,2,8.884063
0.0,2,8.910537
0.0,3,8.950644
0.0,3,8.990882
0.0,2,9.017259
0.0,4,9.070922
0.0,2,9.098103
0.0,2,9.126534
0.0,2,9.153179
0.0,2,9.179321
0.0,2,9.20563
0.0,2,9.232628
0.0,6,9.312194
0.0,2,9.339013
0.0,2,9.365798
0.0,2,9.391671
0.0,2,9.418542
0.0,2,9.445214
0.0,4,9.498624
0.0,2,9.52543
0.0,2,9.552064
0.0,2,9.578454
0.0,2,9.604724
0.0,4,9.658289
0.0,7,9.75381
0.0,2,9.782165
0.0,2,12.906399
0.0,3,12.94275
0.0,2,12.969323
0.0,2,12.99369
0.0,2,13.020064
0.0,2,13.046698
0.0,2,13.072693
0.0,2,13.1003
0.0,6,13.180744
0.0,2,13.206381
0.0,4,13.259881
0.0,2,13.286516
0.0,2,13.312027
0.0,2,13.343312
0.0,2,13.372641
0.0,2,13.399345
0.0,2,13.425771
0.0,4,13.479024
0.0,2,13.505864
0.0,2,13.53265
0.0,6,13.616718
0.0,2,13.645693
0.0,2,13.672871
0.0,2,13.701255
0.0,2,13.727989
0.0,2,13.754611
0.0,4,13.807907
0.0,2,13.83444
0.0,2,13.861218
0.0,2,13.888358
0.0,2,13.914865
0.0,4,13.968235
0.0,2,13.994898
0.0,2,14.021597
0.0,2,14.048286
0.0,4,14.101464
0.0,2,14.128297
0.0,2,14.155267
0.0,2,14.181843
0.0,2,14.208509
0.0,2,14.235193
0.0,4,14.288288
0.0,2,14.314881
0.0,2,14.341982
0.0,3,14.381353
0.0,4,14.434998
0.0,2,14.46173
0.0,2,14.488491
0.0,2,14.515602
0.0,2,14.542413
0.0,2,14.569482
0.0,2,14.596477
0.0,2,22.31945
0.0,2,22.338866
0.0,2,22.356445
0.0,4,22.393035
0.0,5,22.441632
0.0,2,22.459637
0.0,4,22.497893
0.0,2,22.518034
0.0,2,22.535102
0.0,2,22.553532
0.0,2,22.57351
0.0,2,22.591959
0.0,2,22.609834
0.0,2,22.628632
0.0,2,22.649143
0.0,2,22.667939
0.0,2,22.685353
0.0,2,22.703563
0.0,2,22.722771
0.0,2,22.743234
0.0,2,22.761127
0.0,2,22.77806
0.0,3,22.805441
0.0,2,22.822165
0.0,2,22.841209
0.0,2,22.859167
0.0,2,22.876016
0.0,2,22.891624
0.0,2,22.908266
0.0,2,22.924747
0.0,2,22.939506
0.0,2,22.958075
0.0,2,22.973391
0.0,2,22.989752
0.0,2,23.005305
0.0,2,23.02147
0.0,4,23.052057
0.0,2,23.067734
0.0,4,23.098901
0.0,2,23.114785
0.0,2,23.132964
0.0,2,23.148083
0.0,2,23.164732
0.0,2,23.1812
0.0,2,23.198222
0.0,2,23.216458
0.0,2,23.234895
0.0,6,23.285279
0.0,2,23.304651
0.0,2,23.323527
0.0,2,23.342724
0.0,2,23.36077
0.0,2,23.376318
0.0,6,23.43857
0.0,2,26.102083
0.0,2,26.181517
0.0,2,26.208733
0.0,2,26.236292
0.0,2,26.263692
0.0,2,26.290954
0.0,2,26.318606
0.0,2,26.346179
0.0,2,26.37372
0.0,2,26.400928
0.0,2,26.428677
0.0,2,26.45599
0.0,2,26.483383
0.0,2,26.511162
0.0,2,26.539338
0.0,2,26.56762
0.0,2,26.595342
0.0,2,26.623753
0.0,2,26.652187
0.0,2,26.680546
0.0,2,26.705888
0.0,3,26.748715
0.0,2,26.776179
0.0,2,26.805025
0.0,2,26.833539
0.0,2,26.862761
0.0,2,26.888394
0.0,2,26.917542
0.0,2,26.946201
0.0,2,26.975755
0.0,2,27.004475
0.0,2,27.033411
0.0,2,27.063026
0.0,2,27.094018
0.0,2,27.126103
0.0,2,27.154997
0.0,2,27.186562
0.0,2,27.219186
0.0,2,27.252196
0.0,2,27.283953
0.0,2,27.316025
0.0,2,27.34832
0.0,2,27.381042
0.0,2,27.412714
0.0,3,27.461324
0.0,2,27.493426
0.0,2,27.525088
0.0,2,27.558052
0.0,2,27.590018
0.0,2,27.617759
0.0,2,27.647774
0.0,2,27.677115
0.0,2,27.707614
0.0,2,27.736806
0.0,2,27.766717
0.0,3,27.81141
0.0,2,27.840955
0.0,4,27.901852
0.0,2,27.933609
0.0,2,27.965499
0.0,2,27.995068
0.0,2,28.025072
0.0,2,33.763316
0.0,2,33.783868
0.0,2,33.80667
0.0,2,33.829292
0.0,2,33.850044
0.0,2,33.873352
0.0,2,33.897266
0.0,2,33.920245
0.0,2,33.941666
0.0,2,33.96277
0.0,2,33.985962
0.0,2,34.010606
0.0,2,34.031358
0.0,2,34.052429
0.0,4,34.094261
0.0,2,34.115614
0.0,2,34.136377
0.0,2,34.162741
0.0,2,34.184002
0.0,2,34.205079
0.0,2,34.225622
0.0,5,34.280376
0.0,2,34.303759
0.0,2,34.347225
0.0,4,34.392125
0.0,2,34.437859
0.0,2,34.465154
0.0,4,34.510474
0.0,4,34.55246
0.0,4,34.597734
