#{"t_start": 1667421516.9299066, "env_id": "CTgraph-v0"}
r,l,t
0.0,4,4.696581
0.0,2,4.727665
0.0,4,4.783495
0.0,2,4.810879
0.0,2,4.839717
0.0,2,4.868813
0.0,2,4.895556
0.0,2,4.924174
0.0,2,4.951015
0.0,4,5.004315
0.0,2,5.033192
0.0,2,5.059665
0.0,2,5.08631
0.0,2,5.110992
0.0,2,5.137912
0.0,2,5.164706
0.0,2,5.193504
0.0,2,5.220198
0.0,2,5.246876
0.0,4,5.300291
0.0,4,5.353361
0.0,2,5.379885
0.0,2,5.406386
0.0,2,5.433138
0.0,4,5.486477
0.0,3,5.526397
0.0,2,5.553526
0.0,4,5.60692
0.0,2,5.633582
0.0,2,5.662945
0.0,4,5.715562
0.0,2,5.741776
0.0,2,5.768154
0.0,6,5.848129
0.0,2,5.875044
0.0,2,5.901505
0.0,2,5.927658
0.0,2,5.954309
0.0,2,5.981081
0.0,2,6.007461
0.0,3,6.047444
0.0,2,6.074194
0.0,2,6.100425
0.0,2,6.127191
0.0,2,6.153839
0.0,4,6.207143
0.0,2,6.234147
0.0,2,6.260873
0.0,2,6.287777
0.0,2,6.31494
0.0,2,6.341529
0.0,2,6.368326
0.0,2,9.480927
0.0,2,9.507468
0.0,2,9.535874
0.0,2,9.561206
0.0,2,9.587688
0.0,2,9.615183
0.0,2,9.641908
0.0,2,9.667488
0.0,4,9.72156
0.0,2,9.747824
0.0,2,9.774549
0.0,2,9.801153
0.0,4,9.854887
0.0,4,9.905773
0.0,4,9.959251
0.0,2,9.985749
0.0,2,10.012237
0.0,4,10.065591
0.0,2,10.092245
0.0,2,10.117386
0.0,2,10.14325
0.0,2,10.170155
0.0,2,10.196733
0.0,2,10.223663
0.0,2,10.250243
0.0,2,10.276901
0.0,4,10.330304
0.0,2,10.356986
0.0,4,10.410381
0.0,6,10.490515
0.0,2,10.51729
0.0,2,10.543926
0.0,2,10.570632
0.0,2,10.597383
0.0,2,10.623935
0.0,2,10.651149
0.0,2,10.678109
0.0,2,10.704291
0.0,2,10.731129
0.0,2,10.757335
0.0,6,10.837504
0.0,2,10.864174
0.0,2,10.891061
0.0,2,10.917816
0.0,4,10.971205
0.0,2,10.997799
0.0,2,11.024366
0.0,4,11.078578
0.0,2,11.105327
0.0,4,11.15955
0.0,2,18.715529
0.0,2,18.72943
0.0,2,18.741689
0.0,2,18.754098
0.0,2,18.767155
0.0,2,18.803818
0.0,4,18.835141
0.0,2,18.853182
0.0,4,18.889074
0.0,3,18.915076
0.0,2,18.933746
0.0,4,18.969493
0.0,2,18.987688
0.0,2,19.005065
0.0,2,19.02202
0.0,2,19.039036
0.0,2,19.056931
0.0,2,19.075145
0.0,2,19.093187
0.0,2,19.110238
0.0,2,19.129409
0.0,4,19.164082
0.0,2,19.184692
0.0,2,19.200085
0.0,4,19.237805
0.0,2,19.257138
0.0,4,19.290591
0.0,4,19.325576
0.0,2,19.343345
0.0,2,19.359842
0.0,2,19.37739
0.0,2,19.395189
0.0,2,19.412019
0.0,2,19.427759
0.0,3,19.450001
0.0,2,19.46564
0.0,4,19.496566
0.0,2,19.512185
0.0,2,19.52807
0.0,2,19.54403
0.0,2,19.560077
0.0,2,19.575273
0.0,2,19.588917
0.0,2,19.604882
0.0,2,19.620396
0.0,2,19.635915
0.0,2,19.650946
0.0,2,19.667567
0.0,2,19.681304
0.0,2,19.69843
