#{"t_start": 1667421517.2159944, "env_id": "CTgraph-v0"}
r,l,t
0.0,4,4.41213
0.0,2,4.443108
0.0,2,4.470355
0.0,2,4.49859
0.0,2,4.526304
0.0,2,4.554784
0.0,4,4.610558
0.0,2,4.639169
0.0,2,4.666035
0.0,4,4.719301
0.0,2,4.748192
0.0,2,4.77461
0.0,2,4.801265
0.0,4,4.853003
0.0,2,4.879687
0.0,2,4.908514
0.0,2,4.93521
0.0,2,4.961941
0.0,2,4.988399
0.0,2,5.015364
0.0,2,5.041562
0.0,2,5.068331
0.0,2,5.094751
0.0,3,5.135036
0.0,3,5.174761
0.0,2,5.201525
0.0,4,5.254466
0.0,2,5.281185
0.0,2,5.307781
0.0,3,5.348549
0.0,2,5.377904
0.0,2,5.403376
0.0,2,5.430561
0.0,2,5.456705
0.0,2,5.483075
0.0,2,5.50961
0.0,2,5.536235
0.0,5,5.602711
0.0,2,5.6286
0.0,2,5.655483
0.0,2,5.682185
0.0,2,5.708898
0.0,2,5.735565
0.0,2,5.762493
0.0,2,5.789196
0.0,4,5.842214
0.0,4,5.895342
0.0,2,5.921914
0.0,2,5.949001
0.0,2,5.975667
0.0,2,6.002697
0.0,3,6.042874
0.0,2,6.069823
0.0,2,9.184825
0.0,2,9.209888
0.0,2,9.236007
0.0,2,9.263811
0.0,2,9.289275
0.0,2,9.316579
0.0,2,9.343873
0.0,2,9.371007
0.0,6,9.449968
0.0,2,9.47566
0.0,2,9.503278
0.0,2,9.529743
0.0,2,9.557147
0.0,3,9.595461
0.0,4,9.647237
0.0,2,9.674458
0.0,2,9.700822
0.0,2,9.727089
0.0,3,9.767248
0.0,2,9.793999
0.0,3,9.832387
0.0,4,9.88528
0.0,2,9.911756
0.0,2,9.938674
0.0,2,9.965345
0.0,4,10.018475
0.0,2,10.045337
0.0,2,10.071991
0.0,2,10.098815
0.0,2,10.125455
0.0,2,10.15174
0.0,2,10.178393
0.0,4,10.232331
0.0,6,10.312302
0.0,2,10.338959
0.0,2,10.366216
0.0,2,10.393206
0.0,2,10.419407
0.0,2,10.44615
0.0,4,10.499146
0.0,2,10.525779
0.0,2,10.552457
0.0,2,10.579136
0.0,2,10.606021
0.0,4,10.659278
0.0,4,10.712749
0.0,2,10.739374
0.0,4,10.793571
0.0,2,10.820325
0.0,2,10.846969
0.0,2,10.874588
0.0,2,18.430273
0.0,2,18.444141
0.0,2,18.456383
0.0,2,18.468786
0.0,3,18.489839
0.0,2,18.524821
0.0,4,18.558214
0.0,2,18.576507
0.0,4,18.612805
0.0,2,18.629805
0.0,2,18.64875
0.0,4,18.684309
0.0,2,18.702642
0.0,2,18.71978
0.0,2,18.736738
0.0,2,18.753761
0.0,2,18.771685
0.0,2,18.789875
0.0,2,18.80791
0.0,2,18.824969
0.0,2,18.844129
0.0,2,18.861628
0.0,2,18.879078
0.0,4,18.914789
0.0,2,18.932666
0.0,2,18.952686
0.0,3,18.980426
0.0,3,19.005455
0.0,4,19.040313
0.0,2,19.058246
0.0,2,19.074557
0.0,4,19.11006
0.0,2,19.126723
0.0,2,19.142471
0.0,2,19.157452
0.0,2,19.171864
0.0,2,19.188701
0.0,2,19.20337
0.0,2,19.218928
0.0,4,19.250759
0.0,2,19.266566
0.0,6,19.311495
0.0,2,19.32738
0.0,4,19.357926
0.0,2,19.374504
0.0,2,19.388777
0.0,2,19.40412
0.0,2,19.420424
0.0,7,19.473176
0.0,5,21.882604
0.0,2,21.909543
0.0,2,21.935591
0.0,2,21.963563
0.0,2,21.99197
0.0,2,22.020966
0.0,2,22.050473
0.0,2,22.073967
0.0,2,22.099412
0.0,2,22.118966
0.0,2,22.140334
0.0,2,22.160184
0.0,2,22.180312
0.0,2,22.202591
0.0,2,22.223906
0.0,4,22.267439
0.0,2,22.289599
0.0,2,22.311361
0.0,2,22.336364
0.0,4,22.445804
0.0,2,22.473425
0.0,5,22.54178
0.0,2,22.569505
0.0,2,22.597183
0.0,4,22.651895
0.0,2,22.679853
0.0,4,22.734635
0.0,2,22.762142
0.0,2,22.790166
0.0,2,22.818286
0.0,2,22.846205
0.0,2,22.874663
0.0,2,22.902845
0.0,2,22.931538
0.0,2,22.959363
0.0,2,22.987614
0.0,2,23.016143
0.0,2,23.044156
0.0,2,23.072158
0.0,4,23.130555
0.0,4,23.18821
0.0,2,23.217001
0.0,3,23.261428
0.0,2,23.289744
0.0,2,23.320728
0.0,2,23.351302
0.0,2,23.379917
0.0,2,23.41164
0.0,3,23.456609
0.0,2,23.488707
0.0,2,23.521363
0.0,2,23.554085
0.0,2,23.586214
0.0,4,23.650211
0.0,2,29.893478
0.0,2,29.910784
0.0,4,29.946624
0.0,2,29.967315
0.0,2,29.984806
0.0,2,30.006508
0.0,2,30.031152
0.0,2,30.053275
0.0,2,30.073741
0.0,4,30.119608
0.0,3,30.150193
0.0,2,30.1733
0.0,2,30.19744
0.0,2,30.219778
0.0,2,30.240631
0.0,2,30.261676
0.0,4,30.32044
0.0,2,30.343653
0.0,2,30.367766
0.0,2,30.390908
0.0,2,30.41171
0.0,2,30.435428
0.0,2,30.457976
0.0,2,30.478593
0.0,2,30.499856
0.0,2,30.521885
0.0,2,30.5434
0.0,4,30.5848
0.0,2,30.605688
0.0,2,30.626929
0.0,3,30.660424
0.0,2,30.683812
0.0,4,30.730412
0.0,2,30.754403
0.0,2,30.776138
0.0,2,30.799746
0.0,7,30.877537
0.0,7,30.957883
0.0,2,30.978731
0.0,2,31.000739
0.0,2,31.023589
0.0,2,31.045879
0.0,2,31.069334
0.0,2,31.093221
0.0,2,31.116883
0.0,2,31.139807
0.0,2,31.163443
0.0,4,31.2107
0.0,2,31.234174
0.0,2,31.257225
0.0,4,31.304901
0.0,2,34.858704
0.0,2,34.879096
0.0,2,34.903516
0.0,2,34.931326
0.0,2,34.960879
0.0,4,35.020283
0.0,2,35.048899
0.0,2,35.07868
0.0,2,35.107689
0.0,2,35.136449
0.0,2,35.165676
0.0,2,35.193682
0.0,3,35.235561
0.0,4,35.291876
0.0,2,35.320194
0.0,2,35.348298
0.0,2,35.375923
0.0,2,35.404872
0.0,2,35.433116
0.0,2,35.459849
0.0,2,35.487574
0.0,4,35.539591
0.0,2,35.568677
0.0,4,35.623622
0.0,2,35.650602
0.0,4,35.706463
0.0,2,35.733456
0.0,2,35.760341
0.0,2,35.787759
0.0,2,35.815381
0.0,2,35.845292
0.0,4,35.916512
0.0,2,35.945886
1.0,7,36.053409
0.0,2,36.081889
0.0,2,36.112457
0.0,2,36.141545
0.0,2,36.170682
0.0,2,36.197134
0.0,2,36.224981
0.0,2,36.251645
0.0,2,36.278499
0.0,2,36.306415
0.0,4,36.361822
0.0,2,36.390368
0.0,2,36.419266
0.0,2,36.448209
0.0,4,36.507644
0.0,2,36.538053
0.0,2,36.567846
0.0,2,36.598584
0.0,2,36.628231
0.0,6,40.156957
0.0,3,40.180661
0.0,2,40.19486
0.0,2,40.209631
0.0,2,40.22468
0.0,2,40.239028
0.0,2,40.271209
0.0,2,40.291357
0.0,2,40.315211
0.0,2,40.337032
0.0,4,40.381989
0.0,2,40.407436
0.0,3,40.478396
0.0,4,40.523465
0.0,2,40.550664
0.0,2,40.576627
0.0,2,40.603559
0.0,2,40.632534
0.0,2,40.659639
0.0,2,40.685879
0.0,2,40.710984
0.0,4,40.766957
0.0,2,40.795882
0.0,2,40.854452
0.0,2,40.881623
0.0,2,40.908757
0.0,4,40.96419
0.0,2,40.991986
0.0,2,41.019592
0.0,6,41.104868
0.0,4,41.162031
0.0,2,41.190001
0.0,2,41.218274
0.0,2,41.245821
0.0,2,41.274812
0.0,2,41.302899
0.0,2,41.330642
0.0,4,41.387309
0.0,2,41.414896
0.0,2,41.443105
0.0,2,41.471324
0.0,2,41.499646
0.0,2,41.527931
0.0,2,41.554243
0.0,4,41.611807
0.0,2,41.641735
0.0,2,41.670734
0.0,2,41.700054
0.0,2,41.728996
0.0,2,41.760434
0.0,2,41.79301
0.0,2,41.824349
0.0,2,41.857419
0.0,2,45.200302
0.0,2,45.23266
0.0,2,45.268723
0.0,2,45.299964
0.0,2,45.332592
0.0,2,45.362737
0.0,2,45.395591
0.0,4,45.453582
0.0,4,45.507534
0.0,2,45.543001
0.0,4,45.599633
0.0,2,45.628585
0.0,2,45.657127
0.0,2,45.685045
0.0,2,45.714035
0.0,2,45.743499
0.0,2,45.772752
0.0,4,45.865159
0.0,2,45.895511
0.0,3,45.937352
0.0,2,45.964104
0.0,2,45.994051
0.0,2,46.024065
0.0,2,46.054096
0.0,2,46.084566
0.0,2,46.114233
0.0,2,46.144253
0.0,2,46.175178
0.0,4,46.234337
0.0,4,46.296979
0.0,2,46.329139
0.0,2,46.356688
0.0,2,46.385747
0.0,2,46.417984
0.0,2,46.451405
0.0,3,46.500494
0.0,2,46.530283
0.0,2,46.562449
0.0,4,46.624781
0.0,2,46.657192
0.0,4,46.718521
0.0,5,46.799319
0.0,2,46.832657
0.0,2,46.865701
0.0,2,46.898565
0.0,2,46.92969
