#{"t_start": 1667421516.9302874, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,2377.481593
0.0,2,2377.517937
0.0,2,2377.554299
0.0,2,2377.58688
0.0,2,2377.618214
0.0,2,2377.651508
0.0,2,2377.688879
0.0,4,2377.760439
0.0,2,2377.795646
0.0,2,2377.832829
0.0,4,2377.913155
0.0,2,2377.950058
0.0,6,2378.058909
0.0,2,2378.096119
0.0,2,2378.13382
0.0,2,2378.17161
0.0,2,2378.210575
0.0,2,2378.248832
0.0,2,2378.287886
0.0,2,2378.326747
0.0,2,2378.365503
0.0,4,2378.443208
0.0,2,2378.480995
0.0,2,2378.518367
0.0,2,2378.556974
0.0,2,2378.598122
0.0,2,2378.638425
0.0,4,2378.719263
0.0,2,2378.75796
0.0,4,2378.830674
0.0,2,2378.870777
0.0,4,2378.939979
0.0,2,2378.977051
0.0,2,2379.01894
0.0,2,2379.054455
0.0,2,2379.091671
0.0,4,2379.17062
0.0,3,2379.224568
0.0,2,2379.265829
0.0,2,2379.314383
0.0,3,2379.37221
0.0,2,2379.410385
0.0,2,2379.449585
0.0,2,2379.48901
0.0,2,2379.530456
0.0,2,2379.57185
0.0,2,2379.614654
0.0,2,2379.659236
0.0,4,2379.739369
0.0,2,2379.781106
0.0,2,2379.823048
0.0,4,2379.905466
0.0,2,2383.855349
0.0,2,2383.88755
0.0,4,2383.954755
0.0,2,2383.988932
0.0,2,2384.021057
0.0,4,2384.096238
0.0,2,2384.132218
0.0,4,2384.20674
0.0,2,2384.239152
0.0,3,2384.295366
0.0,3,2384.35699
0.0,2,2384.389523
0.0,2,2384.422901
0.0,2,2384.456176
0.0,2,2384.48903
0.0,2,2384.526531
0.0,4,2384.605984
0.0,2,2384.644645
0.0,2,2384.683789
0.0,2,2384.727005
0.0,2,2384.766935
0.0,4,2384.846692
0.0,4,2384.928142
0.0,2,2384.965369
0.0,2,2385.002726
0.0,2,2385.04191
0.0,6,2385.150975
0.0,2,2385.188273
0.0,2,2385.225522
0.0,2,2385.261543
0.0,2,2385.300213
0.0,2,2385.338419
0.0,2,2385.374334
0.0,2,2385.415627
0.0,2,2385.452834
0.0,2,2385.489274
0.0,2,2385.526669
0.0,2,2385.567761
0.0,2,2385.606194
0.0,4,2385.68385
0.0,2,2385.723234
0.0,4,2385.806683
0.0,2,2385.850929
0.0,2,2385.88658
0.0,2,2385.922805
0.0,4,2386.006871
0.0,4,2386.088865
