#{"t_start": 1667421516.930097, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,310.673321
0.0,2,310.708003
0.0,2,310.739054
0.0,2,310.773191
0.0,2,310.804241
0.0,2,310.838879
0.0,2,310.873176
0.0,4,310.934921
0.0,2,310.965222
0.0,2,310.996466
0.0,2,311.030845
0.0,2,311.065303
0.0,3,311.117902
0.0,2,311.152626
0.0,2,311.18636
0.0,3,311.23536
0.0,4,311.304322
0.0,2,311.335677
0.0,2,311.36782
0.0,2,311.402795
0.0,2,311.438687
0.0,2,311.472598
0.0,2,311.506249
0.0,2,311.538926
0.0,2,311.569745
0.0,2,311.604632
0.0,4,311.668648
0.0,2,311.70016
0.0,2,311.733526
0.0,2,311.765231
0.0,2,311.797178
0.0,3,311.844704
0.0,2,311.874259
0.0,3,311.919279
0.0,2,311.949017
0.0,2,311.979472
0.0,2,312.008038
0.0,2,312.039001
0.0,2,312.069672
0.0,2,312.101979
0.0,4,312.163973
0.0,2,312.197138
0.0,2,312.227822
0.0,2,312.260517
0.0,4,312.323849
0.0,2,312.357322
0.0,2,312.390262
0.0,2,312.422889
0.0,2,312.455759
0.0,2,312.489419
0.0,2,312.52418
0.0,2,312.557491
0.0,2,312.591854
0.0,2,312.626574
0.0,2,312.661699
0.0,2,312.695224
0.0,2,312.728943
0.0,2,316.120299
0.0,2,316.154524
0.0,2,316.186534
0.0,2,316.221476
0.0,2,316.257026
0.0,2,316.292971
0.0,2,316.32799
0.0,2,316.362709
0.0,4,316.432388
0.0,3,316.483145
0.0,2,316.516774
0.0,2,316.550276
0.0,2,316.583611
0.0,2,316.61625
0.0,2,316.650673
0.0,2,316.686785
0.0,2,316.722849
0.0,4,316.793179
0.0,2,316.829518
0.0,2,316.865232
0.0,2,316.900854
0.0,5,316.990987
0.0,2,317.025608
0.0,2,317.061922
0.0,2,317.094875
0.0,2,317.127522
0.0,2,317.163367
0.0,2,317.198103
0.0,2,317.231606
0.0,4,317.299026
0.0,2,317.332378
0.0,4,317.394828
0.0,2,317.425796
0.0,3,317.468585
0.0,4,317.524942
0.0,2,317.5528
0.0,2,317.580972
0.0,2,317.609353
0.0,2,317.637613
0.0,2,317.665797
0.0,2,317.693627
0.0,2,317.723318
0.0,2,317.752709
0.0,2,317.782068
0.0,2,317.811916
0.0,2,317.840078
0.0,2,317.871005
0.0,2,317.901741
0.0,2,317.9326
0.0,2,317.965596
0.0,2,317.995892
0.0,2,318.027992
0.0,7,318.140636
0.0,2,318.172266
0.0,2,321.508634
0.0,4,321.577228
0.0,2,321.609038
0.0,2,321.640434
0.0,2,321.673228
0.0,4,321.745856
0.0,4,321.815032
0.0,4,321.889432
0.0,4,321.960175
0.0,2,321.993701
0.0,4,322.067368
0.0,2,322.10394
0.0,2,322.13984
0.0,4,322.206061
0.0,2,322.242805
0.0,2,322.275026
0.0,2,322.308444
0.0,2,322.340373
0.0,5,322.422733
0.0,2,322.458272
0.0,2,322.490496
0.0,2,322.523588
0.0,4,322.594518
0.0,2,322.628601
0.0,2,322.661628
0.0,3,322.716287
0.0,2,322.753032
0.0,2,322.788725
0.0,2,322.821167
0.0,2,322.853606
0.0,2,322.88816
0.0,2,322.9244
0.0,2,322.957354
0.0,3,323.011188
0.0,2,323.047348
0.0,2,323.080097
0.0,2,323.113842
0.0,4,323.178416
0.0,2,323.214657
0.0,4,323.278196
0.0,2,323.312132
0.0,2,323.344013
0.0,2,323.375206
0.0,4,323.44247
0.0,2,323.47374
0.0,2,323.503772
0.0,2,323.530644
0.0,4,323.651826
0.0,2,323.682117
1.0,7,327.244741
1.0,7,327.361174
1.0,7,327.477556
1.0,7,327.601325
1.0,7,327.723438
0.0,4,327.789289
1.0,7,327.89933
1.0,7,328.022141
1.0,7,328.140998
1.0,7,328.257684
1.0,7,328.371372
1.0,7,328.493122
1.0,7,328.632342
1.0,7,328.753174
1.0,7,328.872704
1.0,7,328.98819
1.0,7,329.102636
1.0,7,329.211748
1.0,7,332.660716
1.0,7,332.782773
1.0,7,332.898424
0.0,4,332.971649
1.0,7,333.093437
1.0,7,333.220125
1.0,7,333.339904
1.0,7,333.451801
0.0,6,333.544916
1.0,7,333.6629
1.0,7,333.789621
1.0,7,333.916828
1.0,7,334.026967
1.0,7,334.146909
1.0,7,334.262967
1.0,7,334.37973
1.0,7,334.488049
1.0,7,334.601225
1.0,7,334.708682
1.0,7,338.17462
1.0,7,338.290884
1.0,7,338.411281
1.0,7,338.5251
1.0,7,338.643923
1.0,7,338.766357
1.0,7,338.889078
1.0,7,339.006094
1.0,7,339.131994
1.0,7,339.243238
1.0,7,339.361438
1.0,7,339.482951
1.0,7,339.595393
0.0,7,339.713289
1.0,7,339.831196
1.0,7,339.951785
1.0,7,340.06409
1.0,7,340.176245
1.0,7,340.285375
1.0,7,343.842196
1.0,7,343.962575
1.0,7,344.082842
1.0,7,344.200098
1.0,7,344.320049
1.0,7,344.442443
1.0,7,344.562465
1.0,7,344.686604
1.0,7,344.807575
1.0,7,344.93306
1.0,7,345.060874
1.0,7,345.179824
1.0,7,345.303254
1.0,7,345.424199
1.0,7,345.53172
1.0,7,345.631944
1.0,7,345.736556
1.0,7,345.839665
1.0,7,349.258547
1.0,7,349.376606
1.0,7,349.493202
