Wall time,Step,Value
1719758426.6490061,0,0.0
1719758428.8553662,1,0.0
1719758431.1522827,2,0.0
1719758433.2541273,3,0.0
1719758435.2981892,4,0.0
1719758437.3592322,5,0.0
1719758439.4247057,6,0.0
1719758441.4640377,7,0.0
1719758443.493166,8,0.0
1719758445.5594935,9,0.0
1719758448.5925286,10,0.0
1719758451.855887,11,0.0
1719758455.1022737,12,0.0
1719758458.3595877,13,0.0
1719758461.6261148,14,0.0
1719758464.8327353,15,0.0
1719758468.0795228,16,0.0
1719758471.3152812,17,0.0
1719758474.641833,18,0.0
1719758478.0214443,19,0.0
1719758481.425973,20,0.0
1719758484.5894907,21,0.0
1719758487.9552934,22,0.0
1719758491.1382217,23,0.0
1719758494.4933133,24,0.0
1719758497.7303312,25,0.0
1719758500.952557,26,0.0
1719758504.1653419,27,0.0
1719758507.3292181,28,0.0
1719758510.662185,29,0.0
1719758514.1225421,30,0.0
1719758517.2528927,31,0.0
1719758520.4865398,32,0.0
1719758523.82727,33,0.0
1719758527.057761,34,0.0
1719758530.3355355,35,0.0
1719758533.7199855,36,0.0
1719758536.9332259,37,0.0
1719758540.224419,38,0.0
1719758543.602279,39,0.0
1719758547.0821803,40,0.0
1719758550.511826,41,0.0
1719758553.8782766,42,0.0
1719758556.991426,43,0.0
1719758560.2469895,44,0.0
1719758563.412902,45,0.0
1719758566.5858228,46,0.0
1719758569.7998533,47,0.0
1719758573.0142062,48,0.0
1719758576.3609676,49,0.0
1719758579.7889493,50,0.0
1719758583.850466,51,0.0
1719758586.9813066,52,0.0
1719758589.9087405,53,0.0
1719758593.111499,54,0.0
1719758596.3384776,55,0.0
1719758599.5740197,56,0.0
1719758602.8671215,57,0.0
1719758606.1961784,58,0.0
1719758609.5638418,59,0.0
1719758613.0828424,60,0.0
1719758616.303421,61,0.0
1719758619.4552526,62,0.0
1719758622.6955895,63,0.0
1719758626.0098846,64,0.0
1719758629.1067934,65,0.0
1719758632.3535044,66,0.0
1719758635.6157768,67,0.0
1719758638.9047449,68,0.0
1719758642.1813734,69,0.0
