Wall time,Step,Value
1719764980.3415742,0,0.0
1719764982.4612718,1,0.0
1719764984.532007,2,0.0
1719764986.5142338,3,0.0
1719764988.6147172,4,0.0
1719764990.5985136,5,0.0
1719764992.6403217,6,0.0
1719764994.6901972,7,0.0
1719764996.774871,8,0.0
1719764998.870773,9,0.0
1719765001.6257982,10,0.0
1719765004.4801958,11,0.0
1719765007.2771294,12,0.0
1719765010.0792465,13,0.0
1719765012.9353628,14,0.0
1719765015.830463,15,0.0
1719765018.697674,16,0.0
1719765021.5651464,17,0.0
1719765024.4616373,18,0.0
1719765027.4818728,19,0.0
1719765030.5527906,20,0.0
1719765033.4190683,21,0.0
1719765036.3509176,22,0.0
1719765039.2576747,23,0.0
1719765042.228961,24,0.0
1719765045.0989175,25,0.0
1719765047.9704628,26,0.0
1719765050.8597426,27,0.0
1719765053.732444,28,0.0
1719765056.7146423,29,0.0
1719765059.996442,30,0.0
1719765062.857601,31,0.0
1719765065.724016,32,0.0
1719765068.5798206,33,0.0
1719765071.4526813,34,0.0
1719765074.3140821,35,0.0
1719765077.2442176,36,0.0
1719765080.0972493,37,0.0
1719765082.9808927,38,0.0
1719765085.8748627,39,0.0
1719765088.9163938,40,0.0
1719765091.9142265,41,0.0
1719765094.8161361,42,0.0
1719765097.703782,43,0.0
1719765100.6231308,44,0.0
1719765103.525874,45,0.0
1719765106.3854635,46,0.0
1719765109.2336743,47,0.0
1719765112.168319,48,0.0
1719765115.0094802,49,0.0
1719765118.0587924,50,0.0
1719765120.9299848,51,0.0
1719765123.8139317,52,0.0
1719765126.765596,53,0.0
1719765129.6393073,54,0.0
1719765132.5122406,55,0.0
1719765135.3990521,56,0.0
1719765138.256474,57,0.0
1719765141.1705554,58,0.0
1719765144.0417564,59,0.0
1719765147.1705666,60,0.0
1719765150.088955,61,0.0
1719765153.1465986,62,0.0
1719765156.254151,63,0.0
1719765159.2456908,64,0.0
1719765162.3322992,65,0.0
1719765165.2492113,66,0.0
1719765168.150283,67,0.0
1719765170.996995,68,0.0
1719765174.040037,69,0.0
1719765177.1854463,70,0.0
1719765180.0942664,71,0.0
1719765182.982219,72,0.013888888992369175
