Wall time,Step,Value
1716296180.541228,0,0.0
1716296182.5648928,1,0.0
1716296184.3630104,2,0.0
1716296186.1411202,3,0.0
1716296187.912227,4,0.0
1716296189.6612282,5,0.0
1716296191.4221342,6,0.0
1716296193.1755831,7,0.0
1716296194.9344535,8,0.0
1716296196.6814888,9,0.0
1716296198.4547317,10,0.0
1716296200.2394087,11,0.0
1716296202.0388079,12,0.0
1716296203.8399189,13,0.0
1716296205.6600034,14,0.0
1716296207.4774773,15,0.0
1716296209.296616,16,0.0
1716296211.1156201,17,0.0
1716296212.933105,18,0.0
1716296214.7387335,19,0.0
1716296216.5555892,20,0.0
1716296218.3686829,21,0.0
1716296220.171136,22,0.0
1716296221.9872828,23,0.0
1716296223.8074536,24,0.0
1716296225.6300874,25,0.0
1716296227.446718,26,0.0
1716296229.2681346,27,0.0
1716296231.0852315,28,0.0
1716296232.9038846,29,0.0
1716296234.725372,30,0.0
1716296236.5461104,31,0.0
1716296238.3567433,32,0.0
1716296240.1750753,33,0.0
1716296241.9954116,34,0.0
1716296243.818957,35,0.0
1716296245.6349127,36,0.0
1716296247.4516227,37,0.0
1716296249.270446,38,0.0
1716296251.0866587,39,0.0
1716296252.9045432,40,0.0
1716296254.715543,41,0.0
1716296256.532368,42,0.0
1716296258.3410573,43,0.0
1716296260.1549857,44,0.0
1716296261.9697418,45,0.0
1716296263.7921178,46,0.0
1716296265.6118603,47,0.0
1716296267.4368117,48,0.0
1716296269.2524583,49,0.0
1716296271.0688825,50,0.0
1716296272.880262,51,0.0
1716296274.696445,52,0.0
1716296276.4366252,53,0.0
1716296278.261465,54,0.0
1716296280.0723321,55,0.0
1716296281.8858764,56,0.0
1716296283.693749,57,0.0
1716296285.504831,58,0.0
1716296287.3087797,59,0.0
1716296289.1204472,60,0.0
1716296290.9407475,61,0.0
1716296292.750165,62,0.0
1716296294.5595767,63,0.0
1716296296.3683867,64,0.0
1716296298.1774864,65,0.0
1716296299.9895308,66,0.0
1716296301.7984238,67,0.0
1716296303.6190815,68,0.0
1716296305.4354997,69,0.0
1716296307.2600706,70,0.0
1716296309.0768046,71,0.0
1716296310.8944156,72,0.0
1716296312.7148247,73,0.0
1716296314.5328372,74,0.0
1716296316.333934,75,0.0
1716296318.1384692,76,0.0
1716296319.9662724,77,0.0
1716296321.7877612,78,0.0
1716296323.6171572,79,0.0
1716296325.441427,80,0.0
1716296327.270352,81,0.0
1716296329.0948567,82,0.0
1716296330.921324,83,0.0
1716296332.7526133,84,0.0
1716296334.5858808,85,0.0
1716296336.4335442,86,0.0
1716296338.2382264,87,0.0
1716296340.0515172,88,0.0
1716296341.869405,89,0.0
1716296343.6962547,90,0.0
1716296345.516295,91,0.0
1716296347.3318636,92,0.0
1716296349.156221,93,0.0
1716296350.970804,94,0.0
1716296352.7937262,95,0.0
1716296354.6103206,96,0.0
1716296356.4253585,97,0.0
1716296358.2461426,98,0.0
1716296360.0695667,99,0.0
1716296361.890768,100,0.0
1716296363.7147892,101,0.0
1716296365.5323021,102,0.0
1716296367.3527126,103,0.0
1716296369.1721752,104,0.0
1716296370.984946,105,0.0
1716296372.8045945,106,0.0
1716296374.622811,107,0.0
1716296376.4355218,108,0.0
1716296378.2393274,109,0.0
1716296380.0577035,110,0.0
1716296381.8805087,111,0.0
1716296383.681166,112,0.0
1716296385.4670222,113,0.0
1716296387.269955,114,0.0
1716296389.0845773,115,0.0
1716296390.9023387,116,0.0
1716296392.7254446,117,0.0
1716296394.5484629,118,0.0
1716296396.3799427,119,0.0
1716296398.2059247,120,0.0
1716296400.0356202,121,0.0
1716296401.8538933,122,0.0
1716296403.6667535,123,0.0
1716296405.4943635,124,0.0
1716296407.3022559,125,0.0
1716296409.109538,126,0.0
1716296410.9259756,127,0.0
1716296412.7386558,128,0.0
