#{"t_start": 1666693524.1675797, "env_id": "MiniGrid-SimpleCrossingS9N2-v0"}
r,l,t
0,324,385.637635
0,324,390.787176
0.147222,307,394.828885
0.811111,68,395.119525
0,324,400.62046
0,324,406.109368
0,324,410.202973
0,324,415.36743
0,324,419.372012
0,324,424.788563
0,324,428.999568
0,324,434.544127
0,324,438.560118
0,324,443.7544
0,324,447.685946
0,324,453.177685
0,324,457.262901
0.516667,174,460.7082
0,324,464.783818
0,324,470.191669
0.227778,278,474.007695
0,324,479.153253
0,324,483.183593
0,324,488.659756
0,324,492.780162
0,324,498.22779
0.808333,69,498.501495
0.711111,104,500.296131
0,324,505.527113
0.330556,241,507.794979
0.363889,229,511.371255
0.4,216,515.138735
0.358333,231,518.862877
0.625,135,520.8104
0.869444,47,521.016617
0.186111,293,525.051202
0.233333,276,530.309151
0.158333,303,534.175502
0.827778,62,534.397494
0.386111,221,537.893172
0.802778,71,539.446674
0.908333,33,539.599344
0.869444,47,539.788419
0.725,99,541.476773
0.863889,49,541.679287
0.908333,33,543.08342
0.741667,93,543.514539
0.911111,32,544.925761
0.572222,154,546.980408
0.827778,62,547.258813
0.580556,151,550.595489
0.447222,199,552.817386
0.888889,40,553.013283
0.791667,75,554.70795
0.858333,51,554.957558
0.922222,28,556.437599
0.922222,28,556.564876
0.911111,32,556.707625
0.855556,52,558.313371
0.580556,151,560.346841
0.813889,67,560.585573
0.902778,35,560.738289
0.916667,30,562.206881
0.855556,52,562.381297
0.833333,60,563.940804
0.927778,26,564.029853
0.922222,28,564.12915
0.869444,47,564.294716
0.747222,91,565.959796
0.927778,26,566.052975
0.861111,50,567.527419
0.927778,26,567.646386
0.894444,38,567.804314
0.916667,30,567.917432
0.852778,53,569.446756
0.902778,35,569.59955
0.875,45,569.770886
0.713889,103,571.501777
0.880556,43,572.934846
0.772222,82,573.327809
0.836111,59,574.879491
0.872222,46,575.094687
0.844444,56,576.702541
0.852778,53,576.960534
0.919444,29,577.090927
0.947222,19,577.182995
0.902778,35,578.662588
0.838889,58,578.895801
0.952778,17,578.983129
0.916667,30,579.132546
0.905556,34,580.595412
0.85,54,580.842978
0.941667,21,580.948732
0.919444,29,581.093649
0.941667,21,582.494666
0.841667,57,582.745383
0.880556,43,582.956912
0.933333,24,584.408459
0.863889,49,584.630616
0.930556,25,584.752935
0.919444,29,584.879244
0.941667,21,586.364529
0.941667,21,586.459553
0.952778,17,586.524737
0.952778,17,586.591173
0.936111,23,586.688651
0.922222,28,586.804896
0.936111,23,588.282019
0.927778,26,588.376912
0.9,36,588.508343
0.891667,39,588.660079
0.85,54,590.217422
0.927778,26,590.314277
0.944444,20,590.386933
0.952778,17,590.447679
0.958333,15,590.514839
0.958333,15,591.912326
0.958333,15,591.973556
0.958333,15,592.031862
0.830556,61,592.258367
0.958333,15,592.318164
0.919444,29,593.734278
0.941667,21,593.834216
0.936111,23,593.931508
0.941667,21,594.00587
0.947222,19,594.074368
0.936111,23,594.15458
0.947222,19,595.498512
0.927778,26,595.620235
0.941667,21,595.71455
0.888889,40,595.886999
0.897222,37,597.286003
0.925,27,597.426991
0.958333,15,597.491605
0.902778,35,597.646313
0.875,45,597.822194
0.938889,22,599.179021
0.936111,23,599.292121
0.958333,15,599.362676
0.947222,19,599.447576
0.952778,17,599.525274
0.958333,15,599.592303
0.947222,19,599.668419
0.952778,17,601.018783
0.958333,15,601.094026
0.944444,20,601.194118
0.888889,40,601.383044
0.952778,17,601.458928
0.941667,21,602.843403
0.925,27,602.972827
0.936111,23,603.087373
0.958333,15,603.158893
0.952778,17,603.23613
0.908333,33,603.386544
0.952778,17,604.779215
0.941667,21,604.88504
0.886111,41,605.076938
0.958333,15,605.1522
0.9,36,605.328711
0.947222,19,606.735841
0.947222,19,606.832164
0.947222,19,606.914216
0.877778,44,607.12228
0.958333,15,607.197087
0.95,18,607.283528
0.958333,15,608.711324
0.958333,15,608.767885
0.958333,15,608.825149
0.930556,25,608.941058
0.952778,17,609.024443
0.95,18,609.112098
