#{"t_start": 1666693524.203781, "env_id": "MiniGrid-SimpleCrossingS9N2-v0"}
r,l,t
0,324,385.602436
0,324,390.752134
0,324,394.85903
0,324,400.36522
0,324,404.484445
0,324,409.978775
0,324,413.854155
0,324,419.090928
0,324,423.191266
0,324,428.71641
0,324,432.915098
0,324,438.335983
0.727778,98,440.070324
0,324,443.92889
0.277778,260,447.575642
0,324,453.058829
0,324,457.144692
0,324,462.58808
0,324,466.667344
0,324,472.052306
0.491667,183,474.108597
0,324,479.292784
0,324,483.324549
0,324,488.788224
0.838889,58,489.050858
0.363889,229,492.749516
0.616667,138,494.695233
0.377778,224,498.361723
0.7,108,500.165256
0,324,504.100243
0.294444,254,507.711524
0,324,513.08202
0.177778,296,517.187687
0.816667,66,518.815474
0.208333,285,522.775933
0.775,81,524.502023
0.419444,209,526.794665
0.311111,248,530.52617
0.522222,172,532.53531
0.672222,118,534.340173
0.494444,182,537.692551
0.775,81,537.986821
0.755556,88,539.654455
0.658333,123,541.427206
0.772222,82,543.031662
0.794444,74,543.379267
0.769444,83,545.033845
0.861111,50,545.261582
0.830556,61,546.878619
0.816667,66,547.178412
0.855556,52,548.747235
0.794444,74,549.078027
0.527778,170,552.506475
0.663889,121,554.417259
0.825,63,554.697405
0.833333,60,556.339441
0.561111,158,558.416151
0.925,27,558.533787
0.819444,65,558.814497
0.869444,47,560.38157
0.952778,17,560.440733
0.902778,35,560.571642
0.897222,37,562.090502
0.594444,146,563.94203
0.752778,89,564.255237
0.925,27,565.683681
0.766667,84,565.99245
0.827778,62,567.516999
0.783333,78,567.840114
0.958333,15,567.897877
0.730556,97,569.621047
0.869444,47,571.05287
0.827778,62,571.344535
0.888889,40,571.527773
0.913889,31,572.909193
0.855556,52,573.163193
0.913889,31,573.306112
0.905556,34,574.743104
0.938889,22,574.844418
0.872222,46,575.05956
0.930556,25,575.175014
0.936111,23,575.283323
0.819444,65,576.943678
0.936111,23,577.046279
0.933333,24,577.16308
0.891667,39,578.653392
0.952778,17,578.72259
0.75,90,579.143085
0.936111,23,580.550775
0.916667,30,580.68194
0.869444,47,580.913706
0.927778,26,581.042777
0.941667,21,582.447078
0.936111,23,582.544212
0.869444,47,582.760988
0.922222,28,582.898592
0.872222,46,584.450619
0.886111,41,584.638999
0.916667,30,584.778601
0.919444,29,586.295425
0.927778,26,586.41479
0.941667,21,586.498192
0.847222,55,586.726783
0.930556,25,588.210999
0.922222,28,588.316449
0.927778,26,588.409073
0.85,54,588.616705
0.897222,37,590.108334
0.883333,42,590.267492
0.861111,50,590.456348
0.936111,23,591.891941
0.958333,15,591.949849
0.891667,39,592.095869
0.958333,15,592.153089
0.9,36,592.290335
0.936111,23,593.677552
0.958333,15,593.753767
0.930556,25,593.865881
0.958333,15,593.920692
0.816667,66,594.156519
0.947222,19,595.511465
0.955556,16,595.585046
0.925,27,595.707566
0.947222,19,595.794689
0.938889,22,595.877682
0.930556,25,595.970724
0.947222,19,597.32881
0.913889,31,597.469433
0.941667,21,597.562044
0.947222,19,597.645195
0.952778,17,597.715094
0.947222,19,597.782693
0.955556,16,599.10913
0.886111,41,599.310117
0.927778,26,599.426263
0.955556,16,599.499032
0.952778,17,599.576446
0.947222,19,600.920615
0.925,27,601.052904
0.947222,19,601.148102
0.947222,19,601.241798
0.958333,15,601.311934
0.916667,30,601.446144
0.952778,17,602.81322
0.952778,17,602.892649
0.947222,19,602.987057
0.913889,31,603.138173
0.952778,17,603.214458
0.952778,17,603.289605
0.955556,16,603.365802
0.894444,38,604.863777
0.952778,17,604.946777
0.952778,17,605.022915
0.952778,17,605.106313
0.952778,17,605.192144
0.933333,24,605.307681
0.905556,34,606.791571
0.941667,21,606.883235
0.933333,24,606.992078
0.936111,23,607.107087
0.947222,19,607.199192
0.958333,15,608.63577
0.886111,41,608.793454
0.958333,15,608.860333
0.958333,15,608.935126
0.938889,22,609.042762
0.958333,15,609.115321
0.952778,17,609.196437
0.958333,15,610.604607
0.944444,20,610.687698
0.941667,21,610.779053
0.952778,17,610.858264
0.955556,16,610.938787
0.958333,15,611.01459
0.930556,25,611.134603
0.952778,17,612.541146
0.958333,15,612.603788
0.952778,17,612.677118
0.955556,16,612.750182
0.947222,19,612.843675
0.944444,20,612.937216
0.958333,15,613.001342
0.944444,20,614.457639
0.958333,15,614.528128
0.958333,15,614.598266
0.958333,15,614.664622
0.947222,19,614.748639
0.916667,30,614.878119
0.955556,16,614.94728
0.947222,19,616.417407
0.952778,17,616.490805
0.936111,23,616.573949
0.947222,19,616.648845
0.936111,23,616.739407
0.941667,21,616.823055
0.958333,15,618.26781
0.947222,19,618.336431
0.941667,21,618.416257
0.952778,17,618.478987
0.958333,15,618.534825
0.947222,19,618.608024
0.958333,15,618.670813
0.955556,16,618.740123
0.952778,17,620.160047
0.947222,19,620.230137
0.958333,15,620.284555
0.952778,17,620.345959
0.958333,15,620.40135
0.958333,15,620.459769
0.952778,17,620.522785
0.958333,15,620.579899
0.947222,19,621.999809
0.952778,17,622.062051
0.952778,17,622.1283
0.958333,15,622.182905
0.947222,19,622.252207
0.958333,15,622.307924
0.95,18,622.369242
0.958333,15,623.754951
0.958333,15,623.825789
0.952778,17,623.900056
0.955556,16,623.967321
0.955556,16,624.025775
0.947222,19,624.094832
0.958333,15,624.148748
0.958333,15,624.20335
0.952778,17,625.555077
0.958333,15,625.631356
0.958333,15,625.696956
0.952778,17,625.772992
0.958333,15,625.839749
0.952778,17,625.916749
0.952778,17,625.98585
0.958333,15,626.040625
0.952778,17,627.389345
0.958333,15,627.461012
0.936111,23,627.574256
0.958333,15,627.641148
0.958333,15,627.710961
0.958333,15,627.779403
0.958333,15,627.847922
0.958333,15,627.910201
0.941667,21,629.289262
0.947222,19,629.382064
0.958333,15,629.455697
0.95,18,629.532212
0.958333,15,629.59985
0.958333,15,629.667491
0.952778,17,629.744547
0.958333,15,629.809258
0.958333,15,631.163727
0.958333,15,631.234686
0.958333,15,631.30677
0.958333,15,631.372836
0.958333,15,631.438791
0.922222,28,631.568335
0.925,27,633.004758
0.947222,19,633.099036
0.958333,15,633.175252
0.930556,25,633.280202
0.958333,15,633.349813
0.958333,15,633.418832
0.947222,19,633.506508
0.958333,15,633.577858
0.958333,15,634.957459
0.95,18,635.028137
0.933333,24,635.13604
0.958333,15,635.200459
0.952778,17,635.281366
0.958333,15,635.352327
0.955556,16,635.428996
0.958333,15,636.822751
0.952778,17,636.896884
0.958333,15,636.958137
0.958333,15,637.025212
0.958333,15,637.091933
0.958333,15,637.15872
0.958333,15,637.227875
0.952778,17,637.31036
0.958333,15,637.38428
0.952778,17,638.825349
0.958333,15,638.892065
0.958333,15,638.955781
0.952778,17,639.029171
0.958333,15,639.097466
0.958333,15,639.166083
0.958333,15,639.240862
0.952778,17,639.322372
0.955556,16,640.71999
0.958333,15,640.782394
0.944444,20,640.871318
0.958333,15,640.939716
0.952778,17,641.017187
0.955556,16,641.090795
0.958333,15,641.148664
0.941667,21,642.580434
0.958333,15,642.646533
0.958333,15,642.712452
0.95,18,642.792612
0.958333,15,642.858171
0.952778,17,642.919669
0.958333,15,642.977337
0.958333,15,643.043126
0.958333,15,644.455065
0.958333,15,644.522704
0.947222,19,644.608624
0.958333,15,644.666919
0.958333,15,644.719248
0.958333,15,644.773864
0.941667,21,644.853487
0.958333,15,644.914916
0.952778,17,646.340603
0.958333,15,646.40728
0.958333,15,646.465899
0.938889,22,646.546751
0.958333,15,646.600794
0.930556,25,646.691415
0.958333,15,646.748959
0.958333,15,646.807919
0.955556,16,648.193064
0.958333,15,648.261217
0.958333,15,648.31563
0.958333,15,648.366032
0.958333,15,648.416957
0.958333,15,648.470199
0.894444,38,648.607825
0.958333,15,649.986591
0.958333,15,650.060951
0.955556,16,650.133681
0.958333,15,650.197203
0.958333,15,650.250374
0.883333,42,650.402654
0.95,18,651.790437
0.95,18,651.871281
0.958333,15,651.939748
0.955556,16,652.011608
0.958333,15,652.075737
0.95,18,652.144862
0.952778,17,652.205996
0.922222,28,653.606051
0.958333,15,653.677991
0.95,18,653.755311
0.958333,15,653.82179
0.958333,15,653.888792
0.958333,15,653.954945
0.958333,15,654.010308
0.955556,16,654.066732
0.958333,15,655.381768
0.958333,15,655.461174
0.958333,15,655.534908
0.958333,15,655.594809
0.958333,15,655.660602
0.952778,17,655.734504
0.958333,15,655.800269
0.952778,17,655.872008
0.958333,15,655.923311
0.958333,15,657.244908
0.958333,15,657.325027
0.958333,15,657.399109
0.958333,15,657.467302
0.958333,15,657.53227
0.958333,15,657.598152
0.958333,15,657.665242
0.958333,15,657.729307
0.952778,17,659.058951
0.952778,17,659.143505
0.944444,20,659.242321
0.936111,23,659.351185
0.958333,15,659.414113
0.958333,15,659.479532
0.958333,15,659.545505
0.958333,15,659.610406
0.952778,17,661.008297
0.958333,15,661.084118
0.958333,15,661.15696
0.958333,15,661.231879
0.958333,15,661.303918
0.958333,15,661.370819
0.958333,15,661.43805
0.952778,17,661.513255
0.958333,15,662.933514
0.952778,17,663.019988
0.958333,15,663.090155
