#{"t_start": 1666693524.2035034, "env_id": "MiniGrid-SimpleCrossingS9N1-v0"}
r,l,t
0,324,13.393735
0,324,19.785422
0,324,24.237567
0,324,29.671408
0,324,33.33429
0,324,38.44396
0,324,42.522829
0,324,47.904808
0,324,51.871114
0.305556,250,55.277315
0,324,60.349391
0,324,64.431544
0,324,69.788328
0,324,73.688413
0,324,78.62728
0.258333,267,82.228491
0.197222,289,86.216469
0,324,91.669164
0.455556,196,93.863441
0,324,98.998221
0.386111,221,102.344616
0.227778,278,106.102934
0,324,110.211226
0.241667,273,114.065875
0.491667,183,117.597227
0,324,121.49767
0,324,126.532456
0,324,130.371983
0.722222,100,132.181001
0,324,137.560118
0.180556,295,141.462142
0,324,146.836343
0.852778,53,147.031397
0,324,152.073672
0,324,155.952355
0,324,161.512837
0.466667,192,163.681047
0,324,169.052805
0,324,173.188242
0.133333,312,178.525287
0,324,182.377943
0.211111,284,186.069745
0,324,191.46008
0.8,72,191.815774
0,324,197.350172
0,324,201.477466
0.65,126,203.385613
0.630556,133,205.313928
0,324,210.622647
0.783333,78,212.247104
0.85,54,212.447354
0.622222,136,214.269771
0,324,219.349278
0.516667,174,221.408018
0.136111,311,225.559683
0,324,231.111378
0.375,225,234.912302
0,324,238.8979
0.5,180,242.132292
0.519444,173,244.06988
0.858333,51,244.270822
0.536111,167,247.489873
0.819444,65,247.797457
0.680556,115,249.687
0.725,99,251.46686
0,324,255.632179
0.352778,233,259.352802
0.672222,118,261.208167
0.555556,160,263.272553
0.527778,170,266.631165
0.208333,285,270.325072
0.869444,47,270.498974
0.230556,277,275.411264
0.6,144,277.407626
0,324,281.567348
0.833333,60,283.227409
0.625,135,285.179078
0,324,289.302207
0.413889,211,292.871598
0.552778,161,294.812871
0.816667,66,296.371322
0.733333,96,296.713957
0.225,279,301.562995
0.613889,139,303.453328
0.777778,80,303.833361
0.875,45,305.378849
0.547222,163,307.51331
0.752778,89,309.274585
0.588889,148,311.220335
0.727778,98,313.068269
0.883333,42,313.241305
0.930556,25,313.351873
0.863889,49,313.572799
0.813889,67,315.21772
0.872222,46,315.423463
0.791667,75,317.091812
0.958333,15,317.160374
0.933333,24,317.265771
0.927778,26,317.375611
0.722222,100,319.13348
0.947222,19,319.214782
0.925,27,320.697909
0.877778,44,320.852692
0.897222,37,320.9804
0.911111,32,321.106764
0.9,36,322.575072
0.819444,65,322.814469
0.938889,22,322.890964
0.858333,51,324.394621
0.941667,21,324.469498
0.8,72,325.961468
0.841667,57,326.221978
0.922222,28,326.339684
0.813889,67,327.841233
0.797222,73,328.16672
0.869444,47,329.580558
0.838889,58,329.862488
0.847222,55,331.392171
0.9,36,331.558092
0.825,63,331.856053
0.872222,46,333.437143
0.916667,30,333.584795
0.913889,31,333.726846
0.880556,43,333.924463
0.936111,23,335.360637
0.933333,24,335.467865
0.933333,24,335.570568
0.913889,31,335.712248
0.919444,29,335.85325
0.902778,35,337.339206
0.941667,21,337.420425
0.916667,30,337.554977
0.919444,29,337.690508
0.930556,25,339.185644
0.883333,42,339.366581
0.833333,60,339.657604
0.85,54,341.221876
0.922222,28,341.343678
0.733333,96,343.105116
0.830556,61,343.381147
0.833333,60,345.002948
0.919444,29,345.118016
0.944444,20,345.194255
0.95,18,345.272257
0.858333,51,346.849243
0.958333,15,346.90195
0.652778,125,348.739494
0.808333,69,349.00554
0.569444,155,350.921372
0.922222,28,352.331197
0.805556,70,352.582495
0.847222,55,354.087659
0.944444,20,354.174264
0.925,27,354.270257
0.894444,38,354.40381
0.802778,71,355.975832
0.788889,76,356.254256
0.863889,49,357.742055
0.925,27,357.860449
0.927778,26,357.956761
0.919444,29,359.332975
0.897222,37,359.507143
0.847222,55,359.743415
0.938889,22,359.824708
0.947222,19,361.194775
0.947222,19,361.287499
0.880556,43,361.474228
0.786111,77,363.087564
0.863889,49,363.295145
0.952778,17,363.369368
0.872222,46,364.843992
0.905556,34,364.992859
0.905556,34,365.142262
0.919444,29,365.271491
0.936111,23,365.368735
0.916667,30,366.781515
0.941667,21,366.865912
0.936111,23,366.964924
0.936111,23,367.064806
0.844444,56,368.604607
0.902778,35,368.75135
0.952778,17,368.821488
0.95,18,368.92285
0.825,63,370.502181
0.944444,20,370.59005
0.958333,15,370.65643
0.952778,17,370.731436
0.944444,20,370.823784
0.888889,40,372.307641
0.952778,17,372.383122
0.905556,34,372.528829
0.855556,52,372.768628
0.958333,15,372.840565
0.944444,20,374.250089
0.958333,15,374.315104
0.947222,19,374.396539
0.955556,16,374.465602
0.919444,29,374.595527
0.933333,24,374.70097
0.933333,24,376.152411
0.938889,22,376.251838
0.936111,23,376.355984
0.908333,33,376.493549
0.880556,43,378.033052
0.933333,24,378.127554
0.938889,22,378.207815
0.911111,32,378.33286
0.947222,19,378.41593
0.913889,31,379.901262
0.930556,25,379.992977
0.922222,28,380.095447
0.930556,25,380.191687
