#{"t_start": 1666693524.1673014, "env_id": "MiniGrid-SimpleCrossingS9N1-v0"}
r,l,t
0,324,13.428763
0,324,19.820418
0,324,24.272667
0.616667,138,26.267601
0,324,31.443038
0,324,35.141592
0,324,40.424226
0,324,44.506075
0,324,49.885793
0.625,135,51.748151
0,324,55.383502
0,324,60.49658
0.558333,159,62.545195
0.252778,269,66.337906
0,324,71.670514
0,324,75.46953
0.788889,76,76.998375
0.638889,130,78.700897
0,324,82.579527
0,324,87.993006
0,324,93.516196
0,324,97.410032
0,324,102.419681
0,324,106.38116
0,324,111.808267
0,324,115.922941
0,324,121.260454
0,324,125.014666
0,324,130.057068
0.316667,246,133.888531
0,324,137.882692
0,324,143.241392
0,324,147.222884
0,324,152.31481
0.6,144,154.161725
0,324,159.59746
0.225,279,163.499533
0,324,167.543324
0.672222,118,169.39645
0,324,174.881643
0,324,178.865921
0.227778,278,182.541526
0.583333,150,185.645943
0,324,189.667665
0,324,195.272615
0.691667,111,195.80228
0,324,201.25969
0.266667,264,205.117474
0.9,36,205.26893
0.880556,43,206.800581
0.330556,241,210.439138
0,324,214.293133
0.413889,211,217.638078
0.425,207,219.811736
0.769444,83,221.443201
0.311111,248,225.287956
0.563889,157,227.378149
0.741667,93,229.178257
0.388889,220,232.859693
0,324,237.02327
0.308333,249,240.637299
0.708333,105,242.302559
0.197222,289,245.9591
0.741667,93,247.632987
0.4,216,251.309032
0.816667,66,251.618156
0.388889,220,255.303349
0.594444,146,257.315775
0.572222,154,259.336297
0.630556,133,261.260387
0.8,72,262.947848
0.602778,143,264.883189
0.733333,96,266.611073
0.361111,230,268.776036
0.138889,310,273.855031
0.744444,92,275.485195
0.583333,150,277.510399
0.761111,86,277.915346
0.494444,182,281.407688
0.486111,185,283.6569
0.763889,85,285.355143
0.8,72,287.04269
0.569444,155,289.07857
0.891667,39,289.231632
0.508333,177,291.321877
0.830556,61,292.915289
0.802778,71,293.189692
0.486111,185,296.522417
0,324,300.306053
0.65,126,302.087409
0.258333,267,305.925966
0.722222,100,307.75166
0.808333,69,309.425396
0.808333,69,309.739901
0.913889,31,311.16912
0.938889,22,311.255605
0.894444,38,311.426492
0.891667,39,311.616242
0.872222,46,313.204762
0.836111,59,313.464721
0.891667,39,313.640826
0.952778,17,315.06688
0.925,27,315.18526
0.905556,34,315.3336
0.802778,71,316.989517
0.95,18,317.067538
0.652778,125,318.968826
0.638889,130,320.837093
0.611111,140,322.686908
0.916667,30,322.798573
0.625,135,324.59895
0.675,117,326.323049
0.669444,119,328.054858
0.916667,30,328.184711
0.580556,151,330.091158
0.852778,53,331.611092
0.922222,28,331.747043
0.941667,21,331.848274
0.825,63,333.505464
0.936111,23,333.619898
0.730556,97,335.395849
0.891667,39,335.56879
0.888889,40,335.747512
0.927778,26,335.873576
0.922222,28,337.331585
0.933333,24,337.427237
0.808333,69,337.739237
0.886111,41,339.302696
0.925,27,339.421017
0.958333,15,339.493078
0.752778,89,341.233743
0.625,135,343.162519
0.947222,19,343.244069
0.941667,21,343.341964
0.883333,42,343.529003
0.783333,78,345.210137
0.769444,83,346.916595
0.430556,205,349.062029
0.941667,21,349.15241
0.627778,134,352.289996
0.805556,70,352.534893
0.577778,152,354.401126
0.722222,100,356.085006
0.922222,28,356.183486
0.95,18,356.247646
0.936111,23,357.612154
0.880556,43,357.799643
0.922222,28,357.922211
0.936111,23,358.00362
0.894444,38,359.425186
0.841667,57,359.67953
0.95,18,359.757468
0.952778,17,359.826892
0.944444,20,359.896998
0.944444,20,361.281736
0.930556,25,361.396461
0.947222,19,361.479644
0.894444,38,361.639748
0.95,18,361.710406
0.858333,51,363.216815
0.936111,23,363.317256
0.941667,21,363.41024
0.922222,28,363.531348
0.808333,69,365.106589
0.947222,19,365.19163
0.902778,35,365.346754
0.947222,19,365.422841
0.958333,15,366.77868
0.922222,28,366.888159
0.95,18,366.965645
0.869444,47,367.172991
0.944444,20,367.265906
0.897222,37,368.713895
0.958333,15,368.775267
0.947222,19,368.852438
0.947222,19,368.957986
0.902778,35,369.126001
0.944444,20,370.502333
0.952778,17,370.577434
0.936111,23,370.678409
0.933333,24,370.78538
0.952778,17,370.863929
0.938889,22,370.964681
0.908333,33,372.414355
0.797222,73,372.735458
0.941667,21,372.839703
0.955556,16,374.234041
0.916667,30,374.363514
0.886111,41,374.541563
0.902778,35,374.697984
0.941667,21,376.13537
0.947222,19,376.218656
0.925,27,376.342998
0.941667,21,376.432765
0.936111,23,376.528739
0.947222,19,376.609866
0.952778,17,378.036962
0.822222,64,378.282348
0.933333,24,378.38202
0.913889,31,378.517689
0.941667,21,379.955489
0.888889,40,380.10256
0.95,18,380.166903
0.941667,21,380.253514
0.916667,30,380.386197
