#{"t_start": 1666693640.5694795, "env_id": "MiniGrid-SimpleCrossingS9N2-v0"}
r,l,t
0,324,392.851115
0,324,398.201452
0,324,402.091021
0,324,407.285391
0,324,411.362654
0,324,416.807974
0,324,420.892228
0,324,426.330148
0,324,430.317416
0,324,435.510589
0,324,439.422337
0,324,444.85325
0,324,448.977198
0,324,454.518594
0.694444,110,456.375711
0.319444,245,460.148247
0,324,464.012182
0,324,469.210325
0.469444,191,471.297079
0,324,476.741903
0,324,480.888307
0.111111,320,486.245186
0.491667,183,488.384497
0.452778,197,491.959587
0.811111,68,492.237796
0.552778,161,495.556372
0.505556,178,497.530017
0,324,502.703738
0,324,506.691028
0.397222,217,510.3292
0,324,514.463104
0,324,519.997877
0.480556,187,522.137448
0.65,126,524.023633
0.547222,163,527.358972
0.508333,177,529.350948
0.583333,150,531.235237
0,324,536.401564
0.533333,168,538.553619
0.897222,37,538.724263
0.519444,173,542.229033
0.716667,102,542.696885
0.769444,83,544.427001
0.569444,155,546.46921
0.888889,40,547.979238
0.647222,127,549.900357
0.891667,39,550.066614
0.872222,46,550.274001
0.513889,175,553.75689
0.913889,31,553.892747
0.819444,65,554.150673
0.425,207,557.692385
0.930556,25,557.782818
0.802778,71,559.38852
0.852778,53,559.57554
0.822222,64,561.147486
0.916667,30,561.282201
0.936111,23,561.364866
0.891667,39,561.505236
0.738889,94,563.170596
0.711111,104,564.864671
0.788889,76,565.201256
0.927778,26,566.576741
0.85,54,566.842979
0.927778,26,566.962738
0.863889,49,568.498806
0.95,18,568.580428
0.936111,23,568.686584
0.927778,26,568.806894
0.775,81,570.577439
0.816667,66,570.87643
0.886111,41,572.397503
0.902778,35,572.567119
0.791667,75,572.921081
0.936111,23,574.359116
0.902778,35,574.509359
0.877778,44,574.721719
0.952778,17,574.803893
0.911111,32,576.309736
0.905556,34,576.447315
0.813889,67,576.771109
0.883333,42,578.283563
0.911111,32,578.426564
0.838889,58,578.704734
0.930556,25,580.155881
0.802778,71,580.485486
0.894444,38,582.007423
0.813889,67,582.312405
0.883333,42,582.484312
0.883333,42,584.033251
0.919444,29,584.144011
0.922222,28,584.250879
0.916667,30,584.38124
0.830556,61,585.996078
0.830556,61,586.226493
0.825,63,587.810383
0.9,36,587.940195
0.791667,75,589.561616
0.905556,34,589.68898
0.894444,38,589.827858
0.930556,25,589.919228
0.922222,28,591.346907
0.952778,17,591.418991
0.919444,29,591.525138
0.922222,28,591.625843
0.933333,24,591.713748
0.938889,22,593.070131
0.947222,19,593.155364
0.877778,44,593.355489
0.947222,19,593.42947
0.936111,23,593.512463
0.855556,52,594.992811
0.902778,35,595.147219
0.941667,21,595.241507
0.947222,19,595.320766
0.905556,34,596.720175
0.958333,15,596.795766
0.941667,21,596.899731
0.952778,17,596.97701
0.930556,25,597.08828
0.875,45,598.604849
0.95,18,598.690088
0.938889,22,598.795322
0.941667,21,598.888451
0.936111,23,598.990881
0.811111,68,600.688958
0.883333,42,600.870438
0.944444,20,600.963593
0.952778,17,601.044306
0.902778,35,602.540672
0.958333,15,602.601113
0.905556,34,602.745812
0.936111,23,602.863055
0.952778,17,602.950789
0.933333,24,604.411515
0.880556,43,604.595069
0.847222,55,604.859044
0.925,27,606.310267
0.952778,17,606.382186
0.919444,29,606.507276
0.919444,29,606.640512
0.952778,17,606.724293
0.933333,24,608.149284
0.952778,17,608.226576
0.958333,15,608.292433
0.936111,23,608.387398
0.852778,53,608.633981
0.952778,17,608.7023
0.952778,17,610.107865
0.925,27,610.223206
0.919444,29,610.3497
0.958333,15,610.418486
0.908333,33,610.557433
0.913889,31,612.036934
0.938889,22,612.13777
0.930556,25,612.252028
0.952778,17,612.319262
0.936111,23,612.412634
0.941667,21,613.852426
0.958333,15,613.919559
0.919444,29,614.051063
0.958333,15,614.102479
0.922222,28,614.200255
0.952778,17,614.264432
0.947222,19,614.342174
