#{"t_start": 1666693524.900644, "env_id": "MiniGrid-SimpleCrossingS9N2-v0"}
r,l,t
0,324,384.188777
0,324,389.758041
0,324,393.914163
0,324,399.387134
0,324,403.353704
0,324,408.533732
0.166667,300,412.328286
0,324,417.96186
0.538889,166,420.032144
0.7,108,421.870087
0,324,425.992243
0,324,431.375165
0,324,435.233414
0.675,117,436.990898
0.538889,166,440.347158
0,324,444.556811
0,324,450.060616
0,324,454.16691
0.411111,212,457.775062
0,324,461.8056
0,324,467.077516
0,324,471.03883
0.230556,277,476.145234
0,324,480.264035
0,324,485.725754
0,324,489.770202
0,324,495.13864
0,324,499.013774
0,324,504.191677
0,324,508.445461
0.5,180,512.038924
0,324,516.175425
0,324,521.677953
0,324,525.59067
0,324,530.739216
0.263889,265,534.481642
0.497222,181,536.587809
0.769444,83,538.302619
0.830556,61,538.577602
0.925,27,540.023654
0.855556,52,540.274935
0.658333,123,542.154831
0.761111,86,543.869574
0.841667,57,544.126737
0.741667,93,545.877477
0.858333,51,546.120359
0.872222,46,547.635597
0.830556,61,547.911153
0.927778,26,548.038446
0.483333,186,551.569038
0.861111,50,551.763081
0.877778,44,551.955011
0.775,81,553.626961
0.908333,33,553.779306
0.827778,62,555.37957
0.852778,53,555.570661
0.844444,56,557.138822
0.941667,21,557.212244
0.841667,57,557.422708
0.669444,119,559.192484
0.727778,98,560.860523
0.930556,25,560.971196
0.877778,44,561.129151
0.894444,38,562.549972
0.802778,71,562.871106
0.666667,120,564.670729
0.841667,57,566.231258
0.952778,17,566.313476
0.883333,42,566.509372
0.944444,20,566.59518
0.780556,79,568.310209
0.952778,17,568.385177
0.838889,58,569.961092
0.827778,62,570.221062
0.925,27,570.347122
0.708333,105,572.122659
0.902778,35,572.286871
0.913889,31,573.800182
0.9,36,573.955047
0.958333,15,574.019353
0.930556,25,574.133706
0.947222,19,574.223143
0.952778,17,574.307008
0.869444,47,575.846932
0.952778,17,575.923958
0.919444,29,576.060374
0.902778,35,576.222402
0.916667,30,577.700815
0.952778,17,577.780035
0.916667,30,577.91133
0.947222,19,577.982239
0.891667,39,579.492982
0.952778,17,579.575317
0.936111,23,579.673432
0.941667,21,579.749623
0.958333,15,579.808788
0.930556,25,579.917945
0.858333,51,581.475204
0.925,27,581.574527
0.925,27,581.671623
0.947222,19,581.751462
0.930556,25,581.849777
0.927778,26,583.293691
0.897222,37,583.428228
0.941667,21,583.505303
0.930556,25,583.594544
0.875,45,585.101514
0.908333,33,585.214627
0.908333,33,585.330735
0.894444,38,585.460355
0.952778,17,586.814011
0.922222,28,586.938056
0.941667,21,587.030031
0.944444,20,587.102661
0.958333,15,587.155056
0.933333,24,587.239387
0.952778,17,588.558503
0.841667,57,588.820026
0.944444,20,588.906446
0.958333,15,588.971344
0.936111,23,589.053157
0.919444,29,590.434962
0.905556,34,590.599782
0.947222,19,590.687415
0.927778,26,590.80253
0.952778,17,590.878068
0.855556,52,592.410148
0.941667,21,592.51209
0.944444,20,592.608003
0.958333,15,592.673463
0.952778,17,592.750407
0.947222,19,594.227099
0.933333,24,594.340336
0.916667,30,594.484003
0.877778,44,594.676384
0.925,27,596.154052
0.947222,19,596.246341
0.955556,16,596.316561
0.952778,17,596.388498
0.952778,17,596.462773
0.947222,19,596.549032
0.958333,15,596.618137
0.958333,15,596.686094
0.944444,20,598.095275
0.958333,15,598.157752
0.947222,19,598.240023
0.933333,24,598.343252
0.952778,17,598.424711
0.952778,17,598.508759
0.958333,15,598.582091
0.958333,15,599.960397
0.958333,15,600.025227
0.941667,21,600.112526
0.958333,15,600.172111
0.947222,19,600.258646
0.952778,17,600.344157
0.944444,20,600.444174
0.958333,15,601.840742
0.875,45,602.024398
0.936111,23,602.121429
0.930556,25,602.238698
0.95,18,602.328267
0.902778,35,603.812958
0.930556,25,603.914782
0.947222,19,603.999522
0.958333,15,604.074638
0.941667,21,604.177904
0.952778,17,604.262415
0.958333,15,605.66588
0.941667,21,605.759241
0.947222,19,605.845731
0.908333,33,605.998662
0.891667,39,606.175744
0.944444,20,607.630212
0.947222,19,607.719694
0.947222,19,607.805717
0.947222,19,607.890983
0.952778,17,607.959504
0.941667,21,608.046461
0.916667,30,609.590188
0.958333,15,609.659328
0.952778,17,609.72206
0.952778,17,609.781222
0.944444,20,609.851288
0.95,18,609.927761
0.958333,15,609.98924
0.952778,17,610.063347
0.877778,44,611.583182
0.905556,34,611.708385
0.958333,15,611.761956
0.958333,15,611.821169
0.952778,17,611.892949
0.958333,15,613.293564
0.930556,25,613.380671
0.958333,15,613.433908
0.947222,19,613.503291
0.958333,15,613.560061
0.958333,15,613.617935
0.952778,17,613.678534
0.958333,15,615.050561
0.958333,15,615.119871
0.958333,15,615.183586
0.958333,15,615.237028
0.958333,15,615.290206
0.958333,15,615.343868
0.952778,17,615.399207
0.952778,17,615.459125
0.952778,17,616.786446
0.952778,17,616.869301
0.952778,17,616.943972
0.952778,17,617.017342
0.947222,19,617.100909
0.952778,17,617.163845
0.958333,15,617.21701
0.927778,26,618.556015
0.930556,25,618.683296
0.947222,19,618.782347
0.952778,17,618.859981
0.908333,33,619.00667
0.947222,19,619.087666
0.952778,17,620.396341
0.852778,53,620.662811
0.958333,15,620.741303
0.958333,15,620.810504
0.958333,15,620.876974
0.958333,15,620.942975
0.958333,15,622.290545
0.952778,17,622.380983
0.952778,17,622.471022
0.958333,15,622.549814
0.958333,15,622.622023
0.958333,15,622.699275
0.952778,17,622.777025
0.958333,15,622.843354
0.952778,17,624.294869
0.958333,15,624.3704
0.947222,19,624.464483
0.952778,17,624.545732
0.958333,15,624.614559
0.944444,20,624.704493
0.952778,17,624.780091
0.95,18,624.866179
0.952778,17,626.326685
0.952778,17,626.411126
0.958333,15,626.475203
0.952778,17,626.548345
0.958333,15,626.614175
0.952778,17,626.693606
0.958333,15,626.766314
0.952778,17,626.847002
0.952778,17,628.264969
0.947222,19,628.345604
0.958333,15,628.409912
0.958333,15,628.473593
0.958333,15,628.542697
0.925,27,628.673565
0.958333,15,628.748301
0.925,27,630.20213
0.958333,15,630.265276
0.916667,30,630.391342
0.958333,15,630.459207
0.958333,15,630.531463
0.958333,15,630.602818
0.952778,17,632.014393
0.958333,15,632.077831
0.958333,15,632.140672
0.958333,15,632.204233
0.958333,15,632.271145
0.958333,15,632.34151
0.958333,15,632.410952
0.958333,15,632.47953
0.958333,15,632.538528
