#{"t_start": 1666693524.9500155, "env_id": "MiniGrid-SimpleCrossingS9N1-v0"}
r,l,t
0,324,12.610997
0.575,153,15.081322
0,324,21.073266
0,324,25.012845
0,324,29.946295
0,324,34.036807
0,324,39.422307
0,324,43.449466
0,324,48.587628
0.344444,236,51.893504
0,324,55.902392
0,324,61.292903
0,324,65.253917
0,324,70.267243
0,324,74.001688
0.305556,250,77.741683
0.544444,164,81.116259
0,324,85.178707
0,324,90.550622
0,324,94.278475
0,324,99.468049
0.105556,322,103.622554
0,324,108.98798
0,324,112.939043
0,324,118.086839
0,324,121.824704
0,324,127.236217
0,324,132.701155
0,324,136.735365
0,324,141.978547
0,324,145.74215
0,324,150.909794
0.113889,319,155.016938
0,324,160.461788
0,324,164.574121
0.883333,42,166.095371
0.644444,128,167.977619
0,324,171.900869
0,324,176.882732
0,324,180.847539
0,324,186.47814
0.363889,229,188.87225
0,324,194.420556
0.269444,263,198.183295
0.302778,251,201.786391
0.397222,217,205.167414
0.480556,187,207.183967
0.661111,122,208.952371
0.197222,289,212.943132
0.466667,192,216.496734
0.55,162,218.513076
0.916667,30,218.651771
0.305556,250,222.50373
0,324,228.067474
0.563889,157,230.041718
0.333333,240,233.675757
0.938889,22,233.75234
0.691667,111,235.46614
0.830556,61,235.686137
0.522222,172,238.916851
0,324,242.993643
0.313889,247,246.862443
0.355556,232,250.56694
0,324,256.053689
0,324,259.98319
0.686111,113,261.718648
0.586111,149,263.559223
0,324,268.64855
0.908333,33,268.812002
0.677778,116,270.715583
0.880556,43,270.922428
0.411111,212,274.565989
0,324,278.750394
0.913889,31,280.228749
0.569444,155,282.303214
0.230556,277,286.036187
0.688889,112,287.764808
0.377778,224,291.172584
0,324,295.117475
0.913889,31,295.253689
0.819444,65,296.926652
0.827778,62,297.201917
0.916667,30,298.657637
0.922222,28,298.790093
0.469444,191,300.990736
0.672222,118,302.837538
0.627778,134,304.780801
0.311111,248,308.557348
0.677778,116,310.470754
0.858333,51,312.074349
0.927778,26,312.166628
0.855556,52,312.349207
0.936111,23,312.442842
0.919444,29,313.929944
0.813889,67,314.161655
0.891667,39,314.318905
0.494444,182,317.623257
0.933333,24,317.704275
0.930556,25,317.793772
0.908333,33,317.90794
0.941667,21,319.2618
0.919444,29,319.396813
0.819444,65,319.632376
0.761111,86,321.249171
0.936111,23,321.345437
0.947222,19,321.430248
0.952778,17,321.491103
0.925,27,322.852062
0.802778,71,323.192706
0.744444,92,324.955417
0.794444,74,326.613188
0.891667,39,326.798375
0.936111,23,326.900017
0.872222,46,327.113159
0.836111,59,328.692815
0.733333,96,330.482785
0.633333,132,332.426023
0.752778,89,332.826098
0.825,63,334.4276
0.880556,43,334.631046
0.947222,19,334.716034
0.813889,67,336.373798
0.797222,73,336.686603
0.583333,150,340.027235
0.938889,22,340.111388
0.936111,23,340.193572
0.913889,31,340.305779
0.775,81,341.960768
0.819444,65,342.197081
0.922222,28,343.636368
0.891667,39,343.776287
0.747222,91,345.377949
0.947222,19,345.463373
0.952778,17,345.529163
0.780556,79,345.81189
0.897222,37,347.202297
0.863889,49,347.420549
0.952778,17,347.483975
0.933333,24,347.570735
0.913889,31,348.939738
0.944444,20,349.037305
0.888889,40,349.212921
0.902778,35,349.365458
0.938889,22,350.700078
0.930556,25,350.827455
0.902778,35,350.981005
0.952778,17,351.053881
0.908333,33,351.196661
0.872222,46,352.72075
0.947222,19,352.80088
0.933333,24,352.903498
0.85,54,354.483181
0.958333,15,354.55653
0.825,63,354.828237
0.930556,25,354.939892
0.938889,22,356.32861
0.941667,21,356.423995
0.916667,30,356.548237
0.95,18,356.625593
0.947222,19,356.709073
0.933333,24,356.81774
0.791667,75,358.431292
0.938889,22,358.525709
0.95,18,358.607357
0.913889,31,360.084281
0.919444,29,360.197215
0.941667,21,360.287732
0.941667,21,360.384462
0.938889,22,360.486187
0.952778,17,360.565616
0.880556,43,362.051059
0.880556,43,362.237211
0.936111,23,362.348173
0.894444,38,363.784116
0.936111,23,363.876601
0.941667,21,363.967965
0.95,18,364.044843
0.936111,23,364.154406
0.927778,26,364.271671
0.880556,43,365.759929
0.958333,15,365.832871
0.952778,17,365.910506
0.938889,22,366.012598
0.941667,21,366.096097
0.952778,17,366.169831
0.922222,28,367.628211
0.938889,22,367.723212
0.936111,23,367.813572
0.922222,28,367.935863
0.941667,21,368.020431
0.911111,32,369.489956
0.958333,15,369.545781
0.944444,20,369.619493
0.947222,19,369.698422
0.825,63,371.307657
0.883333,42,371.464193
0.825,63,371.729354
0.919444,29,373.16837
0.947222,19,373.237458
0.952778,17,373.298251
0.936111,23,373.382071
0.947222,19,373.45743
0.930556,25,373.567853
0.930556,25,374.977926
0.941667,21,375.04906
0.886111,41,375.191777
0.952778,17,375.251034
0.947222,19,375.317907
0.930556,25,376.705594
0.958333,15,376.762054
0.955556,16,376.817444
0.952778,17,376.879276
0.930556,25,376.962355
0.952778,17,377.018532
0.916667,30,378.380153
0.947222,19,378.468011
0.958333,15,378.539844
0.958333,15,378.606095
0.925,27,378.713949
