#{"t_start": 1666693524.9506512, "env_id": "MiniGrid-SimpleCrossingS9N3-v0"}
r,l,t
0.608333,141,757.872819
0,324,762.03884
0.386111,221,765.724559
0.311111,248,769.430455
0,324,773.343623
0,324,778.610543
0,324,782.833103
0.644444,128,784.760273
0,324,790.349255
0,324,794.45596
0,324,799.782755
0.833333,60,800.004605
0.488889,184,803.406904
0.730556,97,805.097617
0,324,809.135651
0.408333,213,812.824617
0.466667,192,815.070404
0,324,820.536537
0,324,824.636683
0.658333,123,826.51096
0.294444,254,830.192144
0,324,835.563262
0.636111,131,837.469582
0,324,841.654661
0.188889,292,847.437107
0.713889,103,849.780503
0,324,855.526333
0.805556,70,857.849959
0.838889,58,858.192842
0.666667,120,860.796435
0.702778,107,863.290946
0.658333,123,865.702019
0.261111,266,870.471066
0.572222,154,873.058584
0.869444,47,873.354225
0.938889,22,875.249261
0.922222,28,875.415259
0.594444,146,878.070274
0.925,27,878.228321
0.686111,113,880.68481
0.852778,53,881.00863
0.852778,53,883.105007
0.841667,57,883.430115
0.825,63,885.558083
0.9,36,885.764645
0.875,45,886.021306
0.905556,34,887.91915
0.933333,24,888.062697
0.905556,34,888.263419
0.919444,29,888.441234
0.830556,61,890.480466
0.808333,69,890.893639
0.841667,57,892.93144
0.927778,26,893.086693
0.855556,52,893.408983
0.883333,42,895.392288
0.894444,38,895.623489
0.847222,55,897.715455
0.811111,68,898.123962
0.947222,19,898.243521
0.941667,21,898.372323
0.897222,37,900.362642
0.861111,50,900.643571
0.852778,53,900.941005
0.913889,31,902.894519
0.927778,26,903.043785
0.916667,30,903.218907
0.8,72,905.353746
0.927778,26,905.499496
0.919444,29,905.657719
0.733333,96,907.949281
0.952778,17,908.043896
0.908333,33,908.237096
0.841667,57,910.262515
0.947222,19,910.369567
0.947222,19,910.481114
0.894444,38,910.697058
0.947222,19,910.813492
0.944444,20,912.655478
0.911111,32,912.841808
0.941667,21,912.966054
0.927778,26,913.112558
0.844444,56,915.192083
0.952778,17,915.305963
0.908333,33,915.501779
0.925,27,915.674016
0.933333,24,915.829171
0.886111,41,917.851897
0.863889,49,918.130102
0.888889,40,918.377593
0.930556,25,920.279911
0.941667,21,920.399585
0.938889,22,920.526396
0.936111,23,920.664251
0.941667,21,920.794844
0.941667,21,922.655935
0.952778,17,922.751111
0.930556,25,922.899235
0.902778,35,923.09612
0.933333,24,923.248756
0.952778,17,923.345233
0.952778,17,925.165094
0.95,18,925.274028
0.952778,17,925.376762
0.952778,17,925.478903
0.933333,24,925.625853
0.958333,15,925.730925
0.944444,20,925.849223
0.927778,26,927.676769
0.952778,17,927.780293
0.944444,20,927.901198
0.941667,21,928.016828
0.952778,17,928.119523
0.927778,26,928.286296
0.958333,15,930.026017
0.955556,16,930.123603
0.927778,26,930.2802
0.952778,17,930.383026
0.955556,16,930.476127
0.95,18,930.59104
0.941667,21,930.723868
0.952778,17,932.612094
0.958333,15,932.697352
0.85,54,933.013252
0.938889,22,933.147309
0.933333,24,933.301596
0.958333,15,935.201474
0.95,18,935.310729
0.958333,15,935.393676
0.958333,15,935.483214
0.941667,21,935.607148
0.958333,15,935.695333
0.955556,16,935.794859
0.955556,16,935.896986
0.952778,17,937.799107
0.941667,21,937.917374
0.941667,21,938.046391
0.952778,17,938.152214
0.958333,15,938.241986
0.958333,15,938.333519
0.952778,17,938.424509
0.958333,15,940.30311
0.936111,23,940.432659
0.952778,17,940.528465
0.941667,21,940.649873
0.952778,17,940.755013
0.95,18,940.86307
0.936111,23,942.734686
0.952778,17,942.833335
0.947222,19,942.944566
0.947222,19,943.055192
0.952778,17,943.154757
0.952778,17,943.248479
0.958333,15,943.334237
0.952778,17,943.425144
0.952778,17,945.186935
0.894444,38,945.42296
0.947222,19,945.535569
0.952778,17,945.647448
0.9,36,945.871063
0.958333,15,947.628884
0.936111,23,947.768278
0.930556,25,947.917227
0.958333,15,947.997372
0.958333,15,948.084884
0.958333,15,948.184176
0.95,18,948.301058
0.944444,20,950.118031
0.958333,15,950.207776
0.958333,15,950.300189
0.958333,15,950.398297
0.952778,17,950.506113
0.955556,16,950.611657
0.958333,15,950.709548
0.955556,16,950.816544
0.958333,15,952.659074
0.952778,17,952.755074
0.958333,15,952.841252
0.958333,15,952.935525
0.947222,19,953.046784
0.958333,15,953.130476
0.95,18,953.234951
0.955556,16,953.327814
0.958333,15,955.206978
0.952778,17,955.310261
0.958333,15,955.397991
0.958333,15,955.484367
0.958333,15,955.576174
0.952778,17,955.67894
0.936111,23,955.819387
0.958333,15,955.897592
0.947222,19,957.823398
0.952778,17,957.921771
0.958333,15,958.012741
0.952778,17,958.109848
0.958333,15,958.205852
0.955556,16,958.300588
0.944444,20,958.417251
0.958333,15,960.26698
0.95,18,960.364771
0.958333,15,960.445365
0.952778,17,960.546237
0.955556,16,960.643602
0.925,27,960.792701
0.958333,15,960.872066
0.944444,20,962.688352
0.958333,15,962.781413
0.955556,16,962.874825
0.958333,15,962.959241
0.952778,17,963.060341
0.955556,16,963.150238
0.958333,15,963.235041
0.952778,17,963.331672
0.958333,15,965.088759
0.955556,16,965.184718
0.958333,15,965.274577
0.958333,15,965.369555
0.944444,20,965.49177
0.952778,17,965.594986
0.955556,16,965.686281
0.955556,16,965.785125
0.958333,15,967.535685
0.936111,23,967.677933
0.955556,16,967.78023
0.958333,15,967.875715
0.958333,15,967.971691
0.952778,17,968.07051
0.958333,15,968.160447
0.922222,28,970.017108
0.95,18,970.121998
0.955556,16,970.216078
0.955556,16,970.311794
0.947222,19,970.432875
0.958333,15,970.523217
0.952778,17,970.620369
0.947222,19,970.731571
0.958333,15,972.557597
0.958333,15,972.643353
0.958333,15,972.73237
0.958333,15,972.82558
0.958333,15,972.922814
0.955556,16,973.018832
0.958333,15,973.104076
0.952778,17,973.203317
0.955556,16,975.046591
0.958333,15,975.133488
0.952778,17,975.234799
0.947222,19,975.349971
0.952778,17,975.457067
0.952778,17,975.556937
0.941667,21,975.680279
0.958333,15,977.547071
0.941667,21,977.667936
0.958333,15,977.759208
0.941667,21,977.88222
0.952778,17,977.978842
0.958333,15,978.06114
0.958333,15,978.143679
0.947222,19,978.251193
0.958333,15,980.144968
0.958333,15,980.232767
0.958333,15,980.319323
0.955556,16,980.403991
0.958333,15,980.48901
0.958333,15,980.576959
0.958333,15,980.670025
0.958333,15,980.755098
0.95,18,982.64102
0.958333,15,982.736506
0.958333,15,982.824159
0.958333,15,982.908647
0.958333,15,982.993101
0.958333,15,983.082323
0.958333,15,983.174808
0.958333,15,983.259177
0.947222,19,985.173896
0.958333,15,985.26719
0.958333,15,985.358356
0.911111,32,985.540565
0.95,18,985.655027
0.958333,15,985.739266
0.958333,15,985.829211
0.947222,19,987.67221
0.958333,15,987.7613
0.958333,15,987.852264
0.958333,15,987.932944
0.958333,15,988.014987
0.958333,15,988.098872
0.955556,16,988.189327
0.927778,26,988.335855
0.955556,16,990.120343
0.958333,15,990.206587
0.958333,15,990.292953
0.955556,16,990.388235
0.958333,15,990.469128
0.958333,15,990.556674
0.952778,17,990.655304
0.958333,15,990.744037
0.952778,17,992.547874
0.958333,15,992.63998
0.952778,17,992.745204
0.958333,15,992.838572
0.958333,15,992.936008
0.955556,16,993.027913
0.958333,15,993.115865
0.958333,15,993.210294
0.958333,15,994.996301
0.952778,17,995.093637
0.958333,15,995.178909
0.958333,15,995.269019
0.958333,15,995.359051
0.927778,26,995.525394
0.952778,17,995.629801
0.947222,19,995.743249
0.958333,15,997.564249
0.955556,16,997.658431
0.958333,15,997.746891
0.958333,15,997.840394
0.958333,15,997.939579
0.958333,15,998.034963
0.958333,15,998.125335
0.958333,15,998.213691
0.958333,15,1000.074784
0.958333,15,1000.173819
0.958333,15,1000.271495
0.955556,16,1000.37122
0.958333,15,1000.466647
0.958333,15,1000.560549
0.958333,15,1000.653889
0.947222,19,1000.771198
0.958333,15,1002.67002
0.958333,15,1002.75931
0.952778,17,1002.853687
0.958333,15,1002.937754
0.958333,15,1003.02672
0.958333,15,1003.117579
0.958333,15,1003.208652
0.958333,15,1003.295998
0.958333,15,1003.380606
0.952778,17,1005.295746
0.952778,17,1005.391847
0.955556,16,1005.479527
0.958333,15,1005.566011
0.958333,15,1005.655524
0.958333,15,1005.73737
0.958333,15,1005.819772
0.958333,15,1005.899022
0.958333,15,1007.766382
0.936111,23,1007.898742
0.936111,23,1008.024277
0.936111,23,1008.154178
0.944444,20,1008.267122
0.952778,17,1008.363406
0.958333,15,1010.17152
0.958333,15,1010.264643
0.955556,16,1010.36749
0.958333,15,1010.449004
0.947222,19,1010.553209
0.952778,17,1010.647743
0.952778,17,1010.746962
0.958333,15,1010.832833
0.958333,15,1012.605971
0.958333,15,1012.6993
0.958333,15,1012.786294
0.952778,17,1012.892698
0.958333,15,1012.985398
0.947222,19,1013.090932
0.952778,17,1013.19682
0.958333,15,1013.286256
0.958333,15,1015.061797
0.958333,15,1015.151962
0.958333,15,1015.249637
0.947222,19,1015.356485
0.958333,15,1015.444548
0.958333,15,1015.537776
0.952778,17,1015.6473
0.958333,15,1015.744876
0.958333,15,1015.849293
0.958333,15,1017.641452
0.958333,15,1017.725195
0.958333,15,1017.814541
0.958333,15,1017.905663
0.952778,17,1018.014288
0.958333,15,1018.10236
0.930556,25,1018.251696
0.958333,15,1020.093646
