#{"t_start": 1666693641.0877995, "env_id": "MiniGrid-SimpleCrossingS9N2-v0"}
r,l,t
0,324,391.817507
0.683333,114,393.577383
0,324,397.421422
0,324,402.764157
0.680556,115,404.651136
0.183333,294,408.622321
0,324,414.062168
0,324,418.173551
0,324,423.49245
0,324,427.327931
0,324,432.54231
0.716667,102,434.293187
0,324,438.47016
0.105556,322,443.897357
0.263889,265,447.770792
0,324,451.867853
0,324,457.209804
0,324,461.123977
0.502778,179,464.515321
0,324,468.619384
0.777778,80,470.301916
0,324,474.400938
0,324,479.850246
0,324,483.867229
0.497222,181,487.233602
0,324,491.113788
0,324,496.374241
0.716667,102,498.135391
0.122222,316,502.21599
0,324,507.629822
0,324,511.775085
0,324,517.144572
0,324,521.030599
0,324,526.219115
0,324,530.341925
0,324,535.834981
0,324,539.988816
0.838889,58,541.62982
0.841667,57,541.895095
0.811111,68,543.576105
0.580556,151,545.562613
0.636111,131,547.444212
0.780556,79,549.12196
0.85,54,549.317823
0.847222,55,550.869105
0.7,108,551.286008
0.722222,100,553.00551
0.861111,50,554.487236
0.916667,30,554.621813
0.930556,25,554.731052
0.875,45,554.896033
0.711111,104,556.599512
0.752778,89,558.22968
0.936111,23,558.33633
0.816667,66,559.878813
0.761111,86,560.282449
0.938889,22,560.377418
0.841667,57,562.002733
0.766667,84,563.773267
0.602778,143,565.796722
0.933333,24,565.901185
0.919444,29,566.029957
0.880556,43,566.236656
0.861111,50,567.830702
0.883333,42,568.023708
0.836111,59,569.645847
0.894444,38,569.802951
0.905556,34,569.958086
0.886111,41,570.159489
0.825,63,571.775267
0.763889,85,573.528872
0.883333,42,573.72003
0.886111,41,573.898918
0.947222,19,573.978422
0.894444,38,575.53326
0.891667,39,575.678799
0.886111,41,575.852284
0.941667,21,575.940063
0.866667,48,577.491936
0.930556,25,577.587142
0.952778,17,577.652854
0.844444,56,579.233514
0.938889,22,579.31456
0.880556,43,579.479334
0.908333,33,579.615846
0.908333,33,581.083057
0.922222,28,581.188247
0.930556,25,581.278501
0.908333,33,581.399834
0.908333,33,582.844624
0.936111,23,582.937533
0.952778,17,582.999352
0.941667,21,583.074896
0.916667,30,583.184526
0.913889,31,584.587794
0.905556,34,584.740756
0.938889,22,584.838333
0.911111,32,584.954248
0.938889,22,585.034769
0.891667,39,586.46377
0.919444,29,586.598334
0.894444,38,586.769144
0.902778,35,588.138833
0.952778,17,588.222503
0.936111,23,588.339561
0.952778,17,588.424095
0.925,27,588.545063
0.944444,20,588.633729
0.947222,19,588.715891
0.947222,19,590.055457
0.936111,23,590.169753
0.927778,26,590.290762
0.947222,19,590.382735
0.894444,38,590.552216
0.913889,31,592.022909
0.841667,57,592.298205
0.952778,17,592.372761
0.941667,21,592.463149
0.919444,29,593.989087
0.941667,21,594.090529
0.958333,15,594.159636
0.952778,17,594.233708
0.947222,19,594.32292
0.941667,21,594.422558
0.941667,21,595.828958
0.927778,26,595.949031
0.936111,23,596.056058
0.927778,26,596.176446
0.936111,23,596.292447
0.941667,21,596.398062
0.941667,21,597.817418
0.927778,26,597.934585
0.947222,19,598.029398
0.952778,17,598.118178
0.947222,19,598.207611
0.958333,15,598.279927
0.925,27,599.73185
0.922222,28,599.863601
0.913889,31,600.025808
0.958333,15,600.101592
0.936111,23,600.198806
0.947222,19,601.617005
0.944444,20,601.709746
0.947222,19,601.801054
0.875,45,602.004592
0.952778,17,602.078465
0.922222,28,603.557362
0.947222,19,603.642442
0.958333,15,603.702111
0.944444,20,603.774375
0.936111,23,603.863459
0.958333,15,603.927726
0.897222,37,605.458621
0.95,18,605.528543
0.930556,25,605.617973
0.952778,17,605.679879
0.958333,15,605.732592
0.916667,30,605.855848
0.952778,17,605.928597
0.952778,17,607.357825
0.958333,15,607.413765
0.958333,15,607.471048
0.952778,17,607.532312
0.933333,24,607.619707
0.952778,17,607.69547
0.952778,17,607.769332
0.958333,15,609.1751
0.958333,15,609.231326
0.952778,17,609.293393
0.958333,15,609.349542
0.875,45,609.514967
0.952778,17,609.580672
0.952778,17,610.972981
0.944444,20,611.055691
0.922222,28,611.15755
0.952778,17,611.217768
0.95,18,611.292939
0.95,18,611.361836
0.941667,21,611.443554
0.958333,15,612.824216
0.952778,17,612.899899
0.941667,21,612.983543
0.958333,15,613.039783
0.947222,19,613.108321
0.941667,21,613.180156
0.919444,29,614.585016
0.947222,19,614.669618
0.947222,19,614.756834
0.958333,15,614.823926
0.952778,17,614.895175
0.952778,17,614.959345
0.952778,17,615.023409
0.958333,15,615.080671
0.95,18,616.503721
0.958333,15,616.575652
0.941667,21,616.671951
0.958333,15,616.73853
0.958333,15,616.797119
0.958333,15,616.851434
0.958333,15,616.907698
0.958333,15,616.961428
0.952778,17,618.328276
0.958333,15,618.402327
0.941667,21,618.497251
0.952778,17,618.569687
0.958333,15,618.63256
0.958333,15,618.69672
0.930556,25,618.787675
0.925,27,620.227629
0.952778,17,620.313
0.952778,17,620.38963
0.936111,23,620.486369
0.952778,17,620.558633
0.936111,23,620.650729
0.958333,15,622.044343
0.947222,19,622.140439
0.958333,15,622.21176
0.958333,15,622.274548
0.958333,15,622.339241
0.958333,15,622.404135
0.955556,16,622.477597
0.947222,19,622.561147
0.936111,23,623.999615
0.816667,66,624.296517
0.958333,15,624.36873
0.958333,15,624.435354
0.933333,24,625.85353
0.941667,21,625.933867
0.952778,17,626.005431
0.952778,17,626.077467
0.958333,15,626.150171
0.952778,17,626.232446
0.955556,16,626.312681
0.952778,17,626.391445
0.952778,17,627.780832
0.958333,15,627.842777
0.952778,17,627.914914
0.958333,15,627.980353
0.936111,23,628.089061
0.941667,21,628.190422
0.941667,21,629.599699
0.952778,17,629.672036
0.944444,20,629.758932
0.952778,17,629.826586
0.930556,25,629.936608
0.952778,17,630.015301
0.958333,15,630.09449
0.958333,15,630.167676
0.952778,17,631.566962
0.933333,24,631.663677
0.95,18,631.746125
0.958333,15,631.819139
0.958333,15,631.894124
0.955556,16,631.970292
0.947222,19,632.054489
0.933333,24,633.5383
0.952778,17,633.615356
0.947222,19,633.701952
0.958333,15,633.771821
0.958333,15,633.837099
0.958333,15,633.902485
0.958333,15,633.964635
0.958333,15,635.410954
0.927778,26,635.526783
0.955556,16,635.58278
0.958333,15,635.636715
0.958333,15,635.692201
0.958333,15,635.752426
0.958333,15,635.817228
0.958333,15,635.879276
0.952778,17,637.329028
0.958333,15,637.385133
0.952778,17,637.465869
0.941667,21,637.553516
0.922222,28,637.672729
0.95,18,637.754862
0.952778,17,637.83278
0.947222,19,639.304551
0.958333,15,639.359765
0.958333,15,639.414387
0.947222,19,639.482994
0.958333,15,639.53815
0.958333,15,639.593508
0.952778,17,639.665468
0.958333,15,639.727504
0.958333,15,641.120175
0.927778,26,641.216223
0.952778,17,641.278659
0.952778,17,641.34007
0.947222,19,641.410534
0.919444,29,641.517895
0.958333,15,642.893831
0.958333,15,642.963056
0.952778,17,643.038109
0.958333,15,643.092839
0.958333,15,643.148947
0.952778,17,643.213267
0.958333,15,643.268126
0.958333,15,643.323437
0.9,36,644.756166
0.952778,17,644.832078
0.952778,17,644.911543
0.958333,15,644.976674
0.952778,17,645.03919
0.952778,17,645.101327
0.958333,15,645.159689
0.952778,17,646.489022
0.952778,17,646.573294
0.958333,15,646.641643
0.958333,15,646.709344
0.936111,23,646.815258
0.958333,15,646.881699
0.952778,17,646.945485
0.958333,15,648.251144
0.958333,15,648.327803
0.958333,15,648.403476
0.958333,15,648.477354
0.958333,15,648.546253
0.958333,15,648.614031
0.958333,15,648.681606
0.958333,15,648.751072
0.958333,15,648.809744
0.958333,15,650.135356
0.958333,15,650.212546
0.958333,15,650.287273
0.952778,17,650.371225
0.952778,17,650.447747
0.958333,15,650.514513
0.958333,15,650.57983
0.958333,15,650.647697
0.958333,15,651.985856
0.952778,17,652.074904
0.958333,15,652.152017
0.958333,15,652.227266
0.958333,15,652.296707
0.952778,17,652.375576
0.958333,15,652.442587
0.958333,15,652.511486
0.958333,15,652.584313
0.958333,15,653.964546
0.952778,17,654.04686
0.958333,15,654.118637
0.922222,28,654.239003
0.952778,17,654.315688
0.958333,15,654.390104
0.958333,15,654.462537
0.958333,15,655.843286
0.958333,15,655.921174
0.958333,15,655.986059
0.958333,15,656.048089
0.958333,15,656.117898
0.958333,15,656.188915
0.958333,15,656.262684
0.958333,15,656.333028
0.958333,15,657.705647
0.958333,15,657.779948
0.958333,15,657.846148
0.95,18,657.922038
0.958333,15,657.995968
0.958333,15,658.075218
0.958333,15,658.15318
0.958333,15,658.226753
0.958333,15,658.293921
0.958333,15,659.674679
0.958333,15,659.739076
0.922222,28,659.862223
0.958333,15,659.936266
0.958333,15,660.008569
0.952778,17,660.091125
0.958333,15,660.159449
0.958333,15,661.54113
0.955556,16,661.608374
0.958333,15,661.676
0.955556,16,661.746332
0.958333,15,661.817718
0.955556,16,661.896796
0.958333,15,661.971451
0.958333,15,662.039884
0.958333,15,662.099539
0.958333,15,663.491421
0.958333,15,663.557291
0.958333,15,663.624616
0.958333,15,663.692888
0.944444,20,663.801398
0.952778,17,663.871038
0.958333,15,663.935168
0.958333,15,663.997918
0.952778,17,665.414711
0.958333,15,665.482016
0.952778,17,665.557656
0.958333,15,665.621301
0.958333,15,665.681411
0.952778,17,665.753684
0.958333,15,665.818629
0.958333,15,665.876623
0.958333,15,667.294926
0.958333,15,667.360845
0.958333,15,667.421956
0.958333,15,667.477774
0.958333,15,667.533856
0.958333,15,667.596281
0.958333,15,667.661696
0.958333,15,667.72784
0.955556,16,669.156502
0.905556,34,669.286247
0.958333,15,669.344136
0.958333,15,669.400337
0.958333,15,669.456336
0.958333,15,669.51583
0.958333,15,669.580093
0.958333,15,669.645073
0.958333,15,671.045547
0.958333,15,671.103748
0.952778,17,671.167397
0.958333,15,671.224498
0.958333,15,671.283795
0.947222,19,671.35376
0.952778,17,671.424067
0.958333,15,671.485893
0.952778,17,672.87876
0.958333,15,672.940178
0.958333,15,672.994174
0.955556,16,673.05322
0.958333,15,673.112153
0.958333,15,673.169378
0.952778,17,673.231773
0.958333,15,673.289382
0.958333,15,674.657914
0.958333,15,674.728852
0.958333,15,674.786318
0.958333,15,674.843627
0.958333,15,674.899211
0.958333,15,674.955299
0.958333,15,675.013169
0.958333,15,675.073738
0.952778,17,676.46332
0.958333,15,676.531351
0.958333,15,676.596578
0.958333,15,676.663064
0.958333,15,676.720395
0.958333,15,676.784436
0.952778,17,676.849271
0.958333,15,676.905849
0.952778,17,678.228051
0.952778,17,678.31775
0.958333,15,678.386141
0.952778,17,678.460824
0.952778,17,678.534629
0.958333,15,678.602498
0.958333,15,678.658957
0.944444,20,678.732108
0.958333,15,680.038155
0.947222,19,680.133812
0.958333,15,680.212235
0.958333,15,680.282581
0.952778,17,680.356642
0.941667,21,680.448836
0.958333,15,680.513612
0.958333,15,680.576007
0.958333,15,681.889127
0.958333,15,681.962562
0.958333,15,682.036428
0.952778,17,682.120718
0.947222,19,682.214543
0.952778,17,682.287632
0.952778,17,682.365891
0.958333,15,682.433906
0.958333,15,683.805279
0.958333,15,683.890201
0.958333,15,683.972152
0.958333,15,684.042958
0.958333,15,684.11878
0.952778,17,684.197325
0.958333,15,684.26445
0.958333,15,684.331487
0.958333,15,685.789723
0.958333,15,685.863052
0.936111,23,685.977094
0.958333,15,686.043558
0.952778,17,686.119025
0.958333,15,686.185867
0.958333,15,686.256649
0.958333,15,686.324287
0.958333,15,687.707877
0.958333,15,687.782523
0.958333,15,687.850752
0.958333,15,687.913572
0.958333,15,687.980472
