#{"t_start": 1666693641.0879014, "env_id": "MiniGrid-SimpleCrossingS9N3-v0"}
r,l,t
0,324,799.837653
0.169444,299,807.089827
0.188889,292,816.864049
0,324,824.237817
0,324,833.984013
0.233333,276,841.032876
0.213889,283,848.112422
0.691667,111,851.372362
0.683333,114,854.694815
0.638889,130,858.112618
0,324,865.491874
0.591667,147,871.371127
0,324,878.859637
0,324,888.700307
0.127778,314,895.984226
0.325,243,902.693121
0.272222,262,909.5811
0,324,919.410471
0.797222,73,919.990021
0.613889,139,923.523111
0.405556,214,930.062959
0.558333,159,933.73993
0,324,943.462892
0,324,950.976207
0.611111,140,954.511774
0.794444,74,957.473701
0.411111,212,961.634434
0.75,90,964.761321
0.722222,100,967.971406
0.4,216,974.552895
0.505556,178,978.432438
0.775,81,981.478253
0.394444,218,985.633784
0.880556,43,988.381274
0.838889,58,988.845943
0.727778,98,992.071791
0.844444,56,992.485999
0.922222,28,995.123401
0.847222,55,995.602881
0.891667,39,995.885061
0.908333,33,998.586579
0.872222,46,999.002025
0.322222,244,1005.772245
0.572222,154,1009.413629
0.886111,41,1009.749899
0.797222,73,1012.772098
0.841667,57,1013.200366
0.841667,57,1016.101442
0.894444,38,1016.368228
0.872222,46,1016.759484
0.930556,25,1019.40376
0.855556,52,1019.811476
0.861111,50,1020.245456
0.813889,67,1023.155258
0.880556,43,1023.504977
0.533333,168,1029.653576
0.938889,22,1029.865735
0.905556,34,1030.129848
0.886111,41,1030.494566
0.938889,22,1033.039409
0.897222,37,1033.38324
0.919444,29,1033.602358
0.752778,89,1036.766474
0.825,63,1037.266554
0.938889,22,1037.474396
0.936111,23,1040.020999
0.922222,28,1040.26233
0.933333,24,1040.443916
0.897222,37,1040.773711
0.872222,46,1043.555615
0.922222,28,1043.757191
0.891667,39,1044.079829
0.863889,49,1046.8616
0.908333,33,1047.130621
0.958333,15,1047.234733
0.947222,19,1047.390112
0.925,27,1047.627167
0.941667,21,1047.815083
0.941667,21,1050.35798
0.85,54,1050.787175
0.927778,26,1051.002671
0.95,18,1051.165684
0.941667,21,1053.698689
0.894444,38,1054.025955
0.933333,24,1054.193727
0.941667,21,1054.369758
0.913889,31,1054.645338
0.952778,17,1057.132297
0.938889,22,1057.340037
0.938889,22,1057.509287
0.947222,19,1057.649387
0.955556,16,1057.779142
0.952778,17,1057.929908
0.877778,44,1060.647862
0.955556,16,1060.802039
0.947222,19,1060.942978
0.947222,19,1061.085049
0.916667,30,1061.341482
0.933333,24,1063.885745
0.886111,41,1064.272062
0.952778,17,1064.393867
0.936111,23,1064.586853
0.955556,16,1064.7258
0.947222,19,1064.89917
0.936111,23,1067.450063
0.947222,19,1067.627678
0.941667,21,1067.784155
0.938889,22,1067.934361
0.947222,19,1068.100933
0.955556,16,1068.246231
0.95,18,1070.787119
0.938889,22,1070.996315
0.95,18,1071.140973
0.958333,15,1071.242907
0.947222,19,1071.387691
0.944444,20,1071.55778
0.941667,21,1071.746043
0.958333,15,1074.232796
0.913889,31,1074.509708
0.944444,20,1074.648997
0.952778,17,1074.765782
0.919444,29,1075.011291
0.930556,25,1077.658996
0.947222,19,1077.842364
0.947222,19,1078.009736
0.95,18,1078.126648
0.958333,15,1078.236708
0.927778,26,1078.460893
0.941667,21,1078.646742
0.958333,15,1081.074905
0.941667,21,1081.267036
0.941667,21,1081.448776
0.952778,17,1081.56551
0.958333,15,1081.670401
