#{"t_start": 1666693525.8634942, "env_id": "MiniGrid-SimpleCrossingS9N3-v0"}
r,l,t
0,324,758.802301
0,324,764.097867
0,324,768.007832
0.425,207,771.515197
0,324,775.681742
0,324,781.247856
0.736111,95,783.040777
0.516667,174,785.201792
0,324,789.219945
0,324,794.496531
0,324,798.509128
0,324,803.965701
0.191667,291,807.958186
0,324,813.50684
0.597222,145,815.485938
0.577778,152,817.443825
0,324,822.706211
0.4,216,824.918533
0.727778,98,826.633078
0.125,315,832.056588
0.663889,121,834.003687
0.841667,57,834.268466
0.588889,148,836.255382
0.708333,105,838.050619
0,324,842.208455
0.258333,267,848.394647
0.683333,114,849.071122
0.869444,47,851.273138
0.511111,176,854.204756
0.777778,80,856.65538
0,324,862.055928
0.766667,84,864.247564
0.830556,61,864.596838
0.727778,98,866.890813
0.777778,80,869.073694
0.313889,247,874.203733
0.763889,85,874.718713
0.844444,56,876.845269
0.891667,39,877.062385
0.75,90,879.38473
0.863889,49,879.681543
0.741667,93,881.931993
0.911111,32,882.098562
0.886111,41,884.000186
0.852778,53,884.313666
0.813889,67,886.357038
0.861111,50,886.665326
0.822222,64,887.064582
0.875,45,889.023199
0.930556,25,889.178763
0.733333,96,891.511761
0.930556,25,891.660071
0.85,54,891.970946
0.869444,47,894.020645
0.883333,42,894.25021
0.436111,203,898.949965
0.905556,34,899.151293
0.886111,41,899.392406
0.911111,32,899.577579
0.886111,41,901.564923
0.894444,38,901.772078
0.925,27,901.925221
0.9,36,903.834723
0.916667,30,904.014097
0.858333,51,904.318302
0.816667,66,906.399342
0.930556,25,906.554362
0.947222,19,906.668468
0.886111,41,906.908643
0.791667,75,909.068657
0.947222,19,909.188296
0.955556,16,909.290287
0.855556,52,911.347805
0.933333,24,911.490212
0.886111,41,911.729971
0.938889,22,911.853413
0.886111,41,913.870845
0.938889,22,914.004945
0.875,45,914.266143
0.852778,53,916.354008
0.908333,33,916.550749
0.922222,28,916.714643
0.877778,44,916.976581
0.913889,31,918.944243
0.938889,22,919.067882
0.930556,25,919.196603
0.897222,37,919.413908
0.819444,65,921.505861
0.925,27,921.66876
0.866667,48,921.944509
0.933333,24,923.771907
0.952778,17,923.872598
0.947222,19,923.986182
0.933333,24,924.134054
0.95,18,924.239243
0.944444,20,924.355333
0.863889,49,926.319531
0.880556,43,926.566304
0.941667,21,926.689298
0.888889,40,928.656105
0.941667,21,928.792753
0.930556,25,928.94769
0.938889,22,929.0883
0.952778,17,929.189077
0.880556,43,931.284009
0.944444,20,931.402503
0.947222,19,931.517156
0.958333,15,931.603339
0.927778,26,931.759309
0.925,27,931.913159
0.941667,21,933.840019
0.952778,17,933.940946
0.952778,17,934.033742
0.95,18,934.128932
0.95,18,934.226856
0.958333,15,934.312078
0.958333,15,934.399495
0.95,18,934.48908
0.955556,16,936.387669
0.955556,16,936.476508
0.941667,21,936.582211
0.936111,23,936.700894
0.947222,19,936.799885
0.952778,17,936.892349
0.958333,15,936.978585
0.95,18,938.850763
0.958333,15,938.944525
0.952778,17,939.04703
0.902778,35,939.239176
0.905556,34,939.423954
0.95,18,941.236788
0.952778,17,941.336571
0.936111,23,941.475335
0.955556,16,941.573428
0.952778,17,941.670035
