#{"t_start": 1666693525.7676463, "env_id": "MiniGrid-SimpleCrossingS9N1-v0"}
r,l,t
0,324,11.802139
0,324,17.821624
0,324,21.517941
0,324,26.724255
0,324,30.965509
0,324,36.371089
0,324,40.227103
0,324,45.153265
0,324,49.014282
0.491667,183,52.535702
0,324,56.637992
0.544444,164,59.970961
0.286111,257,63.374655
0,324,67.045999
0,324,72.393726
0,324,76.490034
0.391667,219,80.102708
0.358333,231,83.698412
0.330556,241,87.020913
0,324,90.756675
0,324,96.273483
0,324,100.490504
0.519444,173,102.534734
0,324,107.680706
0.211111,284,111.21468
0.211111,284,114.938802
0,324,120.414104
0,324,124.570646
0.266667,264,129.727828
0,324,133.606786
0,324,138.646573
0,324,142.456328
0,324,147.904437
0.533333,168,150.036362
0,324,155.51451
0,324,159.55381
0.136111,311,163.379635
0,324,168.458332
0,324,173.697597
0,324,177.885386
0.1,324,183.45241
0.513889,175,185.591404
0,324,191.105808
0,324,194.910626
0,324,199.952149
0.319444,245,202.378822
0.352778,233,206.119771
0.677778,116,207.986224
0,324,213.478563
0.438889,202,215.690786
0.680556,115,217.52945
0.363889,229,221.211173
0.280556,259,224.928689
0.569444,155,226.803206
0,324,231.859605
0.930556,25,231.988708
0.108333,321,236.19868
0,324,241.755328
0.772222,82,243.480378
0,324,247.631571
0.616667,138,249.512815
0.463889,193,252.943073
0.891667,39,253.084043
0,324,258.103277
0.538889,166,260.041154
0.475,189,262.166173
0,324,267.729397
0,324,271.884971
0.786111,77,273.592097
0.375,225,277.241095
0.461111,194,279.270997
0.688889,112,280.974031
0.447222,199,284.288938
0.563889,157,286.211826
0.725,99,287.989803
0.725,99,289.837716
0.875,45,290.058564
0.752778,89,291.791442
0.586111,149,293.797935
0.897222,37,293.963753
0.911111,32,294.115727
0.338889,238,297.841716
0.688889,112,299.667866
0.608333,141,301.64891
0.883333,42,301.821973
0.65,126,303.705183
0.691667,111,305.520097
0.863889,49,307.059596
0.919444,29,307.160861
0.561111,158,309.092409
0.927778,26,309.186687
0.863889,49,310.658977
0.941667,21,310.737389
0.691667,111,312.410895
0.544444,164,314.326806
0.772222,82,315.904601
0.752778,89,316.314643
0.902778,35,317.768492
0.936111,23,317.881175
0.902778,35,318.051692
0.9,36,318.209615
0.958333,15,318.276118
0.9,36,319.839465
0.883333,42,320.030559
0.825,63,321.674008
0.891667,39,321.84449
0.830556,61,322.115688
0.766667,84,323.900813
0.816667,66,325.536818
0.858333,51,325.739522
0.877778,44,325.945567
0.725,99,327.729347
0.908333,33,327.875282
0.794444,74,329.580352
0.95,18,329.647099
0.772222,82,331.342858
0.952778,17,331.404104
0.941667,21,331.475875
0.891667,39,331.633831
0.852778,53,333.191781
0.938889,22,333.270738
0.886111,41,333.420314
0.947222,19,333.496038
0.919444,29,334.933144
0.952778,17,335.000232
0.941667,21,335.073718
0.938889,22,335.14883
0.936111,23,335.230674
0.877778,44,336.673368
0.916667,30,336.801917
0.958333,15,336.852575
0.958333,15,336.905432
0.838889,58,337.115583
0.947222,19,338.432015
0.947222,19,338.519713
0.908333,33,338.665132
0.922222,28,338.779901
0.730556,97,340.431903
0.938889,22,340.529273
0.95,18,340.606373
0.702778,107,342.319485
0.825,63,343.838973
0.752778,89,344.260835
0.952778,17,344.336276
0.808333,69,346.005216
0.955556,16,346.078153
0.858333,51,347.640808
0.902778,35,347.837342
0.947222,19,347.925545
0.958333,15,347.995818
0.933333,24,348.11074
0.916667,30,348.254228
0.958333,15,349.629196
0.833333,60,349.921001
0.891667,39,350.106874
0.944444,20,351.522583
0.841667,57,351.770008
0.958333,15,351.841272
0.958333,15,351.913437
0.763889,85,353.594749
0.95,18,353.681261
0.761111,86,355.336477
0.894444,38,355.501407
0.933333,24,355.601067
0.95,18,355.671258
0.688889,112,357.443002
0.930556,25,357.547319
0.944444,20,358.952727
0.958333,15,359.018758
0.95,18,359.097307
0.952778,17,359.158649
0.841667,57,359.373846
0.947222,19,360.761585
0.936111,23,360.862607
0.941667,21,360.941828
0.930556,25,361.033487
0.944444,20,361.105627
0.872222,46,362.615807
0.922222,28,362.734372
0.841667,57,362.942868
0.908333,33,364.393953
0.958333,15,364.466105
0.947222,19,364.537231
0.944444,20,364.610197
0.958333,15,364.664817
0.952778,17,364.727153
0.952778,17,364.788682
0.872222,46,366.284773
0.938889,22,366.36351
0.95,18,366.42522
0.958333,15,366.480209
0.952778,17,366.54036
0.919444,29,366.640601
0.947222,19,367.987019
0.941667,21,368.082554
0.938889,22,368.167658
0.922222,28,368.267428
0.938889,22,368.348578
0.919444,29,369.705729
0.85,54,369.932181
0.919444,29,370.051198
0.95,18,370.116493
0.930556,25,371.437625
0.855556,52,371.677944
0.95,18,371.757634
0.947222,19,371.838865
0.947222,19,371.915551
0.902778,35,373.286416
0.936111,23,373.397628
0.958333,15,373.465349
0.958333,15,373.528784
0.905556,34,373.676482
0.894444,38,375.079747
0.947222,19,375.163875
0.938889,22,375.274621
0.941667,21,375.37205
0.705556,106,377.183834
0.95,18,377.264865
0.925,27,377.392447
0.952778,17,377.468267
