#{"t_start": 1666693641.5213132, "env_id": "MiniGrid-SimpleCrossingS9N2-v0"}
r,l,t
0,324,392.654944
0.247222,271,396.443173
0.391667,219,400.075176
0,324,404.208228
0,324,409.634613
0,324,413.650669
0,324,418.868409
0,324,423.936587
0.302778,251,426.361015
0,324,431.888866
0,324,437.330359
0,324,441.465267
0,324,446.788159
0,324,450.708678
0,324,455.909655
0,324,460.164516
0,324,465.580216
0,324,469.687183
0.258333,267,473.511792
0.611111,140,475.406377
0,324,480.664345
0,324,484.547316
0,324,489.87335
0,324,495.399409
0.15,306,499.374352
0.436111,203,502.922706
0.261111,266,506.73799
0,324,510.662705
0.308333,249,514.206029
0.458333,195,517.550951
0.433333,204,519.81889
0.322222,244,523.650726
0.455556,196,527.248485
0.425,207,529.554892
0.697222,109,531.372507
0.555556,160,533.435561
0.647222,127,535.345736
0.486111,185,538.855569
0.838889,58,539.086062
0.522222,172,542.491738
0.919444,29,542.599149
0.916667,30,542.706509
0.447222,199,546.04274
0.883333,42,546.23156
0.691667,111,547.931786
0.694444,110,549.655088
0.636111,131,551.499543
0.772222,82,551.906988
0.766667,84,553.63586
0.855556,52,553.873132
0.708333,105,555.716125
0.847222,55,557.308668
0.869444,47,557.511623
0.65,126,559.414533
0.861111,50,559.647001
0.869444,47,561.23695
0.677778,116,563.134711
0.811111,68,563.446801
0.916667,30,563.589612
0.625,135,565.559901
0.877778,44,567.149909
0.775,81,567.49259
0.925,27,568.972938
0.830556,61,569.202368
0.941667,21,569.293063
0.747222,91,571.008124
0.941667,21,571.082716
0.952778,17,571.150557
0.886111,41,572.653991
0.611111,140,574.51705
0.866667,48,574.696907
0.558333,159,576.597862
0.952778,17,576.661526
0.922222,28,578.040478
0.883333,42,578.228814
0.844444,56,578.45903
0.955556,16,579.77563
0.911111,32,579.933826
0.880556,43,580.136298
0.919444,29,580.2695
0.958333,15,581.570569
0.897222,37,581.751197
0.825,63,582.053274
0.958333,15,582.12332
0.891667,39,583.613027
0.875,45,583.834236
0.911111,32,583.974569
0.866667,48,585.551971
0.886111,41,585.749699
0.936111,23,585.851341
0.891667,39,587.345543
0.911111,32,587.503295
0.880556,43,587.675816
0.919444,29,587.812329
0.933333,24,589.286127
0.9,36,589.448152
0.958333,15,589.512605
0.883333,42,589.713274
0.947222,19,589.802737
0.897222,37,591.317489
0.947222,19,591.395435
0.922222,28,591.515063
0.952778,17,591.598319
0.916667,30,591.74902
0.816667,66,593.359874
0.958333,15,593.427675
0.891667,39,593.625302
0.936111,23,595.069889
0.908333,33,595.214452
0.911111,32,595.357027
0.919444,29,595.497348
0.941667,21,595.593964
0.855556,52,597.188113
0.886111,41,597.342628
0.933333,24,597.437742
0.947222,19,597.515739
0.872222,46,599.066674
0.947222,19,599.131373
0.958333,15,599.182895
0.947222,19,599.250361
0.891667,39,600.737768
0.883333,42,600.902621
0.911111,32,601.01676
0.905556,34,601.135608
0.922222,28,602.553093
0.944444,20,602.644536
0.913889,31,602.767437
0.947222,19,602.836995
0.927778,26,602.93352
0.919444,29,604.318566
0.952778,17,604.395028
0.922222,28,604.519728
0.958333,15,604.585309
0.927778,26,604.679503
0.952778,17,604.741346
0.947222,19,606.063149
0.944444,20,606.161083
0.936111,23,606.261078
0.958333,15,606.327061
0.952778,17,606.401284
0.925,27,606.519046
0.936111,23,607.85275
0.952778,17,607.93899
0.958333,15,608.014004
0.855556,52,608.249336
0.958333,15,608.317237
0.952778,17,608.393936
0.925,27,609.767822
0.95,18,609.856868
0.952778,17,609.937573
0.947222,19,610.021097
0.936111,23,610.1192
0.947222,19,610.202245
0.952778,17,611.607085
0.952778,17,611.691293
0.952778,17,611.773178
0.952778,17,611.853381
0.958333,15,611.913281
0.952778,17,611.985824
0.952778,17,612.061511
0.952778,17,612.136587
0.913889,31,613.655533
0.952778,17,613.729707
0.952778,17,613.803549
0.952778,17,613.875348
0.958333,15,613.943574
0.922222,28,614.070023
0.95,18,615.501231
0.947222,19,615.591713
0.952778,17,615.664469
0.958333,15,615.72385
0.938889,22,615.81727
0.952778,17,615.892482
0.947222,19,615.983128
0.958333,15,617.366904
0.958333,15,617.438713
0.944444,20,617.515985
0.958333,15,617.575737
0.944444,20,617.659177
0.952778,17,617.73246
0.958333,15,617.798821
0.952778,17,617.88139
0.95,18,619.350611
0.958333,15,619.415613
0.952778,17,619.485088
0.958333,15,619.551511
0.919444,29,619.680336
0.952778,17,619.763301
0.958333,15,619.833123
0.958333,15,621.24177
0.922222,28,621.360108
0.952778,17,621.434015
0.958333,15,621.499123
0.941667,21,621.592537
0.958333,15,621.665927
0.952778,17,621.750337
0.952778,17,623.148035
0.941667,21,623.235264
0.958333,15,623.303858
0.908333,33,623.454331
0.952778,17,623.535264
0.952778,17,623.616162
