#{"t_start": 1666693641.6131487, "env_id": "MiniGrid-SimpleCrossingS9N1-v0"}
r,l,t
0,324,17.29749
0,324,23.749527
0,324,28.505987
0,324,34.180077
0,324,38.1662
0,324,43.288579
0.147222,307,47.003569
0,324,52.279638
0,324,56.438339
0.522222,172,58.589208
0,324,64.082293
0.688889,112,65.909125
0,324,69.951181
0.583333,150,73.163755
0.302778,251,76.641116
0.708333,105,77.137922
0.166667,300,82.218431
0,324,86.420969
0,324,91.978866
0,324,96.083874
0.127778,314,101.475223
0,324,105.362589
0,324,110.406852
0,324,114.395231
0,324,120.016449
0,324,124.148068
0,324,129.547402
0.427778,206,133.084479
0,324,136.876528
0,324,141.946501
0,324,146.145369
0,324,151.623733
0,324,155.775147
0,324,161.142433
0,324,164.992867
0.363889,229,168.478713
0,324,173.620457
0,324,177.892479
0,324,183.450644
0,324,187.614945
0,324,192.937428
0.241667,273,196.540385
0.155556,304,200.220621
0,324,205.501477
0,324,209.684069
0.388889,220,213.371928
0,324,218.888568
0.283333,258,222.613142
0.652778,125,224.432253
0.327778,242,226.627462
0.591667,147,229.694726
0.613889,139,231.507041
0,324,235.551639
0,324,241.145617
0.677778,116,242.965165
0.213889,283,246.831606
0.677778,116,248.696851
0.819444,65,248.975599
0.630556,133,250.881496
0,324,256.145536
0.233333,276,259.747201
0,324,264.956766
0.747222,91,265.413222
0.394444,218,269.091562
0.477778,188,271.304903
0.833333,60,272.885159
0.652778,125,274.739275
0.761111,86,276.434878
0.577778,152,278.41809
0.569444,155,280.399668
0,324,284.368602
0.827778,62,285.95717
0.680556,115,287.714415
0.333333,240,291.144278
0.669444,119,292.904
0,324,296.965559
0.152778,305,302.410577
0.861111,50,302.625692
0.75,90,304.345897
0.661111,122,306.227228
0.636111,131,308.122711
0.622222,136,310.043913
0.838889,58,310.296127
0.566667,156,312.348164
0.619444,137,314.326224
0.905556,34,315.830355
0.283333,258,319.513819
0,324,323.282171
0.527778,170,326.468664
0.916667,30,326.605994
0.530556,169,328.741212
0.591667,147,330.793775
0.680556,115,332.640037
0.633333,132,334.56513
0.261111,266,338.499961
0.313889,247,342.363192
0,324,347.781544
0.547222,163,349.712146
0.127778,314,353.45296
0,324,358.593687
0.844444,56,358.845592
0.9,36,360.326924
0.708333,105,362.18401
0.908333,33,362.340211
0,324,366.492121
0.177778,296,371.846898
0.552778,161,373.965663
0.8,72,374.294844
0.683333,114,376.1556
0.730556,97,377.893358
0.719444,101,379.642411
0.716667,102,381.38437
0.847222,55,381.59199
0.786111,77,383.225063
0.475,189,385.232751
