#{"t_start": 1666693641.5214233, "env_id": "MiniGrid-SimpleCrossingS9N3-v0"}
r,l,t
0,324,802.949465
0.6,144,806.524474
0,324,816.563115
0.555556,160,820.260306
0.216667,282,827.353173
0,324,837.175915
0.544444,164,840.926002
0.658333,123,844.317503
0.202778,287,851.489299
0,324,861.401537
0.691667,111,864.64729
0.325,243,869.029665
0,324,878.752268
0,324,888.600303
0.225,279,895.723774
0.538889,166,899.514485
0,324,909.351308
0.430556,205,913.429042
0.683333,114,916.721648
0,324,926.521266
0.730556,97,927.362668
0,324,937.163831
0.772222,82,937.839784
0.547222,163,943.98146
0.730556,97,947.173872
0.583333,150,950.760437
0.847222,55,951.231465
0.613889,139,954.780691
0.808333,69,957.709975
0.819444,65,958.265604
0.605556,142,961.804352
0.783333,78,964.841036
0.886111,41,965.176372
0.377778,224,971.805682
0.825,63,974.686643
0.877778,44,975.067942
0.744444,92,978.181048
0.716667,102,979.062257
0.344444,236,985.842939
0.766667,84,988.929923
0.888889,40,989.280037
0.805556,70,992.184194
0.916667,30,992.455672
0.841667,57,992.946665
0.691667,111,996.25821
0.855556,52,998.999302
0.822222,64,999.555093
0.875,45,1002.276722
0.844444,56,1002.774505
0.858333,51,1003.211914
0.852778,53,1005.982323
0.905556,34,1006.286719
0.827778,62,1009.176147
0.836111,59,1009.70926
0.802778,71,1012.658051
0.908333,33,1012.94252
0.766667,84,1013.641167
0.844444,56,1016.484667
0.869444,47,1016.897535
0.716667,102,1020.173094
0.883333,42,1020.515772
0.791667,75,1023.496805
0.877778,44,1023.82551
0.894444,38,1026.450647
0.769444,83,1027.148893
0.888889,40,1029.752566
0.877778,44,1030.143065
0.936111,23,1030.351297
0.852778,53,1033.134828
0.858333,51,1033.584902
0.911111,32,1033.860253
0.936111,23,1034.049128
0.916667,30,1036.629293
0.880556,43,1037.008972
0.944444,20,1037.174957
0.833333,60,1040.00186
0.891667,39,1040.336211
0.919444,29,1040.591992
0.944444,20,1040.750678
0.883333,42,1043.442966
0.855556,52,1043.892598
0.930556,25,1044.115495
0.95,18,1044.256611
0.930556,25,1046.807573
0.955556,16,1046.937963
0.930556,25,1047.157548
0.952778,17,1047.313639
0.95,18,1047.474844
0.875,45,1047.831987
0.927778,26,1050.415928
0.938889,22,1050.610162
0.897222,37,1050.948019
0.95,18,1051.105156
0.902778,35,1053.731654
0.913889,31,1053.998064
0.916667,30,1054.272532
0.922222,28,1054.52724
0.958333,15,1054.646638
0.95,18,1054.77964
0.955556,16,1057.258216
0.952778,17,1057.410072
0.947222,19,1057.58192
0.958333,15,1057.717047
0.886111,41,1058.052909
0.922222,28,1060.613719
0.941667,21,1060.786027
0.952778,17,1060.936073
0.911111,32,1061.232832
0.944444,20,1061.415053
0.952778,17,1061.53798
0.958333,15,1061.657851
0.958333,15,1064.115612
0.955556,16,1064.258538
0.958333,15,1064.396343
