#{"t_start": 1666693529.4993277, "env_id": "MiniGrid-SimpleCrossingS9N1-v0"}
r,l,t
0,324,7.903223
0,324,13.235368
0,324,17.055564
0,324,22.847086
0,324,26.910534
0,324,32.050144
0,324,35.713931
0,324,40.962789
0,324,45.077696
0,324,50.485743
0,324,54.162623
0,324,59.219648
0,324,63.229858
0,324,68.626004
0.283333,258,72.367441
0,324,76.191043
0,324,81.167816
0.519444,173,83.14059
0,324,88.677909
0.519444,173,90.794121
0,324,96.215276
0.552778,161,98.134699
0,324,103.032493
0.769444,83,103.432835
0,324,108.717225
0.630556,133,110.619262
0.566667,156,112.676275
0.691667,111,114.507338
0.358333,231,118.206165
0,324,122.131224
0,324,127.234647
0,324,131.139387
0,324,136.437847
0.536111,167,138.467311
0,324,143.858816
0,324,147.88537
0.627778,134,149.720246
0,324,154.830251
0,324,158.743179
0,324,164.137343
0,324,168.288186
0,324,173.773228
0,324,177.888236
0,324,183.135182
0,324,187.015066
0.713889,103,188.714831
0.669444,119,190.515959
0.45,198,194.09816
0,324,198.276898
0,324,203.742023
0,324,207.851262
0.272222,262,211.548119
0,324,216.632227
0,324,220.521664
0,324,226.100776
0.255556,268,229.998658
0.597222,145,232.104975
0.616667,138,234.061933
0.6,144,236.040116
0.636111,131,237.946925
0,324,243.226849
0.844444,56,243.431164
0.286111,257,246.947267
0.363889,229,250.453953
0.422222,208,254.048262
0.494444,182,256.177995
0.747222,91,257.958027
0.825,63,258.249337
0.683333,114,260.124387
0,324,265.614978
0.355556,232,269.21095
0.716667,102,269.575656
0.594444,146,272.665555
0.677778,116,274.357723
0.919444,29,274.500315
0.905556,34,274.651372
0.688889,112,276.371999
0.672222,118,278.263303
0.85,54,278.512292
0.666667,120,280.421061
0.686111,113,282.265986
0.886111,41,282.463763
0.897222,37,283.980356
0.825,63,284.264093
0.716667,102,286.063289
0.913889,31,286.207066
0.669444,119,288.090358
0.919444,29,288.227989
0.508333,177,291.722062
0.775,81,292.02559
0.952778,17,293.460165
0.755556,88,293.782674
0.591667,147,295.692263
0.633333,132,297.50949
0.886111,41,298.949615
0.838889,58,299.164565
0.788889,76,300.719791
0.886111,41,300.896212
0.805556,70,302.391425
0.572222,154,304.309884
0.927778,26,304.42863
0.886111,41,304.608407
0.938889,22,305.984619
0.880556,43,306.183333
0.769444,83,306.58662
0.938889,22,308.072014
0.869444,47,308.292301
0.944444,20,308.383019
0.658333,123,310.299553
0.833333,60,311.916643
0.802778,71,312.238687
0.905556,34,312.400403
0.947222,19,313.82017
0.505556,178,315.972554
0.922222,28,316.104379
0.708333,105,317.937233
0.958333,15,318.001771
0.947222,19,318.085551
0.569444,155,320.121029
0.936111,23,321.578902
0.897222,37,321.706671
0.905556,34,321.831652
0.922222,28,321.934293
0.866667,48,323.441651
0.733333,96,325.102764
0.919444,29,325.207003
0.958333,15,325.260628
0.919444,29,325.361285
0.958333,15,325.412971
0.683333,114,327.139234
0.911111,32,327.25266
0.911111,32,328.619483
0.947222,19,328.703381
0.813889,67,328.974723
0.85,54,330.450345
0.941667,21,330.551681
0.952778,17,330.630879
0.877778,44,330.818586
0.908333,33,332.204921
0.891667,39,332.387844
0.780556,79,334.108628
0.947222,19,334.200157
0.925,27,334.333158
0.936111,23,334.439362
0.941667,21,334.527623
0.930556,25,334.634994
0.902778,35,336.16772
0.788889,76,336.50457
0.811111,68,338.124256
0.761111,86,339.839143
0.819444,65,340.123006
0.819444,65,341.768552
0.913889,31,341.89974
0.897222,37,342.06023
0.891667,39,342.240816
0.897222,37,343.701292
0.880556,43,343.886149
0.872222,46,344.097558
0.958333,15,344.163373
0.952778,17,345.548683
0.936111,23,345.646567
0.891667,39,345.812506
0.938889,22,345.915308
0.894444,38,347.387228
0.936111,23,347.487632
0.930556,25,347.599207
0.941667,21,347.687476
0.788889,76,349.318869
0.836111,59,349.552517
0.858333,51,351.039628
0.9,36,351.202521
0.919444,29,351.31096
0.958333,15,351.363348
0.913889,31,351.473941
0.922222,28,352.886016
0.838889,58,353.118114
0.844444,56,354.590655
0.944444,20,354.679969
0.947222,19,354.764007
0.941667,21,354.853523
0.872222,46,355.021083
0.941667,21,356.389184
0.952778,17,356.471959
0.883333,42,356.665054
0.941667,21,356.745959
0.938889,22,356.825834
0.866667,48,358.307563
0.952778,17,358.386321
0.95,18,358.467986
0.944444,20,358.550233
0.825,63,360.05603
0.930556,25,360.157792
0.919444,29,360.290858
0.936111,23,360.387202
0.952778,17,360.449316
0.905556,34,361.840693
0.958333,15,361.915883
0.936111,23,362.021968
0.952778,17,362.095346
0.944444,20,362.182986
0.933333,24,362.274346
0.958333,15,363.574295
0.958333,15,363.649531
0.888889,40,363.843009
0.95,18,363.923001
0.9,36,364.085717
0.95,18,365.423064
0.955556,16,365.506192
0.952778,17,365.589005
0.947222,19,365.678265
0.952778,17,365.752767
0.941667,21,365.845247
0.955556,16,365.914961
0.952778,17,365.987882
0.95,18,367.370739
0.911111,32,367.522738
0.952778,17,367.591882
0.891667,39,367.77329
0.958333,15,367.845906
0.880556,43,369.330542
0.944444,20,369.418477
0.958333,15,369.489774
0.958333,15,369.561906
0.958333,15,369.633801
0.886111,41,371.114348
0.947222,19,371.192702
0.941667,21,371.282096
0.95,18,371.363931
0.955556,16,371.436706
0.886111,41,371.636247
0.95,18,373.036952
0.958333,15,373.103957
0.947222,19,373.186266
0.958333,15,373.255679
0.947222,19,373.339278
0.947222,19,373.432142
0.952778,17,373.510311
