#{"t_start": 1666693529.4320474, "env_id": "MiniGrid-SimpleCrossingS9N3-v0"}
r,l,t
0,324,754.628374
0,324,759.844503
0.394444,218,762.152093
0,324,767.658545
0,324,771.832612
0,324,777.374669
0,324,781.279585
0.530556,169,784.559257
0.872222,46,784.758176
0,324,790.221267
0.102778,323,794.383096
0.483333,186,797.906493
0,324,802.051013
0.438889,202,805.638498
0,324,809.640877
0.205556,286,813.455815
0,324,818.823399
0.541667,165,820.908597
0,324,826.387142
0.383333,222,830.126751
0.35,234,832.515527
0.4,216,836.124097
0.444444,200,839.688652
0.738889,94,840.034401
0,324,846.54363
0.744444,92,848.688766
0.788889,76,849.198358
0.875,45,851.124039
0.847222,55,851.500798
0.705556,106,853.928955
0.4,216,857.056236
0.525,171,861.862675
0.688889,112,864.390021
0.633333,132,867.004578
0.8,72,867.412491
0.861111,50,869.426986
0.611111,140,871.837229
0.875,45,872.092932
0.727778,98,874.334202
0.638889,130,876.85947
0.758333,87,879.153572
0.8,72,879.572438
0.763889,85,881.874679
0.638889,130,884.458637
0.847222,55,884.775179
0.9,36,886.736533
0.677778,116,887.37083
0.922222,28,889.244358
0.925,27,889.406446
0.922222,28,889.560142
0.536111,167,892.222737
0.741667,93,894.466007
0.944444,20,894.59041
0.85,54,896.661801
0.841667,57,896.981614
0.922222,28,897.152174
0.938889,22,899.056162
0.827778,62,899.406742
0.911111,32,899.593382
0.847222,55,901.700931
0.902778,35,901.89229
0.825,63,902.258755
0.897222,37,904.246423
0.9,36,904.444328
0.883333,42,904.684659
0.908333,33,906.65585
0.916667,30,906.835843
0.947222,19,906.94378
0.927778,26,907.103608
0.880556,43,909.072455
0.861111,50,909.365836
0.925,27,909.518835
0.925,27,909.671707
0.936111,23,911.514362
0.897222,37,911.736379
0.933333,24,911.872815
0.891667,39,912.099699
0.916667,30,913.997993
0.936111,23,914.141556
0.941667,21,914.271599
0.936111,23,914.405516
0.930556,25,914.555382
0.919444,29,916.476111
0.911111,32,916.680047
0.941667,21,916.79831
0.908333,33,916.994934
0.825,63,919.1563
0.925,27,919.304805
0.95,18,919.412318
0.941667,21,919.536583
0.891667,39,919.754287
0.911111,32,921.723827
0.941667,21,921.846725
0.955556,16,921.948232
0.947222,19,922.067122
0.95,18,922.168031
0.947222,19,922.28497
0.955556,16,924.169737
0.958333,15,924.256234
0.922222,28,924.414305
0.952778,17,924.510517
0.941667,21,924.633984
0.955556,16,924.731058
0.958333,15,924.823005
0.952778,17,926.701463
0.936111,23,926.826238
0.933333,24,926.958263
0.95,18,927.058369
0.952778,17,927.157326
0.952778,17,927.252693
0.936111,23,929.031106
0.952778,17,929.131651
0.955556,16,929.230861
0.955556,16,929.322449
0.938889,22,929.449898
0.958333,15,929.545387
0.95,18,929.660627
0.947222,19,931.439755
0.958333,15,931.529361
0.947222,19,931.640263
0.958333,15,931.731197
0.958333,15,931.81691
0.927778,26,931.969142
0.952778,17,932.073612
0.955556,16,932.179512
0.955556,16,933.978817
0.952778,17,934.077474
0.952778,17,934.183374
0.938889,22,934.314032
0.958333,15,934.406286
0.95,18,934.5123
0.955556,16,934.607272
0.955556,16,936.50661
0.952778,17,936.607135
0.958333,15,936.686972
0.938889,22,936.80845
0.933333,24,936.952731
0.955556,16,937.049441
0.947222,19,937.16513
0.933333,24,939.116251
0.958333,15,939.206598
0.925,27,939.36578
0.958333,15,939.463714
0.941667,21,939.592374
0.958333,15,939.677134
0.958333,15,939.773156
0.925,27,941.752804
0.952778,17,941.850781
0.938889,22,941.980769
0.955556,16,942.077573
0.955556,16,942.170359
0.927778,26,942.314903
0.958333,15,944.163821
0.958333,15,944.249286
0.952778,17,944.344234
0.952778,17,944.435196
0.936111,23,944.577544
0.958333,15,944.657068
0.958333,15,944.73607
0.952778,17,944.824182
0.952778,17,946.630847
0.952778,17,946.726241
0.944444,20,946.833911
0.95,18,946.931434
0.95,18,947.039462
0.955556,16,947.140668
0.938889,22,947.259211
0.952778,17,949.045996
0.947222,19,949.163104
0.952778,17,949.259094
0.952778,17,949.354711
0.958333,15,949.439377
0.958333,15,949.535011
0.941667,21,949.664938
0.958333,15,951.419504
0.958333,15,951.504825
0.952778,17,951.605613
0.958333,15,951.69069
0.958333,15,951.773542
0.938889,22,951.901235
0.952778,17,952.018787
0.95,18,952.141981
0.958333,15,953.936279
0.952778,17,954.04046
0.941667,21,954.164358
0.897222,37,954.373919
0.952778,17,954.480535
0.955556,16,954.582271
0.947222,19,956.462699
0.958333,15,956.559322
0.952778,17,956.656625
0.955556,16,956.749331
0.958333,15,956.838715
0.958333,15,956.935676
0.952778,17,957.045546
0.958333,15,957.146343
0.944444,20,959.015019
0.958333,15,959.096724
0.947222,19,959.199172
0.944444,20,959.307574
0.947222,19,959.412873
0.958333,15,959.502481
0.958333,15,959.597211
0.958333,15,961.44506
0.95,18,961.55087
0.947222,19,961.660624
0.955556,16,961.752158
0.958333,15,961.836485
0.952778,17,961.934296
0.947222,19,962.061782
0.958333,15,962.157116
0.952778,17,963.996951
0.958333,15,964.081887
0.958333,15,964.166959
0.955556,16,964.25486
0.958333,15,964.349237
0.958333,15,964.432864
0.958333,15,964.521265
0.905556,34,966.446256
0.958333,15,966.544065
0.952778,17,966.645706
0.958333,15,966.728189
0.936111,23,966.860553
0.958333,15,966.946382
0.955556,16,967.034751
0.958333,15,967.123143
0.958333,15,968.956799
0.952778,17,969.067563
0.958333,15,969.163285
0.958333,15,969.249419
0.958333,15,969.337512
0.958333,15,969.423518
0.955556,16,969.517833
0.958333,15,969.602551
0.958333,15,971.382683
0.958333,15,971.473771
0.955556,16,971.575724
0.955556,16,971.678744
0.955556,16,971.769309
0.958333,15,971.854926
0.958333,15,971.966354
0.958333,15,972.073116
0.952778,17,973.901589
0.958333,15,973.996254
0.958333,15,974.089646
0.958333,15,974.191214
0.944444,20,974.313164
0.958333,15,974.398879
0.952778,17,974.507548
0.952778,17,974.619092
0.947222,19,976.43888
0.958333,15,976.526147
0.958333,15,976.612086
0.958333,15,976.707448
0.958333,15,976.80264
0.958333,15,976.889928
0.958333,15,976.979917
0.958333,15,977.071816
0.958333,15,977.157887
0.95,18,979.009806
0.958333,15,979.105362
0.958333,15,979.190944
0.958333,15,979.270039
0.955556,16,979.357475
0.952778,17,979.456898
0.941667,21,979.581299
0.958333,15,981.444004
0.958333,15,981.532256
0.958333,15,981.620751
0.958333,15,981.701195
0.958333,15,981.779942
0.958333,15,981.861787
0.958333,15,981.949931
0.958333,15,982.038502
0.958333,15,982.129396
0.944444,20,984.05882
0.952778,17,984.154635
0.95,18,984.250954
0.947222,19,984.353472
0.952778,17,984.445024
0.958333,15,984.532049
0.958333,15,984.616162
0.947222,19,986.524972
0.958333,15,986.610576
0.958333,15,986.699193
0.958333,15,986.784243
0.947222,19,986.887367
0.952778,17,986.994058
0.958333,15,987.077342
0.958333,15,987.16257
0.95,18,989.061478
0.941667,21,989.195868
0.955556,16,989.291995
0.952778,17,989.390886
0.958333,15,989.474953
0.958333,15,989.558378
0.958333,15,989.651354
0.955556,16,989.748443
0.947222,19,991.589317
0.955556,16,991.695296
0.95,18,991.806129
0.908333,33,992.001542
0.955556,16,992.091548
0.958333,15,992.183812
0.958333,15,992.274139
