#{"t_start": 1666693529.467873, "env_id": "MiniGrid-SimpleCrossingS9N2-v0"}
r,l,t
0,324,379.038177
0,324,384.445512
0.252778,269,388.119979
0,324,392.002553
0.633333,132,393.857527
0,324,399.300388
0,324,403.476961
0,324,409.076326
0,324,413.074992
0,324,418.265825
0,324,422.202742
0,324,427.693711
0.330556,241,431.517701
0.583333,150,433.559019
0.858333,51,433.790741
0,324,439.275853
0,324,443.213395
0.111111,320,448.49178
0,324,452.43287
0,324,457.852739
0,324,463.308672
0.475,189,465.49668
0,324,470.955068
0,324,474.939117
0.355556,232,478.505285
0,324,482.4224
0,324,487.784625
0.405556,214,491.367223
0.788889,76,491.704492
0.363889,229,495.416853
0.45,198,499.013748
0.677778,116,499.485054
0.372222,226,503.25396
0,324,508.533026
0.394444,218,510.649083
0.722222,100,512.339655
0.627778,134,514.18996
0.686111,113,516.020537
0.594444,146,518.053229
0.638889,130,520.003858
0.825,63,521.620314
0.527778,170,523.72208
0.933333,24,523.841804
0.208333,285,529.14426
0.816667,66,529.437923
0.563889,157,531.448212
0.816667,66,533.099065
0.9,36,533.228677
0.544444,164,535.230509
0.908333,33,536.705221
0.716667,102,537.075563
0.922222,28,538.513492
0.758333,87,538.821844
0.872222,46,540.304636
0.741667,93,540.656275
0.605556,142,543.774202
0.822222,64,544.075201
0.827778,62,545.593551
0.727778,98,546.057437
0.772222,82,547.718264
0.877778,44,547.91854
0.919444,29,549.399068
0.830556,61,549.692377
0.775,81,551.392391
0.85,54,551.634015
0.905556,34,551.796463
0.680556,115,553.667723
0.883333,42,555.248567
0.891667,39,555.416294
0.877778,44,555.621776
0.758333,87,557.350861
0.875,45,557.557994
0.838889,58,559.152111
0.908333,33,559.295817
0.741667,93,561.077308
0.658333,123,562.943932
0.941667,21,563.019365
0.947222,19,563.088229
0.922222,28,563.189562
0.925,27,563.298954
0.933333,24,564.744606
0.958333,15,564.799758
0.872222,46,564.960024
0.872222,46,565.134378
0.95,18,566.537745
0.933333,24,566.630341
0.883333,42,566.780621
0.905556,34,566.900383
0.919444,29,568.30824
0.9,36,568.457111
0.927778,26,568.550485
0.913889,31,568.661244
0.880556,43,570.100616
0.930556,25,570.210288
0.852778,53,570.430325
0.891667,39,570.571398
0.841667,57,572.083983
0.891667,39,572.254218
0.925,27,572.362457
0.919444,29,573.742301
0.938889,22,573.852144
0.941667,21,573.948352
0.955556,16,574.018659
0.883333,42,574.210244
0.944444,20,575.586305
0.897222,37,575.773105
0.738889,94,577.527693
0.927778,26,577.655911
0.819444,65,577.951406
0.863889,49,579.500734
0.9,36,579.654825
0.827778,62,581.308949
0.922222,28,581.436173
0.922222,28,581.557118
0.925,27,581.685681
0.841667,57,583.299033
0.947222,19,583.37281
0.883333,42,583.566504
0.927778,26,583.691313
0.866667,48,585.245871
0.888889,40,585.426854
0.952778,17,585.509504
0.952778,17,585.595253
0.941667,21,585.68287
0.947222,19,587.142156
0.947222,19,587.230035
0.958333,15,587.30042
0.952778,17,587.3736
0.941667,21,587.454367
0.947222,19,587.535502
0.911111,32,589.063428
0.927778,26,589.171951
0.941667,21,589.24477
0.952778,17,589.3036
0.919444,29,589.417138
0.919444,29,589.539112
0.941667,21,590.981015
0.944444,20,591.052958
0.952778,17,591.113373
0.922222,28,591.212167
0.925,27,591.316575
0.958333,15,591.374348
0.941667,21,592.803362
0.938889,22,592.885924
0.958333,15,592.939074
0.947222,19,593.007587
0.955556,16,593.062368
0.916667,30,593.167498
0.913889,31,594.629518
0.958333,15,594.683705
0.927778,26,594.777863
0.958333,15,594.83022
0.933333,24,594.915654
0.947222,19,594.984028
0.930556,25,596.378448
0.958333,15,596.445906
0.941667,21,596.536733
0.947222,19,596.604742
0.958333,15,596.661089
0.936111,23,596.74322
0.913889,31,598.13141
0.952778,17,598.206839
0.958333,15,598.272213
0.955556,16,598.34167
0.883333,42,598.512138
0.880556,43,599.94007
0.952778,17,600.023605
0.952778,17,600.097611
0.944444,20,600.185926
0.938889,22,600.283304
0.944444,20,600.370149
0.952778,17,601.68197
0.938889,22,601.788018
0.952778,17,601.871569
0.958333,15,601.945841
0.952778,17,602.024114
0.952778,17,602.100562
0.936111,23,602.202826
0.952778,17,603.611115
0.958333,15,603.685744
0.936111,23,603.798842
0.958333,15,603.870482
0.944444,20,603.961237
0.958333,15,604.027157
0.908333,33,604.175266
0.944444,20,605.626391
0.947222,19,605.724759
0.897222,37,605.898535
0.952778,17,605.974138
0.958333,15,606.040489
0.95,18,606.120009
0.908333,33,607.612899
0.9,36,607.769874
0.958333,15,607.836585
0.947222,19,607.924299
0.958333,15,607.997021
0.958333,15,608.071375
0.958333,15,609.483902
0.958333,15,609.550671
0.927778,26,609.651524
0.958333,15,609.714257
0.958333,15,609.780652
0.958333,15,609.853942
0.958333,15,609.929356
0.958333,15,611.372684
0.952778,17,611.442339
0.958333,15,611.499798
0.95,18,611.57345
0.958333,15,611.643727
0.958333,15,611.716166
0.958333,15,611.798819
0.952778,17,611.882362
0.958333,15,613.300153
0.913889,31,613.43161
0.863889,49,613.663916
0.958333,15,613.741801
0.958333,15,613.81244
0.952778,17,615.255391
0.952778,17,615.320382
0.947222,19,615.401841
0.958333,15,615.467002
0.958333,15,615.533709
0.958333,15,615.605992
0.958333,15,615.671648
0.958333,15,615.737074
0.952778,17,617.208493
0.958333,15,617.278262
0.952778,17,617.354951
0.952778,17,617.431397
0.952778,17,617.496841
0.958333,15,617.559793
0.958333,15,617.620691
0.958333,15,617.677634
0.941667,21,619.188902
0.958333,15,619.250249
0.952778,17,619.308266
0.952778,17,619.366424
0.952778,17,619.425734
0.958333,15,619.482517
0.952778,17,619.548857
0.958333,15,619.604456
0.958333,15,621.04154
0.952778,17,621.109582
0.941667,21,621.184125
0.952778,17,621.244498
0.955556,16,621.303662
0.958333,15,621.356559
0.958333,15,621.413315
0.958333,15,621.474669
0.958333,15,622.900559
0.958333,15,622.965692
0.952778,17,623.024254
0.958333,15,623.07674
0.958333,15,623.128266
0.952778,17,623.187459
0.958333,15,623.241511
0.941667,21,623.316684
0.927778,26,624.76217
0.952778,17,624.832938
0.958333,15,624.886542
0.952778,17,624.943831
0.958333,15,624.99561
0.952778,17,625.055972
0.958333,15,625.108729
0.958333,15,626.479605
0.958333,15,626.547686
0.952778,17,626.620419
0.958333,15,626.682238
0.952778,17,626.750298
0.952778,17,626.812602
0.958333,15,626.86703
0.958333,15,626.918382
0.958333,15,628.263628
0.958333,15,628.331635
0.952778,17,628.408804
0.958333,15,628.474657
0.952778,17,628.549603
0.938889,22,628.642359
0.958333,15,628.696033
0.958333,15,628.74826
0.958333,15,630.103993
0.952778,17,630.189022
0.958333,15,630.263438
0.958333,15,630.330251
0.958333,15,630.395918
0.958333,15,630.470966
0.908333,33,630.603374
0.958333,15,631.96966
0.952778,17,632.055565
0.958333,15,632.13044
0.941667,21,632.229172
0.958333,15,632.295984
0.958333,15,632.362663
0.958333,15,632.42801
0.891667,39,633.931056
0.952778,17,634.01642
0.958333,15,634.082631
0.958333,15,634.14775
0.952778,17,634.224409
0.952778,17,634.302796
0.958333,15,634.37308
0.952778,17,634.443188
0.955556,16,635.839816
0.958333,15,635.897202
0.958333,15,635.961594
0.958333,15,636.026191
0.958333,15,636.091298
0.958333,15,636.164742
0.958333,15,636.237312
0.947222,19,636.325244
0.941667,21,637.717876
0.952778,17,637.788762
0.958333,15,637.851636
0.958333,15,637.921896
0.952778,17,638.006684
0.952778,17,638.08778
0.958333,15,638.162946
0.952778,17,638.235163
0.958333,15,639.612883
0.958333,15,639.67652
0.958333,15,639.745378
0.941667,21,639.840714
0.958333,15,639.912486
0.944444,20,640.014922
0.958333,15,640.07789
0.958333,15,641.466593
0.958333,15,641.525863
0.952778,17,641.59659
0.958333,15,641.665279
0.958333,15,641.73472
0.958333,15,641.804127
0.958333,15,641.871481
0.952778,17,641.949067
0.958333,15,642.010111
0.958333,15,643.42198
0.958333,15,643.491952
0.958333,15,643.559025
0.958333,15,643.627267
0.958333,15,643.684161
0.958333,15,643.748381
0.958333,15,643.808121
0.947222,19,643.888856
0.958333,15,645.306826
0.958333,15,645.376296
0.958333,15,645.446706
0.947222,19,645.525263
0.958333,15,645.58295
0.958333,15,645.646184
0.958333,15,645.705357
0.958333,15,645.764954
0.958333,15,647.164623
0.958333,15,647.237301
0.958333,15,647.301871
0.958333,15,647.357108
0.958333,15,647.412656
0.958333,15,647.468438
0.958333,15,647.527181
0.958333,15,647.592663
0.958333,15,647.658458
0.958333,15,649.074059
0.958333,15,649.134281
0.958333,15,649.191061
0.958333,15,649.246316
0.955556,16,649.305832
0.919444,29,649.421797
0.958333,15,649.486635
0.947222,19,650.902565
0.958333,15,650.963463
0.958333,15,651.019812
0.958333,15,651.073863
0.958333,15,651.129519
0.958333,15,651.18574
0.958333,15,651.242136
0.958333,15,651.307308
0.958333,15,651.374294
0.958333,15,652.759153
0.958333,15,652.815032
0.958333,15,652.868679
0.952778,17,652.930342
0.958333,15,652.985483
0.958333,15,653.040864
0.958333,15,653.093503
0.958333,15,653.148588
0.958333,15,654.516196
0.958333,15,654.5852
0.958333,15,654.651083
0.955556,16,654.709855
0.958333,15,654.765263
0.958333,15,654.824588
0.944444,20,654.898764
0.958333,15,654.954825
0.958333,15,656.322405
0.958333,15,656.390138
0.958333,15,656.457897
0.958333,15,656.525234
0.958333,15,656.592352
0.952778,17,656.670993
0.958333,15,656.726788
0.958333,15,656.785754
0.958333,15,658.104498
0.958333,15,658.181279
0.958333,15,658.255163
0.952778,17,658.333066
0.958333,15,658.400842
0.958333,15,658.469559
0.958333,15,658.533575
0.958333,15,658.592067
0.958333,15,658.650254
0.958333,15,659.970445
0.947222,19,660.06426
0.952778,17,660.150423
0.958333,15,660.219255
0.958333,15,660.287519
0.958333,15,660.354428
0.958333,15,660.420012
0.958333,15,660.483189
0.958333,15,661.793687
0.952778,17,661.879736
0.958333,15,661.955943
0.958333,15,662.029442
0.958333,15,662.109354
0.958333,15,662.183022
0.955556,16,662.255152
0.958333,15,662.322746
0.958333,15,663.694579
0.958333,15,663.769217
0.958333,15,663.846596
0.958333,15,663.922254
0.958333,15,663.999148
0.958333,15,664.076983
0.958333,15,664.149574
0.958333,15,664.217772
0.941667,21,665.642118
0.958333,15,665.717859
0.958333,15,665.78972
0.941667,21,665.894667
0.958333,15,665.968448
0.958333,15,666.040182
0.958333,15,666.113784
0.952778,17,666.198819
0.958333,15,667.651071
0.958333,15,667.726508
0.958333,15,667.799948
0.958333,15,667.86433
0.958333,15,667.931025
0.958333,15,668.003026
0.958333,15,668.078094
0.958333,15,668.152836
0.958333,15,668.227258
0.941667,21,669.676643
0.936111,23,669.775956
0.952778,17,669.844661
0.958333,15,669.91384
0.958333,15,669.987535
0.958333,15,670.060293
0.936111,23,670.168863
0.958333,15,671.556865
0.958333,15,671.620186
0.952778,17,671.692118
0.958333,15,671.757579
0.952778,17,671.837061
0.952778,17,671.918073
0.958333,15,671.991818
0.958333,15,672.062804
0.947222,19,673.454929
0.958333,15,673.520777
0.952778,17,673.589257
0.952778,17,673.664312
0.952778,17,673.748956
0.952778,17,673.831702
0.958333,15,673.903571
0.952778,17,673.973998
0.958333,15,675.379175
0.958333,15,675.441358
0.952778,17,675.517935
0.958333,15,675.58509
0.952778,17,675.670702
0.958333,15,675.74206
0.952778,17,675.820511
0.941667,21,677.24174
0.958333,15,677.310154
0.958333,15,677.379426
0.958333,15,677.447134
0.952778,17,677.526767
0.952778,17,677.610858
0.941667,21,677.710286
0.958333,15,677.783448
0.952778,17,679.269235
0.958333,15,679.33973
0.944444,20,679.417523
0.952778,17,679.480351
0.952778,17,679.548067
0.958333,15,679.613612
0.958333,15,679.677297
0.95,18,679.755786
0.952778,17,681.172229
0.958333,15,681.229726
0.958333,15,681.285768
0.958333,15,681.342055
0.958333,15,681.396107
0.958333,15,681.458138
0.958333,15,681.523692
0.958333,15,681.585384
0.958333,15,682.987744
0.958333,15,683.04816
0.958333,15,683.108604
0.958333,15,683.166667
0.958333,15,683.222338
0.958333,15,683.280754
0.958333,15,683.340735
0.958333,15,683.404283
0.958333,15,683.470644
0.958333,15,684.862448
0.958333,15,684.921007
0.958333,15,684.976359
0.958333,15,685.031267
0.958333,15,685.086791
0.958333,15,685.142079
0.958333,15,685.197279
0.952778,17,685.264369
0.958333,15,686.65187
0.952778,17,686.729718
0.958333,15,686.788853
