#{"t_start": 1666693650.607934, "env_id": "MiniGrid-SimpleCrossingS9N2-v0"}
r,l,t
0,324,383.090189
0,324,388.515176
0,324,392.635417
0,324,397.969489
0,324,401.864963
0,324,407.028386
0,324,411.130373
0.666667,120,413.018536
0,324,418.502354
0,324,422.62538
0,324,428.00855
0,324,431.899566
0,324,437.043176
0,324,441.131927
0,324,446.69073
0.647222,127,448.68341
0,324,452.807735
0,324,458.130341
0.836111,59,458.362728
0.811111,68,459.947969
0.544444,164,461.925917
0,324,467.134584
0.463889,193,469.275752
0.533333,168,472.593699
0.441667,201,474.851063
0.361111,230,478.52497
0,324,482.659003
0.605556,142,486.00449
0.727778,98,486.418965
0.625,135,488.319686
0.311111,248,491.958672
0.813889,67,493.556871
0,324,497.415187
0.483333,186,500.79735
0.422222,208,503.002153
0.519444,173,506.449831
0.652778,125,508.336671
0.894444,38,508.509212
0.833333,60,510.101583
0.594444,146,512.106969
0.419444,209,514.399883
0.869444,47,515.961706
0.45,198,518.201209
0.661111,122,520.07891
0.725,99,521.836794
0.772222,82,523.514325
0.694444,110,523.926447
0.652778,125,525.695735
0.836111,59,527.261774
0.766667,84,528.836009
0.836111,59,529.094794
0.863889,49,529.283599
0.919444,29,530.68049
0.680556,115,532.422094
0.905556,34,532.576324
0.6,144,534.599983
0.641667,129,536.529166
0.886111,41,536.719543
0.902778,35,538.223576
0.744444,92,538.66061
0.947222,19,538.752076
0.841667,57,540.328425
0.652778,125,542.247115
0.769444,83,542.633995
0.788889,76,544.33124
0.827778,62,545.941247
0.425,207,548.215003
0.788889,76,549.913644
0.869444,47,550.114393
0.802778,71,551.814284
0.594444,146,553.765775
0.916667,30,553.877652
0.725,99,555.614698
0.813889,67,555.859232
0.866667,48,557.396059
0.711111,104,559.059284
0.85,54,559.302816
0.819444,65,559.540477
0.816667,66,561.087543
0.888889,40,561.26512
0.880556,43,562.690458
0.908333,33,562.854752
0.891667,39,563.037545
0.852778,53,564.519982
0.869444,47,564.753021
0.836111,59,565.021251
0.85,54,566.611427
0.755556,88,568.375974
0.752778,89,568.790254
0.95,18,568.871235
0.936111,23,570.330011
0.930556,25,570.457727
0.894444,38,570.615138
0.705556,106,572.418143
0.911111,32,572.555896
0.888889,40,572.742591
0.905556,34,574.250839
0.775,81,574.634
0.833333,60,576.225853
0.794444,74,576.571228
0.902778,35,578.069869
0.838889,58,578.344117
0.944444,20,578.437319
0.866667,48,580.002952
0.897222,37,580.169062
0.936111,23,580.260222
0.777778,80,581.974765
0.95,18,582.040698
0.947222,19,582.109797
0.905556,34,582.24847
0.922222,28,582.355473
0.952778,17,583.784627
0.947222,19,583.855239
0.9,36,583.983039
0.797222,73,585.611176
0.958333,15,585.666087
0.830556,61,585.888411
0.947222,19,585.955731
0.938889,22,587.373964
0.952778,17,587.447555
0.813889,67,587.687893
0.9,36,587.820331
0.947222,19,589.191584
