#{"t_start": 1666693650.650808, "env_id": "MiniGrid-SimpleCrossingS9N3-v0"}
r,l,t
0,324,790.910725
0,324,800.446462
0.394444,218,804.659617
0,324,814.527415
0,324,821.935671
0,324,831.71213
0,324,839.120681
0.530556,169,845.26468
0.872222,46,845.667232
0,324,855.497791
0.102778,323,862.880178
0.483333,186,869.125851
0,324,876.610098
0.438889,202,883.057463
0,324,890.593267
0.205556,286,897.706794
0,324,907.446923
0.541667,165,911.216886
0,324,920.974673
0.297222,253,927.916511
0.436111,203,931.993128
0.813889,67,934.884442
0.669444,119,938.256759
0.316667,246,945.06894
0.697222,109,948.367295
0.375,225,952.610805
0.727778,98,955.796836
0.658333,123,959.174927
0.705556,106,962.443581
0.855556,52,962.897005
0.858333,51,965.642138
0.725,99,966.473763
0.852778,53,969.236719
0.558333,159,972.946862
0.891667,39,973.273643
0.655556,124,976.652602
0.858333,51,979.348886
0.769444,83,980.055845
0.847222,55,982.779558
0.827778,62,983.31748
0.888889,40,985.993526
0.733333,96,986.779165
0.872222,46,989.514709
0.9,36,989.78567
0.716667,102,993.000995
0.658333,123,996.367058
0.927778,26,996.557093
0.788889,76,999.581732
0.683333,114,1002.869503
0.888889,40,1003.211829
0.7,108,1006.429833
0.922222,28,1006.648668
0.769444,83,1009.726259
0.794444,74,1010.308897
0.886111,41,1010.666372
0.908333,33,1013.279262
0.922222,28,1013.532893
0.95,18,1013.663299
0.919444,29,1013.901746
0.933333,24,1014.119861
0.916667,30,1016.691339
0.927778,26,1016.943726
0.813889,67,1017.496381
0.908333,33,1020.132068
0.897222,37,1020.446666
0.908333,33,1020.689912
0.941667,21,1020.876248
0.880556,43,1023.647339
0.938889,22,1023.83424
0.863889,49,1024.222351
0.941667,21,1024.407193
0.786111,77,1027.392588
0.922222,28,1027.629822
0.955556,16,1027.773062
0.922222,28,1030.3767
0.897222,37,1030.700841
0.869444,47,1031.082851
0.927778,26,1031.310951
0.869444,47,1034.092547
0.930556,25,1034.263382
0.866667,48,1034.68164
0.941667,21,1037.210082
0.913889,31,1037.487931
0.952778,17,1037.605461
0.838889,58,1038.092203
0.894444,38,1040.813311
0.894444,38,1041.112912
0.869444,47,1041.514434
0.941667,21,1044.052998
0.891667,39,1044.416859
0.944444,20,1044.551582
0.933333,24,1044.742196
0.897222,37,1045.064784
0.925,27,1047.650147
0.919444,29,1047.900883
0.936111,23,1048.06833
0.933333,24,1048.280704
0.908333,33,1050.898373
0.941667,21,1051.094993
0.952778,17,1051.248729
0.936111,23,1051.409069
0.933333,24,1051.597965
0.922222,28,1051.842952
0.938889,22,1054.364252
0.927778,26,1054.614492
0.941667,21,1054.77388
0.941667,21,1054.91358
0.927778,26,1055.140174
0.925,27,1057.73468
0.936111,23,1057.948902
0.952778,17,1058.10077
0.944444,20,1058.240582
0.947222,19,1058.372662
0.930556,25,1058.591893
0.938889,22,1061.149641
0.952778,17,1061.309978
0.911111,32,1061.583891
0.941667,21,1061.724273
0.944444,20,1061.886736
0.955556,16,1062.026945
0.958333,15,1062.161238
0.952778,17,1064.683679
0.936111,23,1064.896166
0.947222,19,1065.036899
0.952778,17,1065.148271
0.925,27,1065.358717
0.941667,21,1065.539184
0.958333,15,1068.125171
0.958333,15,1068.267823
0.958333,15,1068.39648
0.958333,15,1068.506163
0.952778,17,1068.618293
0.947222,19,1068.761604
0.913889,31,1069.044392
0.95,18,1071.499599
0.952778,17,1071.661143
0.958333,15,1071.794617
0.955556,16,1071.923599
0.947222,19,1072.051356
0.952778,17,1072.180196
0.95,18,1072.337014
0.947222,19,1074.832449
0.958333,15,1074.976807
0.958333,15,1075.114262
0.958333,15,1075.23947
0.916667,30,1075.455312
0.947222,19,1075.593759
0.952778,17,1075.74712
0.958333,15,1075.885287
0.952778,17,1078.416604
0.958333,15,1078.560822
0.952778,17,1078.707002
0.952778,17,1078.82911
0.947222,19,1078.96246
0.958333,15,1079.08025
0.947222,19,1079.25133
0.958333,15,1081.755284
0.958333,15,1081.900462
0.95,18,1082.061877
0.930556,25,1082.24535
0.95,18,1082.369346
0.952778,17,1082.511764
0.95,18,1082.664943
0.958333,15,1085.18485
0.952778,17,1085.345414
0.952778,17,1085.48744
0.925,27,1085.688673
0.958333,15,1085.790426
0.958333,15,1085.909156
0.958333,15,1086.031585
0.958333,15,1086.163044
0.952778,17,1088.684366
0.952778,17,1088.836857
0.95,18,1088.993022
0.952778,17,1089.119847
0.958333,15,1089.224319
0.958333,15,1089.335912
0.958333,15,1089.454876
0.958333,15,1089.592088
0.955556,16,1092.104474
0.952778,17,1092.25222
0.958333,15,1092.37923
0.95,18,1092.526639
0.941667,21,1092.671609
0.955556,16,1092.791454
0.95,18,1092.943868
0.936111,23,1095.526658
0.958333,15,1095.649726
0.919444,29,1095.893368
0.955556,16,1096.003313
0.958333,15,1096.108255
0.958333,15,1096.224618
0.958333,15,1096.352087
0.958333,15,1098.916693
0.952778,17,1099.064625
0.955556,16,1099.20174
0.958333,15,1099.330341
0.958333,15,1099.438959
0.952778,17,1099.556345
0.958333,15,1099.673771
0.947222,19,1099.835021
0.958333,15,1102.385289
0.958333,15,1102.512687
0.958333,15,1102.637145
0.95,18,1102.790915
0.941667,21,1102.936439
0.958333,15,1103.046938
0.95,18,1103.19296
0.952778,17,1103.346178
0.958333,15,1105.873483
0.95,18,1106.027917
0.952778,17,1106.174572
0.952778,17,1106.30445
0.958333,15,1106.41303
