#{"t_start": 1666693524.1323738, "env_id": "MiniGrid-SimpleCrossingS9N3-v0"}
r,l,t
0,324,761.197922
0,324,766.721032
0,324,770.900518
0,324,776.358448
0,324,780.286617
0.427778,206,783.754211
0,324,787.824412
0,324,793.412395
0,324,797.55686
0.3,252,801.361998
0,324,806.738638
0.594444,146,808.652429
0.566667,156,810.582366
0,324,815.943425
0.513889,175,818.06327
0.633333,132,819.976867
0,324,825.442282
0,324,829.589992
0,324,835.059485
0,324,839.010862
0,324,844.312568
0.55,162,846.432773
0.858333,51,846.688257
0.858333,51,848.76836
0.941667,21,848.919268
0.747222,91,851.095489
0.827778,62,851.54277
0.458333,195,856.275365
0.847222,55,856.669652
0.694444,110,859.167281
0.680556,115,861.759856
0.630556,133,864.451351
0.825,63,864.832423
0.683333,114,867.395518
0.922222,28,869.408283
0.841667,57,869.725441
0.844444,56,870.032426
0.847222,55,872.035056
0.652778,125,874.317743
0.933333,24,874.465132
0.852778,53,874.784407
0.836111,59,876.746419
0.780556,79,878.96102
0.875,45,879.230083
0.855556,52,879.530817
0.838889,58,881.676217
0.877778,44,881.92918
0.880556,43,882.192194
0.677778,116,884.682034
0.825,63,886.84815
0.938889,22,886.970555
0.897222,37,887.186857
0.880556,43,889.169335
0.869444,47,889.43635
0.947222,19,889.541091
0.938889,22,889.660619
0.922222,28,891.512732
0.925,27,891.667414
0.925,27,891.829507
0.891667,39,892.065386
0.847222,55,894.071785
0.891667,39,894.314777
0.891667,39,894.54893
0.852778,53,896.559029
0.927778,26,896.718821
0.913889,31,896.906537
0.894444,38,897.144137
0.891667,39,899.109899
0.95,18,899.220084
0.905556,34,899.419335
0.936111,23,899.566142
0.941667,21,901.459124
0.863889,49,901.751542
0.947222,19,901.862527
0.952778,17,901.963979
0.838889,58,904.065228
0.938889,22,904.192699
0.877778,44,904.457355
0.794444,74,906.678785
0.938889,22,906.799441
0.927778,26,906.948994
0.944444,20,907.060358
0.955556,16,907.152719
0.947222,19,909.009041
0.902778,35,909.227581
0.952778,17,909.325452
0.902778,35,909.526633
0.919444,29,909.683574
0.863889,49,911.687515
0.938889,22,911.813306
0.95,18,911.920893
0.872222,46,912.184847
0.927778,26,914.02785
0.944444,20,914.149587
0.930556,25,914.296824
0.958333,15,914.392596
0.925,27,914.556479
0.944444,20,916.343493
0.958333,15,916.439828
0.911111,32,916.650452
0.886111,41,916.900816
0.947222,19,917.016207
0.930556,25,918.897059
0.936111,23,919.04285
0.933333,24,919.197291
