#{"t_start": 1666693640.5691566, "env_id": "MiniGrid-SimpleCrossingS9N1-v0"}
r,l,t
0,324,18.300389
0,324,24.644289
0,324,28.90306
0,324,34.020691
0,324,37.950744
0,324,43.346661
0.594444,146,45.334289
0,324,49.398838
0,324,54.823848
0,324,58.711819
0,324,63.723215
0,324,67.799376
0.227778,278,73.122624
0,324,77.346458
0,324,82.798205
0.722222,100,83.215222
0,324,88.551754
0.741667,93,90.220617
0,324,94.028931
0,324,99.239502
0,324,103.461043
0,324,108.942376
0.494444,182,111.076629
0,324,116.588684
0,324,120.572095
0.355556,232,124.031467
0,324,129.052938
0,324,133.193075
0,324,138.653475
0,324,142.833835
0.641667,129,144.749437
0,324,149.988221
0.338889,238,153.403945
0,324,157.325912
0,324,162.861928
0.533333,168,164.923003
0.711111,104,166.697419
0,324,170.839299
0.188889,292,176.163433
0,324,180.141156
0,324,185.140545
0.8,72,185.46748
0.791667,75,187.03546
0.522222,172,189.179509
0,324,194.6735
0.511111,176,196.782357
0,324,202.182242
0,324,206.281446
0.405556,214,209.793542
0.894444,38,209.926541
0,324,214.987781
0.572222,154,216.862274
0.763889,85,218.463666
0.330556,241,220.964326
0,324,226.40508
0.369444,227,230.080889
0.561111,158,232.103595
0,324,237.55009
0.652778,125,239.407968
0.683333,114,239.821239
0,324,245.041754
0,324,248.918941
0.416667,210,252.384714
0.677778,116,254.264725
0,324,259.771232
0.383333,222,262.109572
0.716667,102,263.888948
0.494444,182,267.407172
0.813889,67,267.657911
0.208333,285,271.439846
0.561111,158,273.298313
0.591667,147,276.39601
0.658333,123,278.129095
0.583333,150,280.020204
0.444444,200,282.210676
0.277778,260,286.035568
0.608333,141,288.085476
0.605556,142,291.433958
0.697222,109,291.908011
0,324,297.373358
0.161111,302,301.28844
0.413889,211,304.696817
0.655556,124,306.437995
0.891667,39,306.580209
0.861111,50,308.007514
0.883333,42,308.197598
0.383333,222,311.601833
0,324,315.747432
0.255556,268,319.77102
0.133333,312,325.208889
0,324,329.381861
0.913889,31,330.868911
0.708333,105,331.276823
0.630556,133,333.126202
0.586111,149,336.324842
0.952778,17,336.390213
0.808333,69,336.654753
0.547222,163,338.558341
0.613889,139,341.631363
0.405556,214,343.913384
0.930556,25,344.030477
0.55,162,347.455219
0.897222,37,347.636443
0.863889,49,347.852619
0.838889,58,349.461185
0.594444,146,351.42395
0.527778,170,353.528244
0.780556,79,355.224187
0.866667,48,355.452417
0.908333,33,356.931142
0.802778,71,357.233352
0.272222,262,361.112679
0.627778,134,363.019202
0.927778,26,363.1321
0.633333,132,365.003685
0.836111,59,366.558816
0.7,108,368.269557
0.919444,29,368.379569
0.888889,40,368.5283
0.783333,78,370.121138
0.572222,154,372.001949
0.852778,53,373.42199
0.941667,21,373.524219
0.930556,25,373.645332
0,324,377.740743
0.608333,141,381.071076
0.669444,119,381.629804
0.783333,78,383.289811
0.769444,83,384.99266
0.408333,213,387.330166
