#{"t_start": 1666693640.6916585, "env_id": "MiniGrid-SimpleCrossingS9N3-v0"}
r,l,t
0,324,801.765138
0,324,811.281298
0.736111,95,812.156298
0,324,822.029046
0,324,829.529314
0,324,839.298746
0,324,846.656805
0,324,856.355583
0,324,863.793433
0,324,873.696336
0,324,883.477695
0,324,890.875771
0,324,900.710579
0,324,908.140405
0.716667,102,911.394148
0,324,918.876016
0,324,928.694238
0.141667,309,936.038229
0.133333,312,945.911432
0.613889,139,949.404431
0,324,956.786725
0.741667,93,959.938284
0,324,969.773501
0.663889,121,973.163095
0.911111,32,973.42551
0.747222,91,976.550335
0.425,207,980.651865
0.691667,111,983.91629
0.797222,73,986.921906
0.844444,56,987.375071
0.894444,38,987.660249
0.722222,100,990.872646
0.672222,118,994.220519
0.891667,39,994.519237
0.544444,164,1000.658431
0.633333,132,1004.130031
0.794444,74,1004.750153
0.816667,66,1007.639307
0.769444,83,1008.301872
0.841667,57,1011.144404
0.925,27,1011.368837
0.802778,71,1014.353438
0.727778,98,1015.146681
0.716667,102,1018.348829
0.908333,33,1021.041955
0.805556,70,1021.604191
0.691667,111,1024.931648
0.808333,69,1025.472204
0.916667,30,1028.147366
0.85,54,1028.603874
0.794444,74,1031.586107
0.722222,100,1032.407348
0.894444,38,1035.076572
0.869444,47,1035.479871
0.822222,64,1038.358331
0.836111,59,1038.859259
0.866667,48,1039.262316
0.891667,39,1041.932599
0.925,27,1042.15832
0.905556,34,1042.444819
0.855556,52,1045.237665
0.927778,26,1045.4469
0.930556,25,1045.657176
0.819444,65,1048.571893
0.863889,49,1048.966666
0.908333,33,1049.24897
0.938889,22,1049.448285
0.930556,25,1052.011182
0.941667,21,1052.164651
0.941667,21,1052.339353
0.919444,29,1052.586911
0.930556,25,1052.802228
0.838889,58,1055.633823
0.925,27,1055.86125
0.913889,31,1056.131215
0.863889,49,1058.931512
0.911111,32,1059.19645
0.927778,26,1059.408931
0.891667,39,1059.73584
0.916667,30,1062.358589
0.911111,32,1062.607884
0.866667,48,1063.012618
0.95,18,1063.170614
0.947222,19,1065.694965
0.908333,33,1065.943588
0.947222,19,1066.100914
0.908333,33,1066.382193
0.941667,21,1066.566563
0.938889,22,1069.123039
0.944444,20,1069.274535
0.880556,43,1069.629267
0.952778,17,1069.774288
0.883333,42,1070.122776
0.947222,19,1072.639438
0.95,18,1072.770602
0.925,27,1072.991538
0.941667,21,1073.163758
0.894444,38,1073.480561
0.958333,15,1076.056675
0.95,18,1076.186793
0.952778,17,1076.323489
0.947222,19,1076.480626
0.958333,15,1076.606885
0.952778,17,1076.745515
0.891667,39,1079.46051
0.952778,17,1079.577811
0.958333,15,1079.697916
0.952778,17,1079.839967
0.952778,17,1079.982472
0.95,18,1080.136866
0.952778,17,1080.279145
0.941667,21,1080.440316
0.908333,33,1083.110013
0.955556,16,1083.24546
0.958333,15,1083.368792
0.95,18,1083.520363
0.95,18,1083.66872
0.955556,16,1083.787634
0.958333,15,1086.292276
0.958333,15,1086.394418
0.947222,19,1086.541353
0.958333,15,1086.661028
0.955556,16,1086.793463
0.952778,17,1086.939099
0.95,18,1087.08986
0.958333,15,1087.208475
0.944444,20,1089.738218
0.958333,15,1089.852219
0.958333,15,1089.974329
0.952778,17,1090.115535
0.952778,17,1090.258487
0.958333,15,1090.387459
0.955556,16,1090.520901
0.947222,19,1090.668358
0.952778,17,1093.194915
0.944444,20,1093.339339
0.941667,21,1093.516213
0.958333,15,1093.640539
0.936111,23,1093.828199
0.952778,17,1093.969793
0.958333,15,1094.088577
0.952778,17,1096.635853
0.958333,15,1096.744072
0.952778,17,1096.889136
0.958333,15,1097.012681
0.947222,19,1097.168938
0.947222,19,1097.335904
0.933333,24,1097.519021
0.952778,17,1100.079754
0.958333,15,1100.197728
0.955556,16,1100.327627
0.958333,15,1100.449742
0.958333,15,1100.575129
0.95,18,1100.723336
0.958333,15,1100.852028
0.938889,22,1101.002596
0.958333,15,1103.558473
0.958333,15,1103.677121
0.958333,15,1103.799824
0.958333,15,1103.927315
0.958333,15,1104.054602
0.958333,15,1104.179177
0.958333,15,1104.305114
0.958333,15,1104.399407
0.952778,17,1106.951443
0.927778,26,1107.163832
0.958333,15,1107.286906
0.958333,15,1107.410279
0.955556,16,1107.541503
0.947222,19,1107.69762
0.958333,15,1107.815957
0.952778,17,1110.360455
0.958333,15,1110.477985
0.952778,17,1110.621033
0.958333,15,1110.752911
0.944444,20,1110.920971
0.936111,23,1111.121092
0.952778,17,1111.262882
0.95,18,1111.381975
0.916667,30,1114.038369
0.952778,17,1114.180736
0.952778,17,1114.323669
0.958333,15,1114.454244
0.958333,15,1114.581712
0.955556,16,1114.711118
0.955556,16,1114.823247
0.958333,15,1117.346086
0.95,18,1117.485279
0.947222,19,1117.640019
0.941667,21,1117.818423
0.952778,17,1117.966635
0.958333,15,1118.091284
0.958333,15,1118.19894
0.952778,17,1120.740529
0.958333,15,1120.857817
0.952778,17,1120.997742
0.958333,15,1121.123011
0.955556,16,1121.257689
0.958333,15,1121.385399
0.958333,15,1121.507781
0.958333,15,1121.614669
0.952778,17,1124.161386
0.958333,15,1124.281617
0.958333,15,1124.405743
0.952778,17,1124.547748
0.958333,15,1124.673208
0.95,18,1124.832834
0.958333,15,1124.957957
0.952778,17,1125.071903
0.958333,15,1127.599731
0.958333,15,1127.724401
0.958333,15,1127.848476
0.955556,16,1127.978729
0.958333,15,1128.108937
0.955556,16,1128.253282
0.95,18,1128.401688
0.958333,15,1128.505492
0.955556,16,1131.03758
0.958333,15,1131.158819
0.958333,15,1131.28121
0.958333,15,1131.410866
0.958333,15,1131.545938
0.958333,15,1131.682379
0.958333,15,1131.808906
0.952778,17,1131.91754
0.958333,15,1132.018048
0.958333,15,1134.575973
0.958333,15,1134.696711
0.95,18,1134.843263
0.955556,16,1134.980954
0.958333,15,1135.118694
0.958333,15,1135.243663
0.952778,17,1135.357726
0.958333,15,1135.463272
0.952778,17,1138.022214
0.947222,19,1138.176419
0.958333,15,1138.296102
0.955556,16,1138.446028
0.958333,15,1138.584969
0.955556,16,1138.719002
0.947222,19,1138.851917
0.941667,21,1141.455498
0.958333,15,1141.585789
0.952778,17,1141.733886
0.958333,15,1141.868205
0.952778,17,1142.024432
0.958333,15,1142.144889
