Wall time,Step,Value
1678273935.8652256,0,0.0057142856530845165
1678273954.6362944,3,0.01104972418397665
1678273961.2714746,4,0.017751479521393776
1678273999.4890592,10,0.2454545497894287
1678274005.625979,11,0.39603960514068604
1678274024.9771235,14,0.6785714030265808
1678274031.2153106,15,0.7560975551605225
1678274049.6796415,18,0.8846153616905212
1678274055.909645,19,0.8552631735801697
1678274062.0788362,20,0.8101266026496887
1678274074.3658154,22,0.8701298832893372
1678274080.5596702,23,0.9189189076423645
1678274099.1821325,26,0.9729729890823364
1678274105.3206344,27,0.9200000166893005
1678274142.30533,33,0.9729729890823364
1678274160.7845259,36,0.9726027250289917
1678274166.9385614,37,1.0
1678274173.0547738,38,1.0
1678274179.2237985,39,0.9863013625144958
1678274185.4090343,40,1.0
1678274228.503424,47,0.9729729890823364
1678274234.639178,48,0.9863013625144958
1678274240.7377763,49,1.0
1678274252.9962592,51,1.0
1678274259.1739318,52,1.0
1678274271.422258,54,1.0
1678274290.2709215,57,1.0
1678274309.7324004,60,1.0
1678274315.8536525,61,1.0
1678274322.4201229,62,1.0
1678274328.8921862,63,1.0
1678274342.4110236,65,1.0
1678274349.3222475,66,0.9864864945411682
1678274356.0497277,67,1.0
1678274362.3735764,68,1.0
1678274375.6479604,70,1.0
1678274382.7014725,71,1.0
1678274423.4039893,77,0.9864864945411682
1678274437.322178,79,1.0
1678274445.3455448,80,1.0
1678274459.8219445,82,1.0
1678274467.4871452,83,1.0
1678274483.416749,85,1.0
1678274490.2382207,86,1.0
1678274510.538691,89,1.0
1678274517.3111775,90,0.9863013625144958
1678274553.1412714,95,1.0
1678274583.1179135,99,0.9729729890823364
1678274590.925763,100,1.0
1678274612.9640996,103,1.0
1678274635.972464,106,1.0
1678274643.740426,107,1.0
1678274658.743511,109,0.9863013625144958
1678274696.1353765,114,1.0
1678274710.6177993,116,1.0
1678274747.3043141,121,1.0
1678274776.827801,125,0.9863013625144958
1678274783.9792755,126,1.0
1678274798.2268643,128,1.0
1678274812.3271205,130,1.0
1678274819.2781603,131,1.0
1678274826.1934361,132,1.0
1678274854.9502642,136,1.0
1678274862.7433934,137,1.0
1678274906.077457,143,1.0
1678274913.0591898,144,1.0
1678274927.2187319,146,0.9864864945411682
1678274935.1103292,147,1.0
1678274956.2411585,150,1.0
1678275005.2471526,157,1.0
1678275019.4054563,159,0.9863013625144958
1678275026.7199318,160,1.0
1678275040.214808,162,1.0
1678275053.807093,164,1.0
1678275067.3744507,166,0.0
1678275094.816109,170,0.011363636702299118
1678275101.7200224,171,0.01744186133146286
1678275108.5367823,172,0.04575163498520851
1678275129.0864053,175,0.05673758685588837
1678275136.3847315,176,0.1304347813129425
1678275143.6460986,177,0.15573769807815552
1678275151.3607411,178,0.2844036817550659
1678275166.2470016,180,0.40625
1678275173.4510329,181,0.5517241358757019
1678275194.7500794,184,0.8181818127632141
1678275201.799943,185,0.8227847814559937
1678275208.9703264,186,0.9333333373069763
1678275229.8400326,189,0.9220778942108154
1678275236.888418,190,0.9078947305679321
1678275243.6869917,191,0.9729729890823364
1678275250.9502392,192,0.9726027250289917
1678275272.2075856,195,0.9594594836235046
1678275301.6759968,199,0.9594594836235046
1678275309.0187428,200,0.9729729890823364
1678275324.0205982,202,0.9863013625144958
1678275332.119812,203,1.0
1678275340.2667108,204,0.9729729890823364
1678275347.9272563,205,1.0
1678275362.5749683,207,0.9863013625144958
1678275376.6283576,209,0.9864864945411682
1678275391.6510549,211,0.9863013625144958
1678275406.032656,213,1.0
1678275419.5171108,215,1.0
1678275426.5516348,216,0.9729729890823364
1678275441.0928273,218,0.9864864945411682
1678275448.1924856,219,0.9729729890823364
1678275454.9374013,220,1.0
1678275461.768457,221,0.9863013625144958
1678275468.0488353,222,0.9864864945411682
1678275480.490511,224,1.0
1678275486.7118268,225,1.0
1678275511.5016618,229,1.0
1678275548.7163537,235,1.0
1678275561.2743204,237,1.0
1678275567.554517,238,1.0
1678275573.8110049,239,0.9863013625144958
1678275586.3359444,241,1.0
1678275592.6836247,242,0.9863013625144958
1678275605.246148,244,1.0
1678275611.5294242,245,1.0
1678275617.813413,246,1.0
1678275624.054331,247,1.0
1678275655.3733985,252,0.9864864945411682
1678275661.5967803,253,1.0
1678275667.8003669,254,1.0
1678275686.542745,257,1.0
1678275692.776527,258,1.0
1678275698.9585664,259,0.9863013625144958
1678275705.171964,260,1.0
1678275717.719447,262,0.9863013625144958
1678275767.756627,270,1.0
1678275773.9168289,271,1.0
1678275792.671082,274,1.0
1678275798.8884215,275,1.0
1678275805.163768,276,1.0
1678275817.4901726,278,1.0
1678275829.8927357,280,1.0
1678275842.8107755,282,0.807692289352417
1678275848.9852834,283,0.8552631735801697
1678275861.3808665,285,0.9594594836235046
1678275874.0693142,287,1.0
1678275880.3555956,288,0.9864864945411682
1678275892.7011576,290,1.0
1678275923.8956795,295,0.9452054500579834
1678275930.0951085,296,1.0
1678275936.297717,297,1.0
1678275942.5143993,298,1.0
1678275948.7398396,299,1.0
1678275979.9954655,304,0.9863013625144958
1678275992.3634171,306,0.9863013625144958
1678275998.6223445,307,1.0
1678276004.9663928,308,0.9863013625144958
1678276011.2025,309,0.9864864945411682
1678276029.957287,312,1.0
1678276036.2244785,313,1.0
1678276054.9248261,316,0.9863013625144958
1678276067.4108582,318,1.0
1678276073.6250956,319,1.0
1678276092.2313607,322,0.9864864945411682
1678276104.6490119,324,1.0
1678276135.7126336,329,1.0
1678276142.1515772,330,0.0051282052882015705
1678276148.716877,331,0.0
1678276154.985592,332,0.0
1678276188.6434658,337,0.03846153989434242
1678276195.1712606,338,0.06896551698446274
1678276207.9749973,340,0.2946428656578064
1678276227.3232508,343,0.54347825050354
1678276233.800168,344,0.737500011920929
1678276240.8042784,345,0.790123462677002
1678276247.0836396,346,0.8717948794364929
1678276259.7537463,348,0.9342105388641357
1678276272.3989806,350,0.9733333587646484
1678276285.0335522,352,1.0
1678276291.421063,353,0.9864864945411682
1678276297.8101695,354,0.9729729890823364
1678276304.083874,355,0.9863013625144958
1678276323.2004998,358,0.9864864945411682
1678276335.913921,360,1.0
1678276348.64613,362,0.9864864945411682
1678276355.018485,363,1.0
1678276361.4197176,364,1.0
1678276367.795996,365,1.0
1678276374.1846142,366,1.0
1678276380.60122,367,1.0
1678276386.9503493,368,1.0
1678276425.3561773,374,0.9864864945411682
1678276444.5958488,377,0.9864864945411682
1678276450.9395168,378,0.9863013625144958
1678276494.320983,385,1.0
1678276499.8069513,386,1.0
1678276522.7922666,390,1.0
1678276529.6631172,391,1.0
1678276535.9828906,392,1.0
1678276542.3697882,393,1.0
1678276548.8194366,394,1.0
1678276555.4742591,395,1.0
1678276561.8812962,396,1.0
1678276568.1851814,397,1.0
1678276574.494476,398,1.0
1678276580.8285334,399,1.0
1678276593.4416718,401,1.0
1678276599.791944,402,1.0
1678276612.4374213,404,1.0
1678276637.898484,408,1.0
1678276644.3682742,409,0.9863013625144958
1678276663.3684385,412,0.9863013625144958
1678276669.677564,413,1.0
1678276675.9817038,414,1.0
1678276682.2958891,415,1.0
1678276701.3349845,418,1.0
1678276720.3677926,421,1.0
1678276726.7194438,422,1.0
1678276745.8087854,425,1.0
1678276752.1120472,426,1.0
1678276777.727595,430,1.0
1678276784.2280195,431,1.0
1678276803.3359919,434,1.0
1678276809.717014,435,1.0
1678276816.115394,436,1.0
1678276822.4498558,437,1.0
1678276828.8778396,438,1.0
1678276835.254076,439,1.0
1678276841.5809615,440,1.0
1678276847.966774,441,1.0
1678276861.5002263,443,1.0
1678276867.8981352,444,1.0
1678276874.4209874,445,1.0
1678276880.739091,446,1.0
1678276906.0868456,450,1.0
1678276912.385307,451,1.0
1678276918.6775823,452,1.0
1678276925.1185377,453,1.0
1678276931.4820118,454,1.0
1678276944.1840787,456,1.0
1678276956.8954303,458,1.0
1678276969.581673,460,0.9864864945411682
1678276975.9543347,461,1.0
1678276994.9307976,464,1.0
1678277001.2067306,465,1.0
1678277007.5894196,466,1.0
1678277021.8493006,468,1.0
1678277034.7929976,470,1.0
1678277059.2797263,474,1.0
1678277065.1610522,475,1.0
1678277083.1855838,478,1.0
1678277088.7559009,479,1.0
1678277094.391371,480,1.0
1678277099.9083512,481,1.0
1678277105.41939,482,1.0
1678277110.837529,483,1.0
1678277116.4238777,484,0.9864864945411682
1678277128.211289,486,1.0
1678277134.368316,487,0.9864864945411682
1678277140.0635335,488,1.0
1678277145.634838,489,1.0
1678277156.819743,491,1.0
1678277174.4612193,494,1.0
1678277197.1367373,498,1.0
1678277213.9500859,501,1.0
1678277219.7820094,502,1.0
1678277225.616196,503,1.0
1678277243.0191407,506,1.0
1678277254.47372,508,0.9864864945411682
1678277260.2333071,509,0.9863013625144958
1678277265.9647691,510,1.0
1678277271.713345,511,1.0
1678277277.5022724,512,1.0
1678277283.1390612,513,1.0
1678277288.8407195,514,1.0
1678277306.1266847,517,1.0
1678277311.8536074,518,1.0
1678277317.596938,519,1.0
1678277323.3351498,520,1.0
1678277340.6704311,523,1.0
1678277381.4265566,530,1.0
1678277400.5394802,533,0.9733333587646484
1678277406.8260212,534,1.0
1678277419.3207495,536,1.0
1678277425.6693609,537,1.0
1678277431.9498339,538,1.0
1678277438.2176504,539,1.0
1678277444.5126016,540,1.0
1678277457.0363479,542,0.9864864945411682
1678277463.2645123,543,1.0
1678277469.6037023,544,1.0
1678277482.1150777,546,1.0
1678277488.4518933,547,1.0
1678277507.5764832,550,1.0
1678277521.3074377,552,1.0
1678277534.8677962,554,1.0
1678277541.6298957,555,1.0
1678277548.296513,556,1.0
1678277589.0618243,562,1.0
1678277596.0466235,563,0.9863013625144958
1678277602.8978956,564,1.0
1678277630.0668628,568,1.0
1678277650.699839,571,0.9864864945411682
1678277665.5305114,573,1.0
1678277687.789546,576,1.0
1678277716.1824758,580,1.0
1678277743.3567605,584,1.0
1678277750.1250956,585,0.9864864945411682
1678277756.7957208,586,1.0
1678277770.0681398,588,1.0
1678277783.76166,590,1.0
1678277790.7026389,591,1.0
1678277797.4227293,592,1.0
1678277811.0670202,594,1.0
1678277824.627033,596,1.0
1678277831.4091926,597,1.0
1678277838.191333,598,1.0
1678277844.9344714,599,1.0
1678277858.3674026,601,1.0
1678277865.0137494,602,1.0
1678277871.7050865,603,1.0
1678277885.0009592,605,1.0
1678277905.0131676,608,1.0
1678277918.3471396,610,1.0
1678277938.253315,613,1.0
1678277944.9065042,614,1.0
1678277958.2166984,616,1.0
1678277971.5240169,618,1.0
1678277984.8975039,620,1.0
1678277998.360715,622,1.0
1678278005.094737,623,1.0
1678278025.3575506,626,1.0
1678278038.9232235,628,1.0
1678278045.7242198,629,1.0
1678278072.0622869,633,1.0
1678278085.33667,635,1.0
1678278098.6362545,637,1.0
1678278118.5891013,640,1.0
1678278125.2521625,641,1.0
1678278131.905733,642,1.0
1678278138.600681,643,1.0
1678278145.2851307,644,0.9864864945411682
1678278151.946237,645,0.9863013625144958
1678278178.6108172,649,0.9864864945411682
1678278192.0038645,651,1.0
1678278198.709132,652,1.0
1678278205.4153728,653,1.0
1678278212.042218,654,1.0
1678278218.7484672,655,1.0
1678278238.9610837,658,1.0
1678278245.7515903,659,1.0
1678278252.6320267,660,1.0
1678278300.158237,667,0.9863013625144958
1678278320.3383734,670,1.0
1678278353.824742,675,1.0
1678278360.5066729,676,1.0
1678278367.222117,677,1.0
1678278387.3002732,680,0.9864864945411682
1678278400.7237089,682,0.9864864945411682
1678278407.3378296,683,1.0
1678278413.9977674,684,1.0
1678278434.0600955,687,1.0
1678278467.3901274,692,1.0
1678278480.6279984,694,1.0
1678278487.249492,695,1.0
1678278493.9072742,696,1.0
1678278500.5615854,697,1.0
1678278514.0506878,699,1.0
1678278534.0686553,702,1.0
1678278540.7973785,703,1.0
1678278554.2916217,705,1.0
1678278581.2850778,709,1.0
1678278588.0572486,710,1.0
1678278600.1005783,712,0.9863013625144958
1678278618.492661,715,1.0
1678278630.3344831,717,0.9863013625144958
1678278641.1495485,719,1.0
1678278646.7846491,720,1.0
1678278652.3893075,721,1.0
1678278665.4270444,723,1.0
1678278678.3597076,725,1.0
1678278684.8497295,726,1.0
1678278691.263512,727,0.9726027250289917
1678278697.6928353,728,1.0
1678278704.0670319,729,1.0
1678278716.8807771,731,1.0
1678278722.8328912,732,1.0
1678278728.269582,733,1.0
1678278757.814308,738,1.0
1678278764.4969127,739,1.0
1678278771.1103284,740,1.0
1678278784.56777,742,0.9863013625144958
1678278791.2847185,743,1.0
1678278798.0346034,744,1.0
1678278804.7576854,745,1.0
1678278851.484444,752,1.0
1678278871.3815594,755,0.9864864945411682
1678278878.0302503,756,1.0
1678278891.5146847,758,1.0
1678278925.5227706,763,1.0
1678278932.2033749,764,1.0
1678278938.9997957,765,1.0
1678278959.4336345,768,1.0
1678278966.217617,769,1.0
1678278979.7758434,771,1.0
1678278986.5268867,772,1.0
1678278993.2291894,773,1.0
1678279006.7189002,775,1.0
1678279013.5030093,776,1.0
1678279026.9263608,778,1.0
1678279033.681273,779,0.9864864945411682
1678279040.3693902,780,1.0
1678279047.1543615,781,1.0
1678279053.8850446,782,1.0
1678279060.611569,783,0.9054054021835327
1678279094.1580982,788,1.0
1678279100.9231753,789,1.0
1678279114.258086,791,1.0
1678279127.6085165,793,1.0
1678279140.9863641,795,1.0
1678279147.7180986,796,1.0
1678279167.6638098,799,1.0
1678279174.3204165,800,1.0
1678279201.3488894,804,1.0
1678279208.0592752,805,0.9864864945411682
1678279214.7952828,806,1.0
1678279221.5551667,807,1.0
1678279241.7886252,810,1.0
1678279261.8765082,813,1.0
1678279295.3580418,818,1.0
1678279302.1272366,819,1.0
1678279315.5190947,821,1.0
1678279322.3370662,822,1.0
1678279329.0835454,823,0.9864864945411682
1678279342.6246438,825,0.9863013625144958
1678279349.5609455,826,1.0
1678279356.4518278,827,0.6746987700462341
1678279363.3208487,828,0.9466666579246521
1678279390.5778089,832,1.0
1678279397.2746685,833,1.0
1678279410.8980248,835,1.0
1678279417.7244892,836,1.0
1678279424.5147295,837,1.0
1678279438.0910242,839,1.0
1678279444.8909416,840,1.0
1678279465.1750145,843,1.0
1678279478.92606,845,1.0
1678279513.0226288,850,0.9863013625144958
1678279519.8392737,851,1.0
1678279540.0911772,854,1.0
1678279560.393285,857,1.0
1678279580.7987146,860,1.0
1678279587.58175,861,1.0
1678279594.348074,862,1.0
1678279614.6057096,865,1.0
1678279621.373642,866,1.0
1678279648.5339663,870,1.0
1678279655.2906656,871,0.9863013625144958
1678279722.9218192,881,1.0
1678279736.3627372,883,1.0
1678279743.1293888,884,1.0
1678279749.896538,885,1.0
1678279756.6278322,886,1.0
1678279770.1411128,888,1.0
1678279783.6084473,890,1.0
1678279796.9899614,892,1.0
1678279817.213859,895,1.0
1678279830.731733,897,0.9864864945411682
1678279837.479269,898,1.0
1678279857.6769705,901,1.0
1678279864.3134649,902,1.0
1678279877.7355552,904,1.0
1678279891.093586,906,1.0
1678279897.725988,907,1.0
1678279904.3758535,908,1.0
1678279917.7885172,910,0.9863013625144958
1678279924.5790627,911,1.0
1678279944.752705,914,1.0
1678279971.4103117,918,1.0
1678279978.0812283,919,1.0
1678279991.481814,921,1.0
1678280005.0452528,923,1.0
1678280032.0191333,927,1.0
1678280038.7346253,928,1.0
1678280045.4377935,929,0.9864864945411682
1678280052.1865613,930,0.9864864945411682
1678280058.9633503,931,1.0
1678280065.6400547,932,1.0
1678280072.364883,933,1.0
1678280085.8091884,935,1.0
1678280112.966432,939,1.0
1678280126.5427155,941,1.0
1678280133.2705667,942,1.0
1678280153.483261,945,1.0
1678280181.288962,949,1.0
1678280202.0041761,952,0.9863013625144958
1678280215.787512,954,1.0
1678280222.5431976,955,1.0
1678280229.2497427,956,1.0
1678280256.2904987,960,1.0
1678280269.7760196,962,1.0
1678280276.5287304,963,1.0
1678280283.3460464,964,1.0
1678280290.1255076,965,1.0
1678280303.7129345,967,1.0
1678280310.494926,968,1.0
1678280330.8926933,971,1.0
1678280365.0928082,976,1.0
1678280378.6173663,978,1.0
1678280385.4495406,979,1.0
1678280399.0945804,981,1.0
1678280406.020933,982,1.0
1678280432.990131,986,1.0
1678280446.6010919,988,1.0
1678280453.4664419,989,0.9863013625144958
1678280460.1796656,990,1.0136985778808594
1678280473.7211926,992,1.0
1678280487.8731997,994,1.0
1678280495.4957852,995,1.0
1678280502.3461843,996,1.0
1678280515.776201,998,1.0
1678280522.5841,999,1.0
1678280535.9199812,1001,1.0
1678280542.6740289,1002,1.0
