#{"env_id": "BreakoutNoFrameskip-v4", "t_start": 1537700108.722465}
r,l,t
1.0,175,3.415018
0.0,127,3.7516
1.0,157,4.189231
0.0,129,4.551829
3.0,213,5.230012
1.0,173,5.73658
6.0,374,6.867504
2.0,220,7.497922
0.0,129,7.841595
0.0,127,8.156651
0.0,127,8.493816
0.0,129,8.847127
0.0,127,9.202255
3.0,248,9.941847
0.0,127,10.297097
2.0,200,10.894067
2.0,201,11.484155
3.0,252,12.214181
0.0,125,12.545541
2.0,203,13.080473
0.0,129,13.423997
1.0,178,13.929935
0.0,127,14.287998
3.0,250,15.035992
0.0,125,15.392074
0.0,127,15.745795
0.0,129,16.119723
3.0,270,16.90985
