#{"env_id": "BreakoutNoFrameskip-v4", "t_start": 1537700197.585842}
r,l,t
6.0,379,3.466383
0.0,125,3.808077
0.0,129,4.159553
0.0,129,4.546435
2.0,198,5.121561
1.0,173,5.615165
7.0,320,6.558154
2.0,202,7.136328
1.0,157,7.573399
0.0,127,7.920417
0.0,127,8.269668
0.0,125,8.609777
0.0,127,8.959687
0.0,127,9.302663
1.0,173,9.794501
0.0,127,10.14281
0.0,125,10.481971
7.0,422,11.787782
0.0,125,12.139049
0.0,127,12.499065
4.0,281,13.348523
0.0,125,13.702767
0.0,129,14.060606
3.0,250,14.787527
1.0,176,15.284953
1.0,155,15.720263
0.0,127,16.067856
6.0,380,17.198532
3.0,253,17.937082
1.0,173,18.424791
0.0,127,18.769754
2.0,200,19.342742
8.0,354,20.394703
4.0,280,21.212356
1.0,169,21.688825
0.0,125,22.032998
4.0,299,22.908978
0.0,125,23.250661
1.0,173,23.74085
2.0,201,24.320024
5.0,328,25.296053
3.0,250,26.024579
8.0,375,27.141371
0.0,127,27.488258
4.0,302,28.416834
1.0,175,28.911562
3.0,270,29.705184
0.0,127,30.052296
3.0,230,30.718834
0.0,129,31.074515
1.0,173,31.565313
1.0,173,32.056124
1.0,172,32.542369
0.0,125,32.884325
0.0,125,33.226668
2.0,202,33.803897
2.0,202,34.383694
1.0,171,34.867136
1.0,173,35.356027
3.0,248,36.075757
0.0,127,36.426078
0.0,129,36.780246
1.0,177,37.280576
2.0,224,37.927501
0.0,125,38.270422
1.0,174,38.766032
0.0,129,39.117382
2.0,219,39.750407
0.0,127,40.097489
1.0,153,40.523051
1.0,177,41.021993
0.0,125,41.365436
0.0,125,41.708556
3.0,250,42.440635
0.0,127,42.788963
3.0,248,43.512718
0.0,127,43.861087
0.0,125,44.198682
2.0,198,44.763224
2.0,202,45.341206
2.0,200,45.91614
2.0,203,46.500338
2.0,201,47.076262
0.0,129,47.429618
3.0,272,48.222472
3.0,247,48.938144
0.0,125,49.279499
0.0,127,49.624696
0.0,125,49.965418
0.0,129,50.316822
9.0,421,51.573912
2.0,198,52.1356
0.0,129,52.488566
0.0,127,52.83653
1.0,178,53.349584
1.0,171,53.83468
1.0,173,54.322033
0.0,127,54.667604
0.0,127,55.014907
7.0,412,56.248141
2.0,220,56.886015
0.0,127,57.233295
0.0,127,57.581115
5.0,352,58.629673
1.0,157,59.073358
0.0,129,59.431143
10.0,422,60.694606
0.0,127,61.044996
2.0,202,61.622584
0.0,129,61.978968
1.0,175,62.477085
2.0,182,62.994336
1.0,157,63.435135
2.0,202,64.01391
0.0,127,64.361696
0.0,125,64.70341
0.0,125,65.044701
0.0,125,65.388025
1.0,175,65.883873
1.0,157,66.326724
0.0,125,66.669612
2.0,222,67.313155
0.0,127,67.660236
7.0,323,68.61868
2.0,200,69.192117
0.0,127,69.535981
3.0,274,70.342519
0.0,127,70.69905
0.0,123,71.045158
0.0,129,71.408045
5.0,326,72.408671
1.0,169,72.904317
1.0,158,73.367231
2.0,202,73.966871
0.0,129,74.329306
0.0,125,74.671634
0.0,127,75.01828
3.0,252,75.753664
3.0,270,76.543671
2.0,200,77.115074
1.0,153,77.54194
0.0,129,77.898356
0.0,129,78.25124
1.0,172,78.737765
0.0,129,79.094335
0.0,127,79.440527
3.0,250,80.170241
0.0,129,80.527788
1.0,172,81.072842
0.0,127,81.421506
0.0,127,81.765399
3.0,270,82.555807
3.0,250,83.285038
2.0,224,83.932474
0.0,125,84.270382
1.0,173,84.758347
0.0,127,85.107306
1.0,176,85.609711
0.0,129,85.960014
0.0,129,86.315256
0.0,125,86.654743
0.0,125,86.995468
0.0,129,87.347218
4.0,297,88.223442
1.0,173,88.735648
9.0,402,89.933916
3.0,270,90.722673
5.0,349,91.762189
1.0,173,92.252203
1.0,173,92.744838
0.0,127,93.093977
0.0,127,93.442272
2.0,218,94.072436
1.0,170,94.552415
1.0,157,94.992991
4.0,298,95.870789
2.0,202,96.450663
0.0,129,96.806134
0.0,127,97.153018
0.0,127,97.502689
0.0,129,97.856078
7.0,445,99.193086
2.0,202,99.775126
5.0,325,100.737728
1.0,155,101.171665
0.0,129,101.528153
0.0,125,101.867343
2.0,200,102.44053
1.0,173,102.92841
1.0,155,103.363389
0.0,123,103.698967
2.0,222,104.346877
0.0,129,104.701741
4.0,298,105.583236
2.0,200,106.158866
1.0,153,106.589348
0.0,127,106.939363
0.0,127,107.28532
0.0,127,107.631929
0.0,127,107.979958
8.0,374,109.09527
1.0,176,109.5956
0.0,123,109.930433
0.0,127,110.277607
2.0,200,110.852173
0.0,125,111.194522
0.0,127,111.541279
0.0,127,111.890241
0.0,129,112.246631
0.0,129,112.600563
0.0,129,112.950991
1.0,173,113.442614
0.0,127,113.79408
3.0,274,114.596542
1.0,175,115.094986
0.0,129,115.45176
6.0,397,116.63989
0.0,127,116.988175
0.0,127,117.336203
3.0,267,118.11932
0.0,129,118.474496
2.0,222,119.114298
2.0,222,119.758599
1.0,173,120.247432
0.0,129,120.59887
0.0,129,120.949604
0.0,127,121.298908
3.0,250,122.031405
1.0,153,122.46163
3.0,252,123.196621
2.0,222,123.837358
1.0,173,124.325492
1.0,153,124.752307
0.0,123,125.087977
9.0,382,126.229139
0.0,127,126.578235
0.0,129,126.930826
2.0,204,127.51931
2.0,202,128.097701
1.0,177,128.602905
1.0,173,129.090866
0.0,125,129.433283
0.0,129,129.785134
0.0,127,130.130346
1.0,173,130.618526
2.0,206,131.209268
1.0,173,131.700862
3.0,250,132.430053
0.0,127,132.77906
1.0,173,133.271727
2.0,226,133.925821
0.0,127,134.2733
2.0,185,134.799974
2.0,200,135.376044
1.0,173,135.867215
0.0,129,136.218873
0.0,127,136.564292
0.0,129,136.917098
0.0,127,137.265472
1.0,173,137.759451
0.0,129,138.110896
1.0,178,138.616385
3.0,268,139.398985
2.0,203,139.983319
2.0,198,140.552034
3.0,252,141.289257
0.0,129,141.642319
0.0,125,141.983238
1.0,174,142.480156
0.0,129,142.834383
0.0,129,143.191759
1.0,155,143.624697
2.0,222,144.268095
0.0,129,144.622577
1.0,169,145.099338
1.0,173,145.587208
3.0,246,146.309162
2.0,223,146.956828
2.0,200,147.534486
1.0,157,147.977979
0.0,125,148.320564
0.0,127,148.665756
0.0,125,149.034594
0.0,129,149.394999
3.0,252,150.130352
2.0,202,150.708811
0.0,123,151.044032
0.0,129,151.395292
1.0,174,151.890785
0.0,129,152.24771
1.0,156,152.688377
0.0,129,153.044053
0.0,127,153.390479
0.0,125,153.731865
0.0,127,154.076774
0.0,123,154.414689
0.0,127,154.760196
4.0,317,155.698601
2.0,226,156.352054
0.0,127,156.698835
1.0,157,157.211298
4.0,299,158.09449
0.0,129,158.451768
1.0,173,158.944958
0.0,127,159.296379
4.0,279,160.116058
3.0,254,160.858859
2.0,200,161.43179
4.0,297,162.308553
2.0,221,162.944959
1.0,155,163.381441
0.0,129,163.732667
4.0,318,164.675557
0.0,129,165.029754
4.0,301,165.918594
3.0,268,166.707124
0.0,125,167.051105
1.0,157,167.496278
0.0,125,167.836955
2.0,200,168.412869
0.0,125,168.752927
2.0,202,169.332303
0.0,129,169.688882
4.0,301,170.576788
4.0,321,171.528415
0.0,127,171.872165
4.0,319,174.689846
0.0,125,176.10624
1.0,157,178.078465
0.0,129,179.640462
0.0,127,181.202157
2.0,224,184.058206
0.0,129,185.618749
6.0,377,190.840683
1.0,173,192.81303
0.0,127,194.27521
0.0,129,195.806841
3.0,230,198.879396
0.0,127,200.439674
0.0,129,201.91524
5.0,329,206.296116
2.0,222,209.287748
0.0,125,210.843257
4.0,299,214.620522
4.0,299,218.626567
1.0,171,220.808904
3.0,249,224.174686
5.0,289,227.809384
1.0,173,229.939123
0.0,127,231.480526
0.0,129,232.988912
1.0,176,235.007937
0.0,127,236.463455
0.0,127,238.020393
0.0,129,239.581411
3.0,231,242.579973
1.0,174,244.816769
1.0,155,246.807693
0.0,127,248.278571
9.0,423,254.108992
2.0,184,256.324255
0.0,125,257.613901
0.0,129,259.097131
2.0,201,261.75288
0.0,127,263.26239
0.0,127,264.825056
2.0,205,267.462106
7.0,326,272.084244
1.0,153,273.97602
2.0,226,276.705557
0.0,127,278.215575
1.0,178,280.488242
13.0,556,287.977397
0.0,127,289.466447
2.0,201,292.109655
0.0,127,293.665582
0.0,125,295.146949
0.0,127,296.515995
2.0,224,299.284668
0.0,127,300.783485
3.0,250,304.21636
0.0,125,305.663561
3.0,267,309.137953
4.0,299,313.33611
0.0,129,314.884657
0.0,129,316.499471
2.0,223,319.43638
3.0,274,323.137135
2.0,184,325.249568
0.0,125,326.670077
0.0,129,328.175382
2.0,200,330.850502
0.0,129,332.422985
4.0,297,336.284843
0.0,127,337.797002
3.0,272,341.541109
1.0,170,343.66507
1.0,177,345.740802
0.0,129,347.073539
1.0,174,349.222552
0.0,127,350.718764
7.0,326,355.237935
0.0,129,356.739703
0.0,129,358.125777
2.0,202,360.614218
0.0,127,362.035171
0.0,127,363.57874
0.0,129,365.151382
1.0,173,367.384141
0.0,129,368.850598
0.0,129,370.240457
2.0,202,372.791948
0.0,129,374.382677
3.0,230,377.552899
2.0,202,380.26882
2.0,200,382.691027
0.0,127,384.231882
2.0,204,386.869541
1.0,157,388.855494
3.0,248,392.204929
0.0,125,393.618712
0.0,127,394.947508
1.0,157,396.808396
0.0,125,398.292803
0.0,125,399.796947
0.0,125,401.326546
6.0,382,406.281364
3.0,234,409.402294
1.0,173,411.632988
2.0,204,414.251246
2.0,202,416.818021
0.0,127,418.393914
0.0,127,419.926684
2.0,222,422.873535
0.0,127,424.420014
1.0,173,426.475468
3.0,268,430.233478
2.0,200,432.845994
1.0,173,435.016017
2.0,200,437.431567
0.0,127,438.899488
1.0,173,441.095438
2.0,223,443.959651
0.0,129,445.476814
0.0,127,446.98617
1.0,171,449.15702
0.0,129,450.743038
0.0,127,452.253943
3.0,252,455.321357
2.0,219,458.187885
0.0,129,459.715851
0.0,127,461.083224
5.0,349,465.724477
1.0,155,467.625897
5.0,344,472.082591
1.0,176,474.24276
3.0,233,477.07971
0.0,129,478.528184
1.0,173,480.588692
2.0,201,483.10292
0.0,129,484.487565
0.0,127,485.962133
0.0,127,487.424276
0.0,125,488.919879
0.0,127,490.463029
0.0,129,492.073266
2.0,202,494.713209
3.0,250,497.943754
0.0,129,499.511389
4.0,275,503.16516
0.0,127,504.459833
1.0,174,506.643745
2.0,202,509.239201
0.0,127,510.64793
0.0,129,512.167131
0.0,129,513.732095
2.0,224,516.718165
0.0,129,518.281584
1.0,151,520.217316
0.0,127,521.673039
0.0,129,523.089319
0.0,129,524.4585
0.0,127,525.916388
3.0,239,529.108477
0.0,129,530.607576
0.0,127,531.952976
3.0,248,535.084509
0.0,129,536.62563
3.0,269,540.215929
0.0,129,541.688137
0.0,129,543.052825
2.0,186,545.368482
2.0,202,548.029677
2.0,199,550.614249
3.0,252,553.91278
2.0,220,556.783211
2.0,201,559.436222
2.0,200,561.950751
2.0,207,564.34537
1.0,155,566.254555
0.0,129,567.799384
0.0,125,569.27565
0.0,127,570.697009
2.0,202,573.137793
0.0,127,574.672388
0.0,127,576.168986
0.0,129,577.713388
0.0,125,579.025018
1.0,177,581.145406
2.0,202,583.77736
0.0,127,585.284073
2.0,203,587.930016
2.0,220,590.532526
0.0,127,592.035485
0.0,129,593.566286
0.0,129,595.129642
5.0,327,599.648585
12.0,428,605.642015
0.0,129,607.13845
0.0,127,608.649095
10.0,434,614.989911
8.0,377,620.0487
1.0,157,622.044191
1.0,175,624.273632
0.0,127,625.825926
2.0,204,628.463325
1.0,173,630.460075
13.0,558,637.571546
0.0,129,638.916274
0.0,125,640.20297
0.0,129,641.628011
4.0,317,646.025556
12.0,521,653.205923
0.0,129,654.772012
3.0,270,658.291442
1.0,174,660.29225
0.0,127,661.783731
0.0,125,663.281627
0.0,125,664.777819
3.0,267,668.345022
0.0,129,669.824512
1.0,174,671.94994
2.0,202,674.528502
0.0,127,676.056605
0.0,129,677.639535
1.0,155,679.610374
0.0,127,681.06241
2.0,203,683.507651
